ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,87,33,28,1,1,0,0,1,1,8
1,97,70,57,1,1,1,1,1,1,8
2,71,57,38,1,1,1,1,1,1,9
3,63,53,47,1,1,1,1,1,1,6
4,77,56,37,1,1,0,0,1,1,7
5,102,67,47,1,1,0,0,1,1,5
6,72,31,29,1,1,0,0,1,1,7
7,84,58,38,1,1,0,0,1,1,6
8,84,57,56,1,1,1,1,1,1,6
9,88,76,33,1,1,0,0,0,0,5
10,109,76,73,1,1,1,1,1,1,10
11,57,55,54,1,1,1,1,1,1,2
12,115,26,25,1,1,0,0,1,1,7
13,71,50,41,1,1,1,1,1,1,8
14,102,59,29,1,1,0,0,0,0,8
15,69,67,45,1,1,1,1,1,1,5
16,50,46,38,1,1,1,1,1,1,5
17,78,76,38,1,1,0,0,0,0,10
18,95,55,31,1,1,0,0,1,1,3
19,98,83,38,1,1,0,0,0,0,9
