Path,Best known solution value
bischoff1995/BR1.txt_1,28553890
bischoff1995/BR1.txt_2,29387603
bischoff1995/BR1.txt_3,28101555
bischoff1995/BR1.txt_4,28048221
bischoff1995/BR1.txt_5,28732638
bischoff1995/BR1.txt_6,29048220
bischoff1995/BR1.txt_7,28979990
bischoff1995/BR1.txt_8,29542590
bischoff1995/BR1.txt_9,28556226
bischoff1995/BR1.txt_10,28745808
bischoff1995/BR1.txt_11,28337644
bischoff1995/BR1.txt_12,28703952
bischoff1995/BR1.txt_13,29620125
bischoff1995/BR1.txt_14,29005008
bischoff1995/BR1.txt_15,29329980
bischoff1995/BR1.txt_16,29137739
bischoff1995/BR1.txt_17,29516760
bischoff1995/BR1.txt_18,27497948
bischoff1995/BR1.txt_19,28736367
bischoff1995/BR1.txt_20,28730829
bischoff1995/BR1.txt_21,28491504
bischoff1995/BR1.txt_22,29077074
bischoff1995/BR1.txt_23,29053228
bischoff1995/BR1.txt_24,28487780
bischoff1995/BR1.txt_25,28911540
bischoff1995/BR1.txt_26,28732032
bischoff1995/BR1.txt_27,28122780
bischoff1995/BR1.txt_28,28878512
bischoff1995/BR1.txt_29,29021442
bischoff1995/BR1.txt_30,29619672
bischoff1995/BR1.txt_31,28956060
bischoff1995/BR1.txt_32,29491764
bischoff1995/BR1.txt_33,29505186
bischoff1995/BR1.txt_34,28787832
bischoff1995/BR1.txt_35,28545336
bischoff1995/BR1.txt_36,29437864
bischoff1995/BR1.txt_37,28811724
bischoff1995/BR1.txt_38,28428424
bischoff1995/BR1.txt_39,29164736
bischoff1995/BR1.txt_40,29172978
bischoff1995/BR1.txt_41,28827808
bischoff1995/BR1.txt_42,29229760
bischoff1995/BR1.txt_43,29098032
bischoff1995/BR1.txt_44,27184488
bischoff1995/BR1.txt_45,29000079
bischoff1995/BR1.txt_46,28456302
bischoff1995/BR1.txt_47,29074136
bischoff1995/BR1.txt_48,29149496
bischoff1995/BR1.txt_49,28740024
bischoff1995/BR1.txt_50,29629380
bischoff1995/BR1.txt_51,29236873
bischoff1995/BR1.txt_52,28812976
bischoff1995/BR1.txt_53,27573126
bischoff1995/BR1.txt_54,28767128
bischoff1995/BR1.txt_55,28300690
bischoff1995/BR1.txt_56,29521654
bischoff1995/BR1.txt_57,29243568
bischoff1995/BR1.txt_58,28603881
bischoff1995/BR1.txt_59,29450584
bischoff1995/BR1.txt_60,28875276
bischoff1995/BR1.txt_61,28970384
bischoff1995/BR1.txt_62,28985010
bischoff1995/BR1.txt_63,28764136
bischoff1995/BR1.txt_64,29192460
bischoff1995/BR1.txt_65,29750692
bischoff1995/BR1.txt_66,29321352
bischoff1995/BR1.txt_67,29281389
bischoff1995/BR1.txt_68,29523600
bischoff1995/BR1.txt_69,28525760
bischoff1995/BR1.txt_70,28276152
bischoff1995/BR1.txt_71,28853432
bischoff1995/BR1.txt_72,28722620
bischoff1995/BR1.txt_73,28202400
bischoff1995/BR1.txt_74,28761454
bischoff1995/BR1.txt_75,28841688
bischoff1995/BR1.txt_76,29558004
bischoff1995/BR1.txt_77,29421766
bischoff1995/BR1.txt_78,29086668
bischoff1995/BR1.txt_79,28890076
bischoff1995/BR1.txt_80,29230320
bischoff1995/BR1.txt_81,28278120
bischoff1995/BR1.txt_82,29105652
bischoff1995/BR1.txt_83,29257266
bischoff1995/BR1.txt_84,28330068
bischoff1995/BR1.txt_85,29710384
bischoff1995/BR1.txt_86,29080542
bischoff1995/BR1.txt_87,28378036
bischoff1995/BR1.txt_88,28852356
bischoff1995/BR1.txt_89,27396340
bischoff1995/BR1.txt_90,28397937
bischoff1995/BR1.txt_91,29434357
bischoff1995/BR1.txt_92,28718826
bischoff1995/BR1.txt_93,29042768
bischoff1995/BR1.txt_94,29145795
bischoff1995/BR1.txt_95,28957176
bischoff1995/BR1.txt_96,28986604
bischoff1995/BR1.txt_97,28976200
bischoff1995/BR1.txt_98,29313724
bischoff1995/BR1.txt_99,28842736
bischoff1995/BR1.txt_100,29650674
bischoff1995/BR2.txt_1,28997282
bischoff1995/BR2.txt_2,28950026
bischoff1995/BR2.txt_3,28929465
bischoff1995/BR2.txt_4,28748324
bischoff1995/BR2.txt_5,29070075
bischoff1995/BR2.txt_6,29321856
bischoff1995/BR2.txt_7,29248200
bischoff1995/BR2.txt_8,28851120
bischoff1995/BR2.txt_9,28996728
bischoff1995/BR2.txt_10,29347176
bischoff1995/BR2.txt_11,28916684
bischoff1995/BR2.txt_12,28960848
bischoff1995/BR2.txt_13,29214657
bischoff1995/BR2.txt_14,29083920
bischoff1995/BR2.txt_15,29391700
bischoff1995/BR2.txt_16,29072590
bischoff1995/BR2.txt_17,29257572
bischoff1995/BR2.txt_18,28502878
bischoff1995/BR2.txt_19,28945207
bischoff1995/BR2.txt_20,28945811
bischoff1995/BR2.txt_21,28712880
bischoff1995/BR2.txt_22,28870684
bischoff1995/BR2.txt_23,28080498
bischoff1995/BR2.txt_24,28575672
bischoff1995/BR2.txt_25,29082012
bischoff1995/BR2.txt_26,29167036
bischoff1995/BR2.txt_27,28902780
bischoff1995/BR2.txt_28,29380598
bischoff1995/BR2.txt_29,29441992
bischoff1995/BR2.txt_30,29513204
bischoff1995/BR2.txt_31,29182680
bischoff1995/BR2.txt_32,29325000
bischoff1995/BR2.txt_33,29110374
bischoff1995/BR2.txt_34,29160088
bischoff1995/BR2.txt_35,29112582
bischoff1995/BR2.txt_36,28844409
bischoff1995/BR2.txt_37,28919252
bischoff1995/BR2.txt_38,28868238
bischoff1995/BR2.txt_39,29445662
bischoff1995/BR2.txt_40,28880791
bischoff1995/BR2.txt_41,28908094
bischoff1995/BR2.txt_42,29206514
bischoff1995/BR2.txt_43,28912960
bischoff1995/BR2.txt_44,28523460
bischoff1995/BR2.txt_45,28954389
bischoff1995/BR2.txt_46,28801032
bischoff1995/BR2.txt_47,29093700
bischoff1995/BR2.txt_48,29293557
bischoff1995/BR2.txt_49,29190060
bischoff1995/BR2.txt_50,29376050
bischoff1995/BR2.txt_51,29345280
bischoff1995/BR2.txt_52,29046200
bischoff1995/BR2.txt_53,28573476
bischoff1995/BR2.txt_54,29021122
bischoff1995/BR2.txt_55,28685035
bischoff1995/BR2.txt_56,29369628
bischoff1995/BR2.txt_57,29355702
bischoff1995/BR2.txt_58,28944780
bischoff1995/BR2.txt_59,29398136
bischoff1995/BR2.txt_60,28977119
bischoff1995/BR2.txt_61,28761378
bischoff1995/BR2.txt_62,29164670
bischoff1995/BR2.txt_63,28799150
bischoff1995/BR2.txt_64,28813770
bischoff1995/BR2.txt_65,29284772
bischoff1995/BR2.txt_66,29315982
bischoff1995/BR2.txt_67,29354221
bischoff1995/BR2.txt_68,28833336
bischoff1995/BR2.txt_69,28578589
bischoff1995/BR2.txt_70,28715432
bischoff1995/BR2.txt_71,29157146
bischoff1995/BR2.txt_72,28756035
bischoff1995/BR2.txt_73,28738782
bischoff1995/BR2.txt_74,29040802
bischoff1995/BR2.txt_75,28907088
bischoff1995/BR2.txt_76,29463056
bischoff1995/BR2.txt_77,29336613
bischoff1995/BR2.txt_78,29242786
bischoff1995/BR2.txt_79,29283424
bischoff1995/BR2.txt_80,28756667
bischoff1995/BR2.txt_81,28689000
bischoff1995/BR2.txt_82,28973576
bischoff1995/BR2.txt_83,29209648
bischoff1995/BR2.txt_84,28660010
bischoff1995/BR2.txt_85,29465402
bischoff1995/BR2.txt_86,29298437
bischoff1995/BR2.txt_87,28916432
bischoff1995/BR2.txt_88,28760392
bischoff1995/BR2.txt_89,28132540
bischoff1995/BR2.txt_90,28845111
bischoff1995/BR2.txt_91,28728653
bischoff1995/BR2.txt_92,28899770
bischoff1995/BR2.txt_93,28944886
bischoff1995/BR2.txt_94,29421969
bischoff1995/BR2.txt_95,29118046
bischoff1995/BR2.txt_96,29564938
bischoff1995/BR2.txt_97,29095680
bischoff1995/BR2.txt_98,29479192
bischoff1995/BR2.txt_99,29358784
bischoff1995/BR2.txt_100,29015742
bischoff1995/BR3.txt_1,29039840
bischoff1995/BR3.txt_2,29307360
bischoff1995/BR3.txt_3,28886910
bischoff1995/BR3.txt_4,29176964
bischoff1995/BR3.txt_5,29108187
bischoff1995/BR3.txt_6,29285830
bischoff1995/BR3.txt_7,29192500
bischoff1995/BR3.txt_8,28949710
bischoff1995/BR3.txt_9,29068296
bischoff1995/BR3.txt_10,29227704
bischoff1995/BR3.txt_11,28916632
bischoff1995/BR3.txt_12,29101488
bischoff1995/BR3.txt_13,29335110
bischoff1995/BR3.txt_14,28955640
bischoff1995/BR3.txt_15,29224363
bischoff1995/BR3.txt_16,29142309
bischoff1995/BR3.txt_17,28644597
bischoff1995/BR3.txt_18,28664633
bischoff1995/BR3.txt_19,29330572
bischoff1995/BR3.txt_20,29159552
bischoff1995/BR3.txt_21,29004504
bischoff1995/BR3.txt_22,29150684
bischoff1995/BR3.txt_23,29151467
bischoff1995/BR3.txt_24,28820522
bischoff1995/BR3.txt_25,28861461
bischoff1995/BR3.txt_26,28952646
bischoff1995/BR3.txt_27,29078376
bischoff1995/BR3.txt_28,29077796
bischoff1995/BR3.txt_29,29536552
bischoff1995/BR3.txt_30,29169459
bischoff1995/BR3.txt_31,29148730
bischoff1995/BR3.txt_32,29357875
bischoff1995/BR3.txt_33,29132682
bischoff1995/BR3.txt_34,29064468
bischoff1995/BR3.txt_35,29190144
bischoff1995/BR3.txt_36,28995958
bischoff1995/BR3.txt_37,29173444
bischoff1995/BR3.txt_38,28700196
bischoff1995/BR3.txt_39,29476504
bischoff1995/BR3.txt_40,28998623
bischoff1995/BR3.txt_41,29111584
bischoff1995/BR3.txt_42,29127855
bischoff1995/BR3.txt_43,28658776
bischoff1995/BR3.txt_44,28619582
bischoff1995/BR3.txt_45,29057991
bischoff1995/BR3.txt_46,28868978
bischoff1995/BR3.txt_47,28991892
bischoff1995/BR3.txt_48,29115820
bischoff1995/BR3.txt_49,29305200
bischoff1995/BR3.txt_50,29172242
bischoff1995/BR3.txt_51,29280610
bischoff1995/BR3.txt_52,29198692
bischoff1995/BR3.txt_53,28940196
bischoff1995/BR3.txt_54,29150748
bischoff1995/BR3.txt_55,29113128
bischoff1995/BR3.txt_56,29408810
bischoff1995/BR3.txt_57,29316338
bischoff1995/BR3.txt_58,29020446
bischoff1995/BR3.txt_59,29416102
bischoff1995/BR3.txt_60,28974969
bischoff1995/BR3.txt_61,29255856
