Path,Best known solution value,egeblad2009 / Solution value
egeblad2009/ep3d-20-C-C-50.3kp,65308,65308
egeblad2009/ep3d-20-C-C-90.3kp,80124,80124
egeblad2009/ep3d-20-C-R-50.3kp,62364,62364
egeblad2009/ep3d-20-C-R-90.3kp,66844,66844
egeblad2009/ep3d-20-D-C-50.3kp,13192,13192
egeblad2009/ep3d-20-D-C-90.3kp,27848,27848
egeblad2009/ep3d-20-D-R-50.3kp,15170,15170
egeblad2009/ep3d-20-D-R-90.3kp,20822,20822
egeblad2009/ep3d-20-F-C-50.3kp,71816,71816
egeblad2009/ep3d-20-F-C-90.3kp,167281,167281
egeblad2009/ep3d-20-F-R-50.3kp,80962,80962
egeblad2009/ep3d-20-F-R-90.3kp,155155,155155
egeblad2009/ep3d-20-L-C-50.3kp,20835,20835
egeblad2009/ep3d-20-L-C-90.3kp,48404,48404
egeblad2009/ep3d-20-L-R-50.3kp,24809,24809
egeblad2009/ep3d-20-L-R-90.3kp,32892,32892
egeblad2009/ep3d-20-U-C-50.3kp,91036,91036
egeblad2009/ep3d-20-U-C-90.3kp,132291,132291
egeblad2009/ep3d-20-U-R-50.3kp,97358,97358
egeblad2009/ep3d-20-U-R-90.3kp,188691,188691
egeblad2009/ep3d-40-C-C-50.3kp,141418,141418
egeblad2009/ep3d-40-C-C-90.3kp,243447,243447
egeblad2009/ep3d-40-C-R-50.3kp,126069,126069
egeblad2009/ep3d-40-C-R-90.3kp,218971,218971
egeblad2009/ep3d-40-D-C-50.3kp,20464,20464
egeblad2009/ep3d-40-D-C-90.3kp,56124,56124
egeblad2009/ep3d-40-D-R-50.3kp,28019,28019
egeblad2009/ep3d-40-D-R-90.3kp,49476,49476
egeblad2009/ep3d-40-F-C-50.3kp,161310,161310
egeblad2009/ep3d-40-F-C-90.3kp,416467,416467
egeblad2009/ep3d-40-F-R-50.3kp,238990,238990
egeblad2009/ep3d-40-F-R-90.3kp,367045,367045
egeblad2009/ep3d-40-L-C-50.3kp,56742,56742
egeblad2009/ep3d-40-L-C-90.3kp,106602,106602
egeblad2009/ep3d-40-L-R-50.3kp,50389,50389
egeblad2009/ep3d-40-L-R-90.3kp,77514,77514
egeblad2009/ep3d-40-U-C-50.3kp,164976,164976
egeblad2009/ep3d-40-U-C-90.3kp,388456,388456
egeblad2009/ep3d-40-U-R-50.3kp,242819,242819
egeblad2009/ep3d-40-U-R-90.3kp,371662,371662
egeblad2009/ep3d-60-C-C-50.3kp,252584,252584
egeblad2009/ep3d-60-C-C-90.3kp,499572,499572
egeblad2009/ep3d-60-C-R-50.3kp,224875,224875
egeblad2009/ep3d-60-C-R-90.3kp,384302,384302
egeblad2009/ep3d-60-D-C-50.3kp,65502,65502
egeblad2009/ep3d-60-D-C-90.3kp,105540,105540
egeblad2009/ep3d-60-D-R-50.3kp,49011,49011
egeblad2009/ep3d-60-D-R-90.3kp,67202,67202
egeblad2009/ep3d-60-F-C-50.3kp,467730,467730
egeblad2009/ep3d-60-F-C-90.3kp,540732,540732
egeblad2009/ep3d-60-F-R-50.3kp,378079,378079
egeblad2009/ep3d-60-F-R-90.3kp,625362,625362
egeblad2009/ep3d-60-L-C-50.3kp,119676,119676
egeblad2009/ep3d-60-L-C-90.3kp,113107,113107
egeblad2009/ep3d-60-L-R-50.3kp,62190,62190
egeblad2009/ep3d-60-L-R-90.3kp,107270,107270
egeblad2009/ep3d-60-U-C-50.3kp,361340,361340
