ID,X,Y,Z,PROFIT,COPIES
0,33,33,33,36137,1
1,84,84,84,592904,1
2,42,42,42,74288,1
3,27,27,27,19883,1
4,65,65,65,274825,1
5,83,83,83,571987,1
6,86,86,86,636256,1
7,68,68,68,314632,1
8,21,21,21,9461,1
9,58,58,58,195312,1
10,82,82,82,551568,1
11,75,75,75,422075,1
12,79,79,79,493239,1
13,65,65,65,274825,1
14,86,86,86,636256,1
15,79,79,79,493239,1
16,75,75,75,422075,1
17,42,42,42,74288,1
18,98,98,98,941392,1
19,37,37,37,50853,1
20,99,99,99,970499,1
21,34,34,34,39504,1
22,92,92,92,778888,1
23,24,24,24,14024,1
24,8,8,8,712,1
25,1,1,1,201,1
26,73,73,73,389217,1
27,13,13,13,2397,1
28,39,39,39,59519,1
29,8,8,8,712,1
30,59,59,59,205579,1
31,23,23,23,12367,1
32,66,66,66,287696,1
33,40,40,40,64200,1
34,42,42,42,74288,1
35,4,4,4,264,1
36,1,1,1,201,1
37,56,56,56,175816,1
38,29,29,29,24589,1
39,24,24,24,14024,1
