ID,X,Y,Z,PROFIT,COPIES
0,80,66,100,528200,1
1,66,59,71,276674,1
2,81,91,97,715187,1
3,98,62,73,443748,1
4,50,82,82,336400,1
5,80,66,100,528200,1
6,66,59,71,276674,1
7,81,91,97,715187,1
8,98,62,73,443748,1
9,50,82,82,336400,1
10,80,66,100,528200,1
11,66,59,71,276674,1
12,81,91,97,715187,1
13,98,62,73,443748,1
14,50,82,82,336400,1
15,80,66,100,528200,1
16,66,59,71,276674,1
17,81,91,97,715187,1
18,98,62,73,443748,1
19,50,82,82,336400,1
20,80,66,100,528200,1
21,66,59,71,276674,1
22,81,91,97,715187,1
23,98,62,73,443748,1
24,50,82,82,336400,1
25,80,66,100,528200,1
26,66,59,71,276674,1
27,81,91,97,715187,1
28,98,62,73,443748,1
29,50,82,82,336400,1
30,80,66,100,528200,1
31,66,59,71,276674,1
32,81,91,97,715187,1
33,98,62,73,443748,1
34,50,82,82,336400,1
35,80,66,100,528200,1
36,66,59,71,276674,1
37,81,91,97,715187,1
38,98,62,73,443748,1
39,50,82,82,336400,1
