ID,X,Y,Z,PROFIT,COPIES
0,10,18,5,1100,1
1,46,44,50,101400,1
2,1,10,4,240,1
3,32,48,7,10952,1
4,7,14,10,1180,1
5,10,18,5,1100,1
6,46,44,50,101400,1
7,1,10,4,240,1
8,32,48,7,10952,1
9,7,14,10,1180,1
10,10,18,5,1100,1
11,46,44,50,101400,1
12,1,10,4,240,1
13,32,48,7,10952,1
14,7,14,10,1180,1
15,10,18,5,1100,1
16,46,44,50,101400,1
17,1,10,4,240,1
18,32,48,7,10952,1
19,7,14,10,1180,1
20,10,18,5,1100,1
21,46,44,50,101400,1
22,1,10,4,240,1
23,32,48,7,10952,1
24,7,14,10,1180,1
25,10,18,5,1100,1
26,46,44,50,101400,1
27,1,10,4,240,1
28,32,48,7,10952,1
29,7,14,10,1180,1
30,10,18,5,1100,1
31,46,44,50,101400,1
32,1,10,4,240,1
33,32,48,7,10952,1
34,7,14,10,1180,1
35,10,18,5,1100,1
36,46,44,50,101400,1
37,1,10,4,240,1
38,32,48,7,10952,1
39,7,14,10,1180,1
