ID,X,Y,Z,PROFIT,COPIES
0,10,18,5,1100,1
1,46,44,50,101400,1
2,1,10,4,240,1
3,32,48,7,10952,1
4,7,14,10,1180,1
5,3,31,17,1781,1
6,6,47,27,7814,1
7,12,30,33,12080,1
8,37,23,43,36793,1
9,35,35,10,12450,1
10,25,11,6,1850,1
11,7,16,24,2888,1
12,25,28,14,10000,1
13,11,42,11,5282,1
14,24,3,33,2576,1
15,1,48,33,1784,1
16,17,19,8,2784,1
17,13,47,38,23418,1
18,47,26,25,30750,1
19,7,23,47,7767,1
20,34,21,48,34472,1
21,18,14,16,4232,1
22,43,19,47,38599,1
23,3,13,37,1643,1
24,10,39,3,1370,1
25,46,50,36,83000,1
26,27,10,40,11000,1
27,23,11,42,10826,1
28,36,22,35,27920,1
29,42,7,43,12842,1
30,28,43,25,30300,1
31,34,40,32,43720,1
32,35,8,40,11400,1
33,32,14,4,1992,1
34,18,28,30,15320,1
35,4,11,39,1916,1
36,46,5,42,9860,1
37,42,32,39,52616,1
38,10,46,29,13540,1
39,33,16,15,8120,1
