ID,X,Y,Z,PROFIT,COPIES
0,80,66,100,528200,1
1,66,59,71,276674,1
2,81,91,97,715187,1
3,98,62,73,443748,1
4,50,82,82,336400,1
5,96,68,82,535496,1
6,91,65,59,349185,1
7,84,76,84,536456,1
8,62,51,100,316400,1
9,59,52,78,239504,1
10,60,72,78,337160,1
11,61,68,67,278116,1
12,64,78,65,324680,1
13,57,55,67,210245,1
14,67,83,99,550739,1
15,98,56,62,340456,1
16,59,100,59,348300,1
17,60,100,80,480200,1
18,79,66,86,448604,1
19,98,63,92,568208,1
20,51,98,81,405038,1
21,55,71,87,339935,1
22,100,97,68,659800,1
23,96,83,85,677480,1
24,84,75,81,510500,1
25,79,58,67,307194,1
26,82,65,61,325330,1
27,85,86,74,541140,1
28,55,55,58,175650,1
29,84,51,90,385760,1
30,90,60,77,416000,1
31,99,75,77,571925,1
32,52,77,99,396596,1
33,75,69,75,388325,1
34,83,94,78,608756,1
35,87,54,93,437114,1
36,87,66,74,425108,1
37,65,74,90,433100,1
38,66,65,57,244730,1
39,83,64,79,419848,1
40,55,94,53,274210,1
41,96,100,67,643400,1
42,59,93,94,515978,1
43,82,77,59,372726,1
44,73,69,66,332642,1
45,70,73,60,306800,1
46,71,74,77,404758,1
47,79,88,93,646736,1
48,67,88,51,300896,1
49,56,50,59,165400,1
50,92,79,78,567104,1
51,74,99,98,718148,1
52,100,90,64,576200,1
53,95,73,97,672895,1
54,62,73,100,452800,1
55,96,57,77,421544,1
56,70,71,64,318280,1
57,78,80,96,599240,1
58,54,88,100,475400,1
59,97,52,69,348236,1
