ID,X,Y,Z,PROFIT,COPIES
0,95,97,55,507025,1
1,94,65,47,287370,1
2,94,78,27,198164,1
3,80,62,56,277960,1
4,88,76,59,394792,1
5,56,91,50,255000,1
6,64,66,39,164936,1
7,55,87,30,143750,1
8,93,63,39,228701,1
9,93,84,30,234560,1
10,66,69,48,218792,1
11,51,100,37,188900,1
12,100,79,33,260900,1
13,85,82,49,341730,1
14,69,84,59,342164,1
15,53,61,47,152151,1
16,89,65,51,295235,1
17,94,94,27,238772,1
18,76,61,37,171732,1
19,75,62,32,149000,1
20,96,63,59,357032,1
21,97,66,59,377918,1
22,58,86,35,174780,1
23,88,81,56,399368,1
24,80,100,40,320200,1
25,81,77,46,287102,1
26,89,100,38,338400,1
27,74,63,41,191342,1
28,96,90,33,285320,1
29,89,58,54,278948,1
30,66,63,33,137414,1
31,70,89,52,324160,1
32,59,55,27,87815,1
33,53,65,50,172450,1
34,55,85,48,224600,1
35,50,73,40,146200,1
36,79,93,27,198569,1
37,81,95,26,200270,1
38,83,64,27,143624,1
39,87,94,38,310964,1
40,71,73,58,300814,1
41,72,99,29,206912,1
42,56,84,47,221288,1
43,65,71,32,147880,1
44,63,99,42,262154,1
45,56,77,36,155432,1
46,61,72,37,162704,1
47,75,78,26,152300,1
48,96,79,38,288392,1
49,77,86,26,172372,1
50,73,83,50,303150,1
51,92,58,48,256328,1
52,84,55,46,212720,1
53,73,95,46,319210,1
54,71,71,58,292578,1
55,85,63,37,198335,1
56,79,81,53,339347,1
57,72,70,29,146360,1
58,88,64,45,253640,1
59,75,72,38,205400,1
