ID,X,Y,Z,PROFIT,COPIES
0,27,27,70,51230,1
1,30,43,56,72440,1
2,6,21,56,7256,1
3,51,37,91,171917,1
4,66,56,86,318056,1
5,60,11,62,41120,1
6,4,19,76,5976,1
7,61,11,97,65287,1
8,33,13,81,34949,1
9,15,5,81,6275,1
10,59,43,88,223456,1
11,4,46,100,18600,1
12,25,45,96,108200,1
13,20,25,82,41200,1
14,8,16,90,11720,1
15,16,1,86,1576,1
16,56,4,60,13640,1
17,54,21,74,84116,1
18,4,4,62,1192,1
19,28,8,56,12744,1
20,1,10,87,1070,1
21,27,18,64,31304,1
22,23,53,92,112348,1
23,8,56,73,32904,1
24,42,62,53,138212,1
25,28,25,87,61100,1
26,59,39,68,156668,1
27,54,31,83,139142,1
28,49,14,97,66742,1
29,47,5,59,14065,1
30,60,42,86,216920,1
31,44,11,93,45212,1
32,4,23,74,7008,1
33,31,21,67,43817,1
34,51,64,56,182984,1
35,7,33,77,17987,1
36,59,3,86,15422,1
37,38,22,64,53704,1
38,12,37,96,42824,1
39,41,1,58,2578,1
40,9,51,86,39674,1
41,27,2,63,3602,1
42,55,22,100,121200,1
43,36,30,62,67160,1
44,24,42,55,55640,1
45,66,46,82,249152,1
46,46,42,80,154760,1
47,33,61,55,110915,1
48,7,1,97,879,1
49,19,53,92,92844,1
50,32,26,100,83400,1
51,20,39,86,67280,1
52,45,3,88,12080,1
53,37,36,93,124076,1
54,12,64,85,65480,1
55,28,62,71,123456,1
56,64,15,75,72200,1
57,55,10,82,45300,1
58,29,19,72,39872,1
59,27,1,83,2441,1
