Path,Best known solution value,Sparrow Q1,Sparrow Q3,Sparrow E,Roma,GCS,FLD,ELS,PS
albano1980/albano_2007-05-15/albano.xml.json,89.54,89.19,89.54,89.34 ±0.05 ,87.55,87.47,88.01,87.38,84.95
oliveira2000/blaz_2007-04-23/blaz.xml.json,85.49,84.28,84.79,84.65 ±0.10 ,83.02,82.4,- ,82.55,85.49
ratanapan1997/dagli_2007-05-15/dagli.xml.json,89.33,88.8,89.33,89.06 ±0.07 ,87.5,87.06,87.14,86.27,84.17
fujita1993/fu_2007-05-15/fu.xml.json,92.4,91.93,92.4,92.19 ±0.04 ,91.95,90.68,91.17,90,90.39
jakobs1996/jakobs_2007-04-23/jakobs1.xml.json,89.09,89.09,89.09,89.09 ±0.00 ,89.09,88.9,88.96,88.35,81.67
jakobs1996/jakobs_2007-04-23/jakobs2.xml.json,84.9,83.91,84.9,84.44 ±0.16 ,83.56,81.14,83.41,80.97,80.42
bounsaythip1997/mao_2007-04-23/mao.xml.json,86.43,85.77,86.43,86.09 ±0.08 ,83.76,82.93,82.28,82.57,75.94
marques1991/marques_2007-05-15/marques.xml.json,91.02,90.73,91.02,90.90 ±0.05 ,89.97,89.4,88.38,88.32,85.48
oliveira2000/shapes_2007-04-23/shapes0.xml.json,68.79,68.28,68.79,68.60 ±0.08 ,68.73,67.26,67.39,66.85,66.5
oliveira2000/shapes_2007-04-23/shapes1.xml.json,76.05,75.27,76.05,75.75 ±0.13 ,75.86,73.79,73.91,74.24,72.55
oliveira2000/shirts_2007-05-15/shirts.xml.json,89.91,89.47,89.91,89.67 ±0.06 ,87.62,87.59,88.21,87.2,85.99
oliveira2000/swim_2007-05-15/swim.xml.json,78.37,77.85,78.37,78.11 ±0.08 ,74.29,74.49,74.66,74.1,71.44
oliveira2000/trousers_2007-05-15/trousers.xml.json,91.82,91.51,91.82,91.65 ±0.04 ,90.48,89.02,89.17,88.29,89.3
