ID,X,COPIES
0,333318,11
1,333071,15
2,332790,17
3,331869,3
4,331189,3
5,330790,12
6,330327,8
7,330315,13
8,330174,19
9,329110,18
10,329054,9
11,328307,20
12,328130,18
13,327921,4
14,327424,20
15,327138,17
16,326762,17
17,326696,17
18,326254,9
19,325342,12
20,323438,13
21,323302,7
22,319166,10
23,318080,19
24,317663,7
25,317167,20
26,317109,12
27,315853,10
28,315840,4
29,315572,13
30,315097,8
31,314730,13
32,313344,16
33,312078,7
34,312036,17
35,310631,4
36,310499,20
37,309643,19
38,309567,7
39,309503,14
40,309446,15
41,309050,11
42,307824,17
43,307019,10
44,306559,13
45,305332,7
46,304134,7
47,304117,19
48,303931,20
49,303567,4
50,303248,6
51,302385,3
52,301473,5
53,300539,12
54,299885,19
55,299658,12
56,298654,7
57,296957,4
58,295858,5
59,295745,3
60,293015,1
61,292599,7
62,291629,9
63,290149,10
64,289834,17
65,289413,17
66,287581,11
67,287206,18
68,287080,1
69,285532,18
70,284279,5
71,283332,18
72,282237,1
73,281228,13
74,280494,12
75,280296,5
76,280228,6
77,279796,9
78,279062,20
79,278580,18
80,278426,19
81,278397,13
82,278075,6
83,277245,16
84,277189,20
85,276730,14
86,276609,8
87,275853,1
88,274256,14
89,273484,13
90,272951,18
91,272321,12
92,272206,16
93,270087,5
94,269483,16
95,268134,8
96,268014,2
97,266896,12
98,266710,16
99,266601,5
100,266212,5
101,265531,16
102,264777,10
103,264588,20
104,263613,4
105,263320,13
106,263203,9
107,263077,7
108,262720,9
109,262464,20
110,262446,2
111,262412,15
112,262379,6
113,262305,4
114,261722,7
115,261473,19
116,259699,8
117,259626,18
118,259379,11
119,259179,20
120,258363,16
121,258226,16
122,258068,4
123,255537,13
124,254924,12
125,254172,1
126,253853,17
127,252714,17
128,251697,7
129,250191,4
130,250169,11
131,250106,12
132,249706,20
133,249421,8
134,249259,2
135,249224,12
136,248541,1
137,247778,6
138,246832,10
139,246773,1
140,246441,17
141,246217,16
142,245456,20
143,245392,1
144,243566,2
145,243293,7
146,243131,8
147,243083,16
148,243048,13
149,242688,19
150,242679,11
151,242368,14
152,241720,16
153,241538,14
154,240032,7
155,239906,1
156,237082,3
157,235312,5
158,235196,16
159,231319,16
160,230940,9
161,230250,10
162,229062,18
163,228196,9
164,227862,19
165,227833,12
166,226443,13
167,226364,12
168,225097,10
169,223328,6
170,223187,6
171,221859,18
172,221847,3
173,221771,16
174,221067,16
175,219315,20
176,219044,7
177,218885,18
178,218282,1
179,218072,7
180,217558,13
181,217132,1
182,216990,5
183,216844,19
184,216224,14
185,216216,1
186,214807,3
187,214355,12
188,213468,2
189,213080,9
190,212901,7
191,211974,16
192,211549,19
193,211087,1
194,210506,20
195,210013,4
196,208458,11
197,206265,16
198,206173,5
199,205100,19
200,203696,1
201,203677,18
202,202861,12
203,202598,3
204,202323,10
205,202103,13
206,201321,6
207,201069,12
208,200834,8
209,199820,18
210,199352,15
211,198890,17
212,197877,2
213,197861,8
214,197008,18
215,196304,1
216,196178,15
217,196148,11
218,195928,10
219,195221,17
220,194381,13
221,193482,14
222,192980,12
223,192950,7
224,192198,8
225,190803,9
226,189607,17
227,188681,16
228,188022,4
229,186996,20
230,186001,9
231,185847,7
232,185658,19
233,185221,3
234,184863,3
235,184281,17
236,184208,17
237,182980,19
238,182583,18
239,181054,16
240,180126,5
241,178850,16
242,177026,1
243,175681,2
244,174605,14
245,174433,13
246,172148,16
247,172135,16
248,171881,18
249,171261,2
250,171074,4
251,170933,3
252,170737,19
253,170714,18
254,169603,13
255,168217,6
256,167595,14
257,166623,12
258,166385,17
259,165970,11
260,165852,8
261,165819,13
262,165705,9
263,165689,1
264,165238,18
265,164639,11
266,164604,6
267,164547,13
268,163826,10
269,163282,14
270,161339,2
271,160339,8
272,160229,16
273,158882,8
274,157751,7
275,157162,2
276,157039,16
277,155700,4
278,151406,8
279,151139,16
280,151033,2
281,150892,16
282,150680,3
283,150668,9
284,150093,13
285,149350,11
286,149281,8
287,149152,17
288,147333,11
289,147107,14
290,146723,16
291,145715,15
292,144956,12
293,144436,19
294,144085,6
295,143362,5
296,143326,17
297,143060,9
298,143036,16
299,142037,18
300,141804,8
301,141365,4
302,140657,5
303,140460,11
304,139896,10
305,139302,7
306,139020,13
307,139002,14
308,138161,10
309,137173,17
310,134559,17
311,134367,10
312,134344,3
313,133915,16
314,132768,20
315,131437,9
316,130990,9
317,130961,3
