ID,X,COPIES
0,993922,10
1,992227,8
2,982026,3
3,976241,9
4,974263,13
5,971437,6
6,958405,10
7,954558,12
8,942713,8
9,941012,5
10,937735,2
11,932419,1
12,932166,9
13,923376,10
14,909054,2
15,905640,12
16,904386,11
17,902063,16
18,897698,19
19,884853,14
20,882149,19
21,877993,8
22,872825,10
23,872822,8
24,871643,20
25,849962,17
26,847906,18
27,836779,8
28,835659,13
29,831965,15
30,828420,16
31,816661,8
32,808978,20
33,806800,6
34,800891,6
35,799027,19
36,792334,4
37,791319,14
38,791004,19
39,790850,11
40,789536,12
41,786306,7
42,774532,1
43,760794,20
44,757583,1
45,749150,7
46,745444,13
47,735439,17
48,723293,10
49,722647,11
50,692467,15
51,690424,3
52,687568,13
53,680685,12
54,679829,15
55,677256,2
56,670976,8
57,669342,19
58,667393,15
59,664209,7
60,660254,6
61,647857,7
62,644754,15
63,644504,20
64,636853,9
65,615995,9
66,612217,10
67,593028,2
68,590723,4
69,590478,13
70,588208,3
71,587811,10
72,582429,15
73,582146,10
74,564191,8
75,548314,19
76,547064,17
77,542763,10
78,537529,12
79,511512,10
80,499184,17
81,490851,14
82,487561,9
83,485214,1
84,484068,4
85,478098,6
86,476862,13
87,476849,11
88,469203,11
89,468306,11
90,462624,18
91,455805,7
92,450342,20
93,437230,15
94,436230,15
95,431918,20
96,428201,18
97,418880,2
98,418711,5
99,413292,16
100,409599,3
101,382940,8
102,379088,11
103,367500,7
104,365177,10
105,364682,7
106,347026,7
107,334658,16
108,330079,5
109,318096,18
110,316177,14
111,313543,7
112,304032,11
113,286686,18
114,282467,11
115,275686,13
116,275375,19
117,270406,14
118,261058,18
119,258779,3
120,252107,17
121,244148,10
122,241228,3
123,222166,3
124,215383,4
