ID,X,COPIES
0,999177,4
1,996135,9
2,992094,20
3,991367,1
4,987462,18
5,985768,15
6,985251,5
7,983334,11
8,980052,11
9,979938,15
10,976971,12
11,976504,13
12,975311,15
13,975182,9
14,973762,4
15,972929,13
16,971600,9
17,970107,10
18,969966,13
19,966493,1
20,966275,12
21,962552,18
22,961954,10
23,960393,16
24,958885,1
25,955754,18
26,955454,14
27,953870,14
28,953232,9
29,948994,16
30,946503,13
31,946347,13
32,944117,5
33,942246,17
34,942027,11
35,941969,14
36,941247,8
37,938396,8
38,937750,2
39,937620,20
40,931813,13
41,930832,5
42,928890,8
43,928113,1
44,927898,2
45,926396,2
46,924049,3
47,923748,15
48,920453,16
49,920070,2
50,917392,11
51,917272,12
52,914206,1
53,912682,16
54,909605,3
55,908405,19
56,908015,14
57,907409,13
58,905823,8
59,903597,9
60,901292,9
61,891004,17
62,890685,18
63,890569,13
64,889012,5
65,887575,17
66,885980,7
67,884547,3
68,883327,5
69,883311,12
70,882735,1
71,881324,3
72,880058,18
73,879871,6
74,877942,14
75,877795,19
76,873523,9
77,868749,2
78,868587,10
79,867601,10
80,862637,15
81,861110,11
82,859229,9
83,854148,5
84,853917,3
85,853387,10
86,844352,17
87,841800,14
88,838068,16
89,837950,17
90,837655,7
91,836503,8
92,836318,9
93,835558,7
94,835225,16
95,834111,2
96,831165,3
97,822974,16
98,822502,5
99,821450,6
100,818106,12
101,817966,16
102,810279,8
103,809006,10
104,808986,5
105,808704,8
106,807756,20
107,804358,15
108,803309,1
109,803102,20
110,797756,17
111,787963,14
112,781211,5
113,778485,20
114,773691,4
115,773446,6
116,772702,9
117,772187,8
118,771563,11
119,762610,13
120,762164,10
121,759270,1
122,759168,8
123,749750,6
124,748898,16
125,745625,20
126,744437,9
127,742265,11
128,741978,20
129,740409,4
130,736096,6
131,732122,2
132,731999,14
133,730783,6
134,727025,3
135,725480,11
136,722156,3
137,721832,8
138,720745,16
139,717417,14
140,715648,13
141,711690,12
142,710338,8
143,710142,2
144,709608,14
145,707783,10
146,706351,11
147,704578,7
148,703080,14
149,698391,13
150,696350,8
151,693049,11
152,690866,8
153,690705,11
154,689790,9
155,687163,12
156,685421,4
157,681086,10
158,679565,10
159,677569,12
160,675696,20
161,673737,18
162,672644,11
163,672280,1
164,668326,3
165,666659,3
166,665277,14
167,661655,14
168,661528,19
169,659491,1
170,657784,19
171,657630,1
172,653301,18
173,652172,1
174,650317,11
175,649762,20
176,648989,5
177,644748,9
178,640702,19
179,638109,15
180,637147,20
181,636453,19
182,631036,16
183,629933,5
184,627788,18
185,626937,15
186,625058,9
187,624310,14
188,623822,19
189,620320,5
190,620271,1
191,619781,10
192,619234,12
193,617753,10
194,614345,5
195,613442,13
196,612966,11
197,603496,11
198,603113,14
199,600147,3
200,600006,3
201,598166,12
202,594375,12
203,592904,20
204,592852,4
205,586017,14
206,584114,14
207,582563,11
208,582450,20
209,578526,11
210,576330,2
211,572487,20
212,571530,20
213,571002,13
214,570888,2
215,570772,18
216,570722,15
217,567188,19
218,566224,19
219,565052,10
220,559683,16
221,557132,3
222,557040,4
223,554520,11
224,554511,7
225,554158,20
226,552672,18
227,550701,2
228,545430,18
229,544962,9
230,541953,8
231,539596,20
232,538625,14
233,536583,19
234,536166,14
235,532426,4
236,532170,20
237,531886,6
238,529612,18
239,529446,13
240,528410,10
241,526609,10
242,525052,15
243,524735,20
244,524491,12
245,522658,5
246,520158,8
247,520097,17
248,518017,6
249,517849,15
250,509866,16
251,508119,4
252,506503,11
253,504515,6
254,502069,4
255,501085,17
256,500890,7
257,500164,9
258,498882,16
259,497794,14
260,497552,1
261,496741,16
262,496633,7
263,494521,2
264,493460,17
265,490635,14
266,489863,4
267,485562,6
268,485488,9
269,483184,10
270,481974,4
271,480759,4
272,478799,15
273,477724,8
274,477382,20
275,477003,12
276,475721,2
277,472370,4
278,460558,3
279,458144,7
280,455422,3
281,453770,6
282,453741,11
283,450681,9
284,449800,11
285,449378,15
286,448612,19
287,448396,5
288,447311,13
289,446446,6
290,443513,10
291,443394,13
292,442983,19
293,440306,7
294,437319,11
295,434774,7
296,434531,18
297,431989,15
298,431590,10
299,422192,17
300,420328,4
301,411541,15
302,411023,20
303,404977,19
304,402620,19
305,402032,8
306,400639,12
307,396445,13
308,394517,13
309,391239,20
310,387508,3
311,386111,11
312,381586,19
313,379238,1
314,379139,8
315,375191,17
316,373720,9
317,373326,7
318,370123,7
319,369404,8
320,368551,16
321,367425,9
322,365430,5
323,364643,2
324,362854,14
325,362469,3
326,361905,19
327,361536,12
328,361350,9
329,359490,8
330,355461,15
331,354561,2
332,349765,6
333,348427,7
334,347437,17
335,342733,18
336,340249,8
337,339897,9
338,339507,17
339,338704,15
340,335573,6
341,335364,18
342,334756,17
343,334346,4
344,333831,14
345,333032,19
346,332759,4
347,326494,5
348,325830,12
349,325374,8
350,324230,13
351,322662,8
352,320482,14
353,319710,5
354,319304,4
355,318051,9
356,316899,4
357,315275,7
358,312267,14
359,310414,17
360,310159,17
361,308348,16
362,307185,12
363,304581,13
364,293640,5
365,293461,13
366,293184,3
367,292073,17
368,290243,13
369,286603,18
370,285811,1
371,285250,16
372,284307,19
373,284190,11
374,280961,8
375,280324,11
376,279867,14
377,279220,6
378,278589,1
379,278452,12
380,277901,1
381,275292,10
382,273644,17
383,270626,2
384,267349,12
385,267203,7
386,258441,1
387,258062,13
388,254864,13
389,254650,20
390,251761,11
391,242921,9
392,242539,19
393,242034,5
394,240926,11
395,238193,10
396,237701,13
397,237362,11
398,235994,20
399,233392,8
400,232573,9
401,232229,13
402,226175,5
403,225815,12
404,222568,7
405,219851,19
406,218443,7
407,218369,9
408,217793,9
409,216846,6
410,212094,8
411,209454,8
412,208617,1
413,207415,12
414,206993,7
415,206539,15
416,205743,4
417,201354,14
418,199733,14
419,199063,3
420,198787,10
421,198327,19
422,194350,12
423,192657,5
424,191808,10
425,191339,5
426,191173,14
427,189081,6
428,187831,20
429,180165,8
430,177881,4
431,176541,14
432,175938,14
433,171004,15
434,163589,16
435,159253,17
436,153269,20
437,152846,16
438,148819,7
439,147650,14
440,144411,17
441,143391,3
442,132338,3
443,132197,3
444,131601,7
445,130766,5
446,130391,10
447,130360,15
448,124513,20
449,118956,16
450,118237,5
451,109606,9
452,108217,15
453,107229,9
454,105632,19
455,104797,9
456,103947,19
457,101700,20
458,100190,5
459,98599,19
460,97626,19
461,92774,8
462,92447,13
463,87457,5
464,87256,3
465,87103,1
466,86006,7
467,84669,7
468,81282,12
469,80635,4
470,75489,1
471,74357,10
472,71672,3
473,71241,7
474,68396,18
475,67603,15
476,60508,9
477,60338,18
478,60331,12
479,58402,16
480,56413,9
481,54871,9
482,51028,11
483,49408,15
484,48269,7
485,47811,20
486,46947,17
487,45219,18
488,44926,2
489,37145,8
490,36984,2
491,36866,15
492,34408,5
493,33171,13
494,33006,8
495,32639,20
496,28897,7
497,25723,8
498,20283,7
499,15840,11
