TYPE,ID,COPIES,BIN,X,LX
BIN,0,1,0,0,4000
ITEM,0,1,0,0,1022
ITEM,1,1,0,1026,1022
ITEM,12,1,0,2052,925
ITEM,2,1,0,2981,922
BIN,0,1,1,0,4000
ITEM,2,1,1,0,922
ITEM,2,1,1,926,922
ITEM,4,1,1,1852,920
ITEM,4,1,1,2776,920
ITEM,10,1,1,3700,265
BIN,0,1,2,0,4000
ITEM,4,1,2,0,920
ITEM,4,1,2,924,920
ITEM,4,1,2,1848,920
ITEM,13,1,2,2772,515
ITEM,3,1,2,3291,512
BIN,0,1,3,0,4000
ITEM,3,1,3,0,512
ITEM,3,1,3,516,512
ITEM,5,1,3,1032,510
ITEM,5,1,3,1546,510
ITEM,5,1,3,2060,510
ITEM,5,1,3,2574,510
ITEM,5,1,3,3088,510
ITEM,8,1,3,3602,315
BIN,0,1,4,0,4000
ITEM,6,1,4,0,415
ITEM,7,1,4,419,415
ITEM,8,1,4,838,315
ITEM,9,1,4,1157,315
ITEM,9,1,4,1476,315
ITEM,11,1,4,1795,265
ITEM,14,1,4,2064,215
ITEM,15,1,4,2283,215
