TYPE,ID,COPIES,BIN,X,LX
BIN,0,13320,0,0,6000
ITEM,3,13320,0,0,2487
ITEM,1,13320,0,2491,1587
ITEM,1,13320,0,4082,1587
BIN,0,124,1,0,6000
ITEM,2,124,1,0,1987
ITEM,2,124,1,1991,1987
ITEM,2,124,1,3982,1987
BIN,0,231,2,0,6000
ITEM,3,231,2,0,2487
ITEM,3,231,2,2491,2487
BIN,0,820,3,0,6000
ITEM,0,820,3,0,837
ITEM,3,820,3,841,2487
ITEM,3,820,3,3332,2487
BIN,0,40,4,0,6000
ITEM,6,40,4,0,747
ITEM,3,40,4,751,2487
ITEM,3,40,4,3242,2487
BIN,0,40,5,0,6000
ITEM,3,40,5,0,2487
ITEM,3,40,5,2491,2487
ITEM,4,40,5,4982,727
BIN,0,20,6,0,6000
ITEM,3,20,6,0,2487
ITEM,5,20,6,2491,1627
ITEM,5,20,6,4122,1627
