ID,WIDTH,HEIGHT
0,1020,371
1,365,613
2,302,287
3,586,381
4,946,255
5,929,269
6,836,105
7,160,617
8,361,436
9,193,214
10,429,111
11,744,593
12,136,583
13,930,242
14,467,143
15,523,172
16,380,84
17,862,521
18,725,216
19,878,617
20,560,92
21,961,247
22,388,310
23,1034,419
24,520,491
25,1011,259
26,898,159
27,911,172
28,596,249
29,638,570
30,604,171
31,322,99
32,822,592
33,328,150
34,341,81
35,910,405
36,1039,280
37,632,105
38,808,439
39,800,507
40,1014,471
41,463,82
42,867,138
43,173,506
44,551,560
45,846,305
46,380,152
47,471,419
48,513,226
49,482,246
50,332,505
51,870,527
52,211,349
53,414,98
54,207,621
55,213,602
56,241,540
57,500,567
