ID,WIDTH,HEIGHT,PROFIT
0,269,455,39167
1,488,553,97152
2,1059,437,226764
3,181,138,9242
4,234,273,30025
5,688,595,221055
6,402,255,71757
7,211,361,19043
8,951,168,76689
9,178,784,103269
10,760,333,75925
11,419,379,57169
12,1040,155,56420
13,170,623,77315
14,693,824,279806
15,1083,398,245690
16,337,360,41249
17,869,490,217164
18,750,190,58425
19,346,435,87296
20,490,375,53288
21,167,248,25678
22,268,467,53818
23,508,409,72721
24,807,826,299962
25,883,821,326225
26,809,709,286791
27,1020,237,70105
28,744,510,102449
29,913,585,304440
30,1058,773,343491
31,983,661,441839
32,501,183,66929
33,469,639,152843
34,269,675,123472
35,681,386,102518
36,667,436,191936
37,774,460,210064
38,750,678,376291
39,287,610,49020
40,912,306,142327
41,857,216,136983
42,867,651,231411
43,447,675,132759
44,581,328,139115
45,994,112,34512
46,383,156,34654
47,978,383,198525
48,238,411,48909
49,455,493,82997
50,1048,762,463175
51,514,826,258985
