ID,WIDTH,HEIGHT,COPIES
0,99,18,2
1,80,17,2
2,67,16,2
3,70,44,2
4,23,36,2
5,51,16,2
6,58,8,9
7,53,25,3
8,98,19,6
9,117,21,1
10,52,11,3
11,77,41,2
12,72,27,9
13,92,35,7
14,81,46,6
15,23,18,4
16,64,21,1
17,99,37,1
18,47,34,5
19,109,32,2
20,95,37,7
21,96,29,7
22,105,19,8
23,105,13,1
24,46,19,8
25,55,42,5
26,95,43,6
27,42,6,2
28,49,42,1
29,26,10,2
30,28,19,5
31,59,9,2
32,16,14,5
33,99,37,7
34,55,45,8
35,51,20,7
36,29,26,7
37,39,15,5
38,99,15,8
39,47,39,4
40,84,14,5
41,106,12,6
42,32,14,7
43,72,33,7
44,52,21,2
45,51,26,5
46,62,23,1
47,100,29,4
48,68,32,1
49,37,27,3
50,51,13,4
51,19,30,6
52,60,22,2
53,64,9,4
54,118,28,8
55,120,24,8
