ID,WIDTH,HEIGHT,PROFIT,COPIES
0,48,85,2734,2
1,125,211,8440,6
2,56,135,2495,7
3,88,147,5046,8
4,142,173,11055,5
5,116,80,6311,6
6,40,198,5624,4
7,98,99,4269,7
8,26,179,2653,2
9,113,191,6260,6
10,135,67,6422,1
11,105,73,3756,1
12,148,215,23547,3
13,51,205,6483,9
14,89,82,2044,7
15,88,116,5207,2
16,113,56,1836,5
17,27,52,731,7
18,63,208,3408,6
19,62,123,4729,1
20,86,32,1982,3
21,46,59,788,1
22,90,156,6740,6
23,94,154,10278,8
24,116,186,6473,6
25,35,99,901,1
26,102,85,2341,9
27,47,168,3238,5
28,154,195,17718,4
29,141,100,4372,5
30,75,143,6221,7
31,146,140,5110,6
32,72,77,2994,8
33,53,164,3999,2
34,53,200,5088,8
35,32,185,3908,7
36,90,117,5581,1
37,124,111,6194,7
38,25,161,1128,1
39,156,100,8581,3
40,108,212,9617,4
41,152,177,7265,3
42,82,92,4301,4
