ID,WIDTH,HEIGHT,PROFIT
0,348,220,76560
1,255,184,46920
2,191,249,47559
3,212,194,41128
4,348,322,112056
5,171,369,63099
6,206,327,67362
7,221,277,61217
8,250,202,50500
9,205,226,46330
10,193,280,54040
11,364,311,113204
12,264,224,59136
13,244,347,84668
14,270,338,91260
15,224,236,52864
16,168,177,29736
17,285,347,98895
18,315,294,92610
19,247,219,54093
20,315,302,95130
21,129,147,18963
22,268,273,73164
23,350,352,123200
24,186,258,47988
25,365,374,136510
26,145,259,37555
27,284,184,52256
28,129,198,25542
29,146,351,51246
