ID,WIDTH,HEIGHT,PROFIT,COPIES
0,48,48,5145,1
1,6,85,874,2
2,100,14,2924,1
3,17,85,3182,1
4,69,20,2862,1
5,12,72,1224,1
6,5,48,531,3
7,1,97,249,3
8,66,36,6601,2
9,15,53,1005,1
10,29,80,6228,3
11,19,77,3362,1
12,97,7,907,1
13,7,57,473,2
14,63,37,6137,2
15,71,14,1556,1
16,3,76,313,3
17,34,54,4123,1
18,5,91,581,2
19,14,87,1999,1
20,62,28,5004,3
21,6,7,2040,3
22,20,71,3143,1
23,92,7,795,1
24,10,77,1460,2
25,99,4,841,3
26,14,44,1107,2
27,100,2,280,3
28,56,40,5898,2
29,86,14,2096,1
30,22,93,4411,1
31,13,99,3456,3
32,7,76,1406,3
