ID,WIDTH,HEIGHT,PROFIT,COPIES
0,85,9,2295,1
1,36,32,3456,1
2,32,48,1536,1
3,24,34,816,1
4,27,36,972,1
5,41,10,820,1
6,43,83,3569,1
7,33,12,1188,1
8,47,25,3525,1
9,3,33,198,1
10,77,30,4620,1
11,35,25,1750,1
12,28,25,700,1
13,20,36,1440,1
14,10,36,720,1
15,77,21,3234,1
16,77,67,5159,1
17,48,96,9216,1
18,2,35,140,1
19,31,35,3255,1
20,91,94,8554,1
21,90,83,7470,1
22,46,39,5382,1
23,30,31,2790,1
24,32,19,1216,1
25,8,26,624,1
26,35,21,1470,1
27,79,47,11139,1
28,11,93,2046,1
29,89,29,7743,1
30,95,24,6840,1
31,5,50,750,1
32,29,47,4089,1
33,6,26,468,1
34,33,98,3234,1
35,20,9,540,1
36,23,86,3956,1
37,13,77,2002,1
38,17,22,374,1
39,30,28,1680,1
40,98,58,5684,1
41,45,17,765,1
42,44,91,12012,1
43,41,48,5904,1
44,98,30,8820,1
45,46,19,874,1
46,18,46,828,1
47,4,12,48,1
48,22,45,1980,1
49,40,37,2960,1
50,26,86,4472,1
51,20,86,1720,1
52,21,11,462,1
53,69,87,6003,1
54,82,33,2706,1
55,43,38,4902,1
56,87,28,2436,1
57,4,32,384,1
58,34,3,306,1
59,90,25,2250,1
60,86,4,1032,1
61,45,16,720,1
62,51,89,13617,1
63,8,41,656,1
64,9,22,396,1
65,26,19,988,1
66,10,49,490,1
67,29,48,2784,1
68,84,78,19656,1
69,27,19,513,1
70,56,82,9184,1
71,47,45,6345,1
72,41,93,7626,1
73,40,82,9840,1
74,19,24,1368,1
75,3,47,282,1
76,77,69,5313,1
77,25,43,1075,1
78,31,21,1302,1
79,44,41,3608,1
80,34,33,1122,1
81,36,33,1188,1
82,76,93,7068,1
83,16,5,80,1
84,46,34,4692,1
85,86,16,2752,1
86,12,30,720,1
87,86,50,4300,1
88,97,39,11349,1
89,95,76,7220,1
90,16,49,1568,1
91,16,43,2064,1
92,40,15,1800,1
93,40,36,1440,1
94,3,33,297,1
95,41,88,3608,1
96,41,37,1517,1
97,19,50,950,1
98,33,32,3168,1
99,31,28,2604,1
100,48,38,5472,1
101,89,70,6230,1
102,95,29,8265,1
103,24,47,3384,1
104,92,10,1840,1
105,44,20,2640,1
106,94,94,17672,1
107,20,34,2040,1
108,18,9,162,1
109,4,92,1104,1
110,76,30,2280,1
111,38,31,3534,1
112,92,37,6808,1
113,3,26,78,1
114,17,2,68,1
115,47,50,2350,1
116,3,2,18,1
117,10,2,20,1
118,82,41,3362,1
119,49,32,3136,1
120,5,9,135,1
121,46,50,2300,1
122,55,61,3355,1
123,48,23,3312,1
124,62,58,3596,1
125,46,5,230,1
126,20,29,580,1
127,94,47,4418,1
128,20,86,1720,1
129,36,13,1404,1
130,21,22,462,1
131,13,29,1131,1
132,72,76,5472,1
133,35,11,770,1
134,15,30,1350,1
135,39,80,6240,1
136,10,24,720,1
137,39,8,936,1
138,20,45,1800,1
139,81,4,648,1
140,29,16,928,1
141,6,89,534,1
142,77,50,11550,1
143,71,97,20661,1
144,47,8,376,1
145,5,34,340,1
146,95,61,17385,1
147,29,100,8700,1
148,90,5,1350,1
149,20,78,3120,1
