ID,WIDTH,HEIGHT
0,6,8
1,4,11
2,3,10
3,7,4
4,6,12
5,6,11
6,8,12
7,6,3
8,3,4
9,8,3
10,1,9
11,3,1
12,6,8
13,3,11
14,1,11
15,8,9
16,1,9
17,5,11
18,7,1
19,8,7
20,3,10
21,8,2
22,3,8
23,3,7
24,4,8
25,7,2
26,7,12
27,2,1
28,8,3
29,1,1
30,7,12
31,4,3
32,4,8
33,5,11
34,6,5
35,8,8
36,1,4
37,3,10
38,7,12
39,3,12
40,7,10
41,4,5
42,2,3
43,7,7
44,8,11
45,5,10
46,7,4
47,4,5
48,3,2
49,3,3
50,3,8
51,4,11
52,1,8
53,7,8
54,5,6
55,5,8
56,8,4
57,8,8
58,2,7
59,2,6
60,2,9
61,6,7
62,5,1
63,2,5
64,4,11
65,3,11
66,1,3
67,2,9
68,7,11
69,4,10
70,4,5
71,2,11
72,3,7
73,6,12
74,5,11
75,6,2
76,4,10
77,4,10
78,3,1
79,4,2
80,6,5
81,1,11
82,1,1
83,7,7
84,8,3
85,8,10
86,7,4
87,6,7
88,5,9
89,2,5
90,3,7
91,6,11
92,7,9
93,6,7
94,6,9
95,2,4
96,6,4
97,1,3
98,4,12
99,2,4
100,5,9
101,7,6
102,1,2
103,5,6
104,4,11
105,2,4
106,6,8
107,6,1
108,5,5
109,5,5
110,5,10
111,8,11
112,6,2
113,5,1
114,3,6
115,5,11
116,6,9
117,4,8
118,7,12
119,3,8
