ID,WIDTH,HEIGHT
0,9,5
1,4,1
2,2,8
3,9,4
4,2,1
5,6,4
6,4,4
7,6,1
8,5,1
9,5,4
10,6,2
11,10,9
12,2,5
13,1,3
14,10,7
15,4,7
16,2,5
17,6,6
18,2,9
19,8,7
20,7,5
21,5,2
22,10,10
23,4,5
24,4,5
25,7,4
26,7,5
27,8,9
28,10,8
29,5,6
30,8,4
31,9,2
32,9,8
33,4,9
34,3,8
35,8,10
36,5,5
37,3,4
38,3,3
39,2,1
40,8,10
41,4,6
42,4,8
43,9,7
44,10,10
45,2,5
46,5,5
47,1,5
48,6,3
49,8,3
50,9,10
51,5,2
52,5,2
53,2,5
54,10,1
55,9,1
56,10,2
57,10,1
58,7,1
59,4,9
60,6,1
61,2,2
62,4,6
63,7,2
64,2,3
65,9,4
66,5,4
67,7,5
68,10,3
69,7,6
70,9,7
71,6,2
72,5,9
73,5,10
74,8,2
75,9,2
76,8,4
77,6,2
78,9,6
79,6,8
