ID,WIDTH,HEIGHT
0,89,90
1,89,90
2,89,90
3,89,90
4,89,90
5,89,90
6,89,90
7,89,90
8,89,90
9,89,90
10,84,83
11,84,83
12,84,83
13,84,83
14,84,83
15,84,83
16,84,83
17,84,83
18,84,83
19,84,83
20,70,87
21,70,87
22,70,87
23,70,87
24,70,87
25,70,87
26,70,87
27,70,87
28,70,87
29,70,87
30,86,67
31,86,67
32,86,67
33,86,67
34,86,67
35,86,67
36,86,67
37,86,67
38,86,67
39,86,67
40,88,64
41,88,64
42,88,64
43,88,64
44,88,64
45,88,64
46,88,64
47,88,64
48,88,64
49,88,64
50,67,82
51,67,82
52,67,82
53,67,82
54,67,82
55,67,82
56,67,82
57,67,82
58,67,82
59,67,82
60,87,63
61,87,63
62,87,63
63,87,63
64,87,63
65,87,63
66,87,63
67,87,63
68,87,63
69,87,63
70,80,62
71,80,62
72,80,62
73,80,62
74,80,62
75,80,62
76,80,62
77,80,62
78,80,62
79,80,62
80,81,60
81,81,60
82,81,60
83,81,60
84,81,60
85,81,60
86,81,60
87,81,60
88,81,60
89,81,60
90,56,85
91,56,85
92,56,85
93,56,85
94,56,85
95,56,85
96,56,85
97,56,85
98,56,85
99,56,85
100,72,65
101,72,65
102,72,65
103,72,65
104,72,65
105,72,65
106,72,65
107,72,65
108,72,65
109,72,65
110,50,90
111,50,90
112,50,90
113,50,90
114,50,90
115,50,90
116,50,90
117,50,90
118,50,90
119,50,90
120,52,85
121,52,85
122,52,85
123,52,85
124,52,85
125,52,85
126,52,85
127,52,85
128,52,85
129,52,85
130,52,82
131,52,82
132,52,82
133,52,82
134,52,82
135,52,82
136,52,82
137,52,82
138,52,82
139,52,82
140,49,87
141,49,87
142,49,87
143,49,87
144,49,87
145,49,87
146,49,87
147,49,87
148,49,87
149,49,87
150,51,83
151,51,83
152,51,83
153,51,83
154,51,83
155,51,83
156,51,83
157,51,83
158,51,83
159,51,83
160,89,47
161,89,47
162,89,47
163,89,47
164,89,47
165,89,47
166,89,47
167,89,47
168,89,47
169,89,47
170,62,67
171,62,67
172,62,67
173,62,67
174,62,67
175,62,67
176,62,67
177,62,67
178,62,67
179,62,67
180,89,46
181,89,46
182,89,46
183,89,46
184,89,46
185,89,46
186,89,46
187,89,46
188,89,46
189,89,46
190,61,66
191,61,66
192,61,66
193,61,66
194,61,66
195,61,66
196,61,66
197,61,66
198,61,66
199,61,66
200,86,46
201,86,46
202,86,46
203,86,46
204,86,46
205,86,46
206,86,46
207,86,46
208,86,46
209,86,46
210,46,82
211,46,82
212,46,82
213,46,82
214,46,82
215,46,82
216,46,82
217,46,82
218,46,82
219,46,82
220,61,60
221,61,60
222,61,60
223,61,60
224,61,60
225,61,60
226,61,60
227,61,60
228,61,60
229,61,60
230,65,56
231,65,56
232,65,56
233,65,56
234,65,56
235,65,56
236,65,56
237,65,56
238,65,56
239,65,56
240,58,62
241,58,62
242,58,62
243,58,62
244,58,62
245,58,62
246,58,62
247,58,62
248,58,62
249,58,62
250,38,87
251,38,87
252,38,87
253,38,87
254,38,87
255,38,87
256,38,87
257,38,87
258,38,87
259,38,87
260,69,46
261,69,46
262,69,46
263,69,46
264,69,46
265,69,46
266,69,46
267,69,46
268,69,46
269,69,46
270,67,46
271,67,46
272,67,46
273,67,46
274,67,46
275,67,46
276,67,46
277,67,46
278,67,46
279,67,46
280,88,35
281,88,35
282,88,35
283,88,35
284,88,35
285,88,35
286,88,35
287,88,35
288,88,35
289,88,35
290,52,59
291,52,59
292,52,59
293,52,59
294,52,59
295,52,59
296,52,59
297,52,59
298,52,59
299,52,59
300,44,69
301,44,69
302,44,69
303,44,69
304,44,69
305,44,69
306,44,69
307,44,69
308,44,69
309,44,69
310,79,37
311,79,37
312,79,37
313,79,37
314,79,37
315,79,37
316,79,37
317,79,37
318,79,37
319,79,37
320,56,51
321,56,51
322,56,51
323,56,51
324,56,51
325,56,51
326,56,51
327,56,51
328,56,51
329,56,51
330,64,44
331,64,44
332,64,44
333,64,44
334,64,44
335,64,44
336,64,44
337,64,44
338,64,44
339,64,44
340,38,72
341,38,72
342,38,72
343,38,72
344,38,72
345,38,72
346,38,72
347,38,72
348,38,72
349,38,72
350,71,38
351,71,38
352,71,38
353,71,38
354,71,38
355,71,38
356,71,38
357,71,38
358,71,38
359,71,38
360,31,87
361,31,87
362,31,87
363,31,87
364,31,87
365,31,87
366,31,87
367,31,87
368,31,87
369,31,87
370,34,78
371,34,78
372,34,78
373,34,78
374,34,78
375,34,78
376,34,78
377,34,78
378,34,78
379,34,78
380,61,40
381,61,40
382,61,40
383,61,40
384,61,40
385,61,40
386,61,40
387,61,40
388,61,40
389,61,40
390,44,55
391,44,55
392,44,55
393,44,55
394,44,55
395,44,55
396,44,55
397,44,55
398,44,55
399,44,55
400,62,38
401,62,38
402,62,38
403,62,38
404,62,38
405,62,38
406,62,38
407,62,38
408,62,38
409,62,38
410,55,41
411,55,41
412,55,41
413,55,41
414,55,41
415,55,41
416,55,41
417,55,41
418,55,41
419,55,41
420,56,40
421,56,40
422,56,40
423,56,40
424,56,40
425,56,40
426,56,40
427,56,40
428,56,40
429,56,40
430,25,87
431,25,87
432,25,87
433,25,87
434,25,87
435,25,87
436,25,87
437,25,87
438,25,87
439,25,87
440,77,28
441,77,28
442,77,28
443,77,28
444,77,28
445,77,28
446,77,28
447,77,28
448,77,28
449,77,28
450,29,74
451,29,74
452,29,74
453,29,74
454,29,74
455,29,74
456,29,74
457,29,74
458,29,74
459,29,74
460,29,69
461,29,69
462,29,69
463,29,69
464,29,69
465,29,69
466,29,69
467,29,69
468,29,69
469,29,69
470,86,23
471,86,23
472,86,23
473,86,23
474,86,23
475,86,23
476,86,23
477,86,23
478,86,23
479,86,23
480,23,85
481,23,85
482,23,85
483,23,85
484,23,85
485,23,85
486,23,85
487,23,85
488,23,85
489,23,85
490,33,55
491,33,55
492,33,55
493,33,55
494,33,55
495,33,55
496,33,55
497,33,55
498,33,55
499,33,55
500,75,24
501,75,24
502,75,24
503,75,24
504,75,24
505,75,24
506,75,24
507,75,24
508,75,24
509,75,24
510,90,20
511,90,20
512,90,20
513,90,20
514,90,20
515,90,20
516,90,20
517,90,20
518,90,20
519,90,20
520,51,35
521,51,35
522,51,35
523,51,35
524,51,35
525,51,35
526,51,35
527,51,35
528,51,35
529,51,35
530,19,90
531,19,90
532,19,90
533,19,90
534,19,90
535,19,90
536,19,90
537,19,90
538,19,90
539,19,90
540,36,47
541,36,47
542,36,47
543,36,47
544,36,47
545,36,47
546,36,47
547,36,47
548,36,47
549,36,47
550,49,34
551,49,34
552,49,34
553,49,34
554,49,34
555,49,34
556,49,34
557,49,34
558,49,34
559,49,34
560,57,29
561,57,29
562,57,29
563,57,29
564,57,29
565,57,29
566,57,29
567,57,29
568,57,29
569,57,29
570,57,28
571,57,28
572,57,28
573,57,28
574,57,28
575,57,28
576,57,28
577,57,28
578,57,28
579,57,28
580,50,31
581,50,31
582,50,31
583,50,31
584,50,31
585,50,31
586,50,31
587,50,31
588,50,31
589,50,31
590,74,20
591,74,20
592,74,20
593,74,20
594,74,20
595,74,20
596,74,20
597,74,20
598,74,20
599,74,20
600,16,88
601,16,88
602,16,88
603,16,88
604,16,88
605,16,88
606,16,88
607,16,88
608,16,88
609,16,88
610,39,35
