ID,WIDTH,HEIGHT
0,15,75
1,12,80
2,27,6
3,3,13
4,10,3
5,9,21
6,8,11
7,6,13
8,2,9
9,51,10
10,6,6
11,11,12
12,2,10
13,8,12
14,13,47
15,14,37
16,3,11
17,3,6
18,1,4
19,1,6
20,27,5
21,14,3
22,10,4
23,5,20
24,3,11
25,14,5
26,5,2
27,7,2
28,12,9
29,2,1
30,12,8
31,5,28
32,8,6
33,35,7
34,7,14
35,10,45
36,4,19
37,13,17
38,62,9
39,36,11
40,38,18
41,4,2
42,9,5
43,8,3
44,30,20
45,6,7
46,36,10
47,27,7
48,17,3
49,6,4
50,11,10
51,5,25
52,7,26
53,10,44
54,19,4
55,8,31
56,33,6
57,11,73
58,8,27
59,6,2
60,2,9
61,25,9
62,9,39
63,9,17
64,12,7
65,21,101
66,3,10
67,3,7
68,4,10
69,8,22
70,5,3
71,2,1
72,1,2
73,22,59
74,1,2
75,1,1
76,2,1
77,11,56
78,10,39
79,5,5
80,3,20
81,2,1
82,2,7
83,7,6
84,13,12
85,17,34
86,16,46
87,1,1
88,6,13
89,3,12
90,6,10
91,9,15
92,6,24
93,1,1
94,5,7
95,4,1
96,2,13
97,11,9
98,1,6
99,3,16
100,7,11
101,8,15
102,6,10
103,6,21
104,3,9
105,1,4
106,10,7
107,3,3
108,5,15
109,2,4
110,33,8
111,16,5
112,9,12
113,10,11
114,6,3
115,10,11
116,39,8
117,17,113
118,13,36
119,28,8
120,17,7
121,42,9
122,22,57
123,2,1
124,15,9
125,30,8
126,26,7
127,16,32
128,71,25
129,12,25
130,22,20
131,9,55
132,13,27
133,65,16
134,1,3
135,5,2
136,16,57
137,2,1
138,3,3
139,3,2
140,25,11
141,11,8
142,6,4
143,10,9
144,25,8
145,10,6
146,12,15
147,6,19
148,2,4
149,4,7
150,4,2
151,6,7
152,13,3
153,29,5
154,2,2
155,8,15
156,5,28
157,8,42
158,4,27
159,3,2
160,18,4
161,17,5
162,2,8
163,2,11
164,1,2
165,3,18
166,17,10
167,7,5
168,3,10
169,5,31
170,19,9
171,7,8
172,10,3
173,11,37
174,1,4
175,6,32
176,1,5
177,12,5
178,7,33
179,2,8
180,6,11
181,9,9
182,4,27
183,10,11
184,38,9
185,5,7
186,6,2
187,3,6
188,6,2
189,32,5
190,12,4
191,16,3
192,72,15
193,14,14
194,2,6
195,3,9
196,12,3
197,15,75
198,12,80
199,27,6
200,3,13
201,10,3
202,9,21
203,8,11
204,6,13
205,2,9
206,51,10
207,6,6
208,11,12
209,2,10
210,8,12
211,13,47
212,14,37
213,3,11
214,3,6
215,1,4
216,1,6
217,27,5
218,14,3
219,10,4
220,5,20
221,3,11
222,14,5
223,5,2
224,7,2
225,12,9
226,2,1
227,12,8
228,5,28
229,8,6
230,35,7
231,7,14
232,10,45
233,4,19
234,13,17
235,62,9
236,36,11
237,38,18
238,4,2
239,9,5
240,8,3
241,30,20
242,6,7
243,36,10
244,27,7
245,17,3
246,6,4
247,11,10
248,5,25
249,7,26
250,10,44
251,19,4
252,8,31
253,33,6
254,11,73
255,8,27
256,6,2
257,2,9
258,25,9
259,9,39
260,9,17
261,12,7
262,21,101
263,3,10
264,3,7
265,4,10
266,8,22
267,5,3
268,2,1
269,1,2
270,22,59
271,1,2
272,1,1
273,2,1
274,11,56
275,10,39
276,5,5
277,3,20
278,2,1
279,2,7
280,7,6
281,13,12
282,17,34
283,16,46
284,1,1
285,6,13
286,3,12
287,6,10
288,9,15
289,6,24
290,1,1
291,5,7
292,4,1
293,2,13
294,11,9
295,1,6
296,3,16
297,7,11
298,8,15
299,6,10
300,6,21
301,3,9
302,1,4
303,10,7
304,3,3
305,5,15
306,2,4
307,33,8
308,16,5
309,9,12
310,10,11
311,6,3
312,10,11
313,39,8
314,17,113
315,13,36
316,28,8
317,17,7
318,42,9
319,22,57
320,2,1
321,15,9
322,30,8
323,26,7
324,16,32
325,71,25
326,12,25
327,22,20
328,9,55
329,13,27
330,65,16
331,1,3
332,5,2
333,16,57
334,2,1
335,3,3
336,3,2
337,25,11
338,11,8
339,6,4
340,10,9
341,25,8
342,10,6
343,12,15
344,6,19
345,2,4
346,4,7
347,4,2
348,6,7
349,13,3
350,29,5
351,2,2
352,8,15
353,5,28
354,8,42
355,4,27
356,3,2
357,18,4
358,17,5
359,2,8
360,2,11
361,1,2
362,3,18
363,17,10
364,7,5
365,3,10
366,5,31
367,19,9
368,7,8
369,10,3
370,11,37
371,1,4
372,6,32
373,1,5
374,12,5
375,7,33
376,2,8
377,6,11
378,9,9
379,4,27
380,10,11
381,38,9
382,5,7
383,6,2
384,3,6
385,6,2
386,32,5
387,12,4
388,16,3
389,72,15
390,14,14
391,2,6
392,3,9
393,12,3
394,15,75
395,12,80
396,27,6
397,3,13
398,10,3
399,9,21
400,8,11
401,6,13
402,2,9
403,51,10
404,6,6
405,11,12
406,2,10
407,8,12
408,13,47
409,14,37
410,3,11
411,3,6
412,1,4
413,1,6
414,27,5
415,14,3
416,10,4
417,5,20
418,3,11
419,14,5
420,5,2
421,7,2
422,12,9
423,2,1
424,12,8
425,5,28
426,8,6
427,35,7
428,7,14
429,10,45
430,4,19
431,13,17
432,62,9
433,36,11
434,38,18
435,4,2
436,9,5
437,8,3
438,30,20
439,6,7
440,36,10
441,27,7
442,17,3
443,6,4
444,11,10
445,5,25
446,7,26
447,10,44
448,19,4
449,8,31
450,33,6
451,11,73
452,8,27
453,6,2
454,2,9
455,25,9
456,9,39
457,9,17
458,12,7
459,21,101
460,3,10
461,3,7
462,4,10
463,8,22
464,5,3
465,2,1
466,1,2
467,22,59
468,1,2
469,1,1
470,2,1
471,11,56
472,10,39
473,5,5
474,3,20
475,2,1
476,2,7
477,7,6
478,13,12
479,17,34
480,16,46
481,1,1
482,6,13
483,3,12
484,6,10
485,9,15
486,6,24
487,1,1
488,5,7
489,4,1
490,2,13
491,11,9
492,1,6
493,3,16
494,7,11
495,8,15
496,6,10
497,6,21
498,3,9
499,1,4
500,10,7
501,3,3
502,5,15
503,2,4
504,33,8
505,16,5
506,9,12
507,10,11
508,6,3
509,10,11
510,39,8
511,17,113
512,13,36
513,28,8
514,17,7
515,42,9
516,22,57
517,2,1
518,15,9
519,30,8
520,26,7
521,16,32
522,71,25
523,12,25
524,22,20
525,9,55
526,13,27
527,65,16
528,1,3
529,5,2
530,16,57
531,2,1
532,3,3
533,3,2
534,25,11
535,11,8
536,6,4
537,10,9
538,25,8
539,10,6
540,12,15
541,6,19
542,2,4
543,4,7
544,4,2
545,6,7
546,13,3
547,29,5
548,2,2
549,8,15
550,5,28
551,8,42
552,4,27
553,3,2
554,18,4
555,17,5
556,2,8
557,2,11
558,1,2
559,3,18
560,17,10
561,7,5
562,3,10
563,5,31
564,19,9
565,7,8
566,10,3
567,11,37
568,1,4
569,6,32
570,1,5
571,12,5
572,7,33
573,2,8
574,6,11
575,9,9
576,4,27
577,10,11
578,38,9
579,5,7
580,6,2
581,3,6
582,6,2
583,32,5
584,12,4
585,16,3
586,72,15
587,14,14
588,2,6
589,3,9
590,12,3
591,15,75
592,12,80
593,27,6
594,3,13
595,10,3
596,9,21
597,8,11
598,6,13
599,2,9
600,51,10
601,6,6
602,11,12
603,2,10
604,8,12
605,13,47
606,14,37
607,3,11
608,3,6
609,1,4
610,1,6
611,27,5
612,14,3
613,10,4
614,5,20
615,3,11
616,14,5
617,5,2
618,7,2
619,12,9
620,2,1
621,12,8
622,5,28
623,8,6
624,35,7
625,7,14
626,10,45
627,4,19
628,13,17
629,62,9
630,36,11
631,38,18
632,4,2
633,9,5
634,8,3
635,30,20
636,6,7
637,36,10
638,27,7
639,17,3
640,6,4
641,11,10
642,5,25
643,7,26
644,10,44
645,19,4
646,8,31
647,33,6
648,11,73
649,8,27
650,6,2
651,2,9
652,25,9
653,9,39
654,9,17
655,12,7
656,21,101
657,3,10
658,3,7
659,4,10
660,8,22
661,5,3
662,2,1
663,1,2
664,22,59
665,1,2
666,1,1
667,2,1
668,11,56
669,10,39
670,5,5
671,3,20
672,2,1
673,2,7
674,7,6
675,13,12
676,17,34
677,16,46
678,1,1
679,6,13
680,3,12
681,6,10
682,9,15
683,6,24
684,1,1
685,5,7
686,4,1
687,2,13
688,11,9
689,1,6
690,3,16
691,7,11
692,8,15
693,6,10
694,6,21
695,3,9
696,1,4
697,10,7
698,3,3
699,5,15
700,2,4
701,33,8
702,16,5
703,9,12
704,10,11
705,6,3
706,10,11
707,39,8
708,17,113
709,13,36
710,28,8
711,17,7
712,42,9
713,22,57
714,2,1
715,15,9
716,30,8
717,26,7
718,16,32
719,71,25
720,12,25
721,22,20
722,9,55
723,13,27
724,65,16
725,1,3
726,5,2
727,16,57
728,2,1
729,3,3
730,3,2
731,25,11
732,11,8
733,6,4
734,10,9
735,25,8
736,10,6
737,12,15
738,6,19
739,2,4
740,4,7
741,4,2
742,6,7
743,13,3
744,29,5
745,2,2
746,8,15
747,5,28
748,8,42
749,4,27
750,3,2
751,18,4
752,17,5
753,2,8
754,2,11
755,1,2
756,3,18
757,17,10
758,7,5
759,3,10
760,5,31
761,19,9
762,7,8
763,10,3
764,11,37
765,1,4
766,6,32
767,1,5
768,12,5
769,7,33
770,2,8
771,6,11
772,9,9
773,4,27
774,10,11
775,38,9
776,5,7
777,6,2
778,3,6
779,6,2
780,32,5
781,12,4
782,16,3
783,72,15
784,14,14
785,2,6
786,3,9
787,12,3
788,15,75
789,12,80
790,27,6
791,3,13
792,10,3
793,9,21
794,8,11
795,6,13
796,2,9
797,51,10
798,6,6
799,11,12
800,2,10
801,8,12
802,13,47
803,14,37
804,3,11
805,3,6
806,1,4
807,1,6
808,27,5
809,14,3
810,10,4
811,5,20
812,3,11
813,14,5
814,5,2
815,7,2
816,12,9
817,2,1
818,12,8
819,5,28
820,8,6
821,35,7
822,7,14
823,10,45
824,4,19
825,13,17
826,62,9
827,36,11
828,38,18
829,4,2
830,9,5
831,8,3
832,30,20
