ID,WIDTH,HEIGHT,COPIES
0,139,103,77
1,166,99,75
2,88,74,16
3,174,139,17
4,128,109,64
5,175,179,78
6,62,82,35
7,178,87,15
8,121,77,53
9,125,97,27
10,73,84,79
11,69,97,76
12,122,159,60
13,66,69,7
14,111,118,23
15,165,86,87
16,71,83,19
17,163,162,62
18,67,132,35
19,121,152,68
20,68,150,61
21,138,124,81
22,141,105,36
23,183,122,83
24,171,63,75
25,101,64,53
26,103,95,8
27,110,107,78
28,184,158,84
29,85,97,27
30,86,92,96
31,127,155,8
32,92,147,41
33,106,97,27
34,177,108,31
35,164,150,48
36,68,84,11
37,62,151,79
38,123,134,90
39,158,178,63
40,70,140,56
41,173,117,40
42,147,136,78
43,141,145,86
44,84,164,67
45,144,141,75
46,92,103,94
47,156,98,50
48,160,111,93
49,127,131,59
