ID,WIDTH,HEIGHT,PROFIT,COPIES
0,206,321,66126,2
1,137,286,39182,2
2,135,323,43605,2
3,152,192,29184,2
4,182,289,52598,2
5,134,180,24120,2
6,109,163,17767,2
7,72,149,10728,2
8,91,180,16380,2
9,109,144,15696,2
10,180,311,55980,2
11,257,372,95604,2
12,230,328,75440,2
13,222,369,81918,2
14,234,358,83772,2
15,196,299,58604,2
16,126,342,43092,2
17,195,328,63960,2
18,127,351,44577,4
19,119,135,16065,2
20,125,356,44500,4
21,126,144,18144,6
22,196,339,66444,2
23,174,343,59682,2
24,168,355,59640,2
25,154,184,28336,2
26,160,216,34560,2
27,107,238,25466,2
28,85,159,13515,2
29,193,307,59251,2
30,178,319,56782,8
31,99,321,31779,2
32,53,119,6307,1
33,65,173,11245,3
34,82,105,8610,1
35,69,91,6279,1
36,47,59,2773,1
37,66,187,12342,2
38,104,334,34736,1
39,41,341,13981,2
40,117,337,39429,1
41,84,190,15960,8
42,78,290,22620,2
43,109,274,29866,1
44,94,193,18142,2
45,97,162,15714,2
46,138,181,24978,2
47,70,171,11970,6
48,77,211,16247,4
49,90,216,19440,2
50,84,248,20832,3
51,90,301,27090,2
52,82,284,23288,2
53,80,135,10800,6
54,63,229,14427,2
55,61,213,12993,2
56,67,185,12395,2
57,67,171,11457,2
58,93,232,21576,2
59,89,206,18334,4
60,99,284,28116,1
61,83,163,13529,2
62,85,160,13600,2
63,78,269,20982,6
64,100,143,14300,2
65,87,205,17835,6
66,104,198,20592,4
67,94,196,18424,4
68,85,207,17595,2
69,86,251,21586,2
70,117,275,32175,1
71,97,163,15811,2
72,98,166,16268,6
73,87,289,25143,2
74,80,316,25280,4
75,68,101,6868,3
76,110,274,30140,1
77,39,293,11427,1
78,92,381,35052,6
79,101,155,15655,4
80,41,89,3649,1
81,105,200,21000,2
82,103,129,13287,2
83,105,153,16065,2
84,80,207,16560,3
85,71,171,12141,6
86,108,113,12204,3
87,73,205,14965,2
88,65,206,13390,2
89,84,293,24612,8
90,78,288,22464,2
91,109,339,36951,1
92,107,240,25680,2
93,108,162,17496,1
94,107,151,16157,4
95,124,149,18476,1
96,133,195,25935,1
97,65,133,8645,4
98,66,188,12408,4
99,67,204,13668,2
