ID,WIDTH,HEIGHT,PROFIT,COPIES
0,74,243,1964,4
1,96,148,11252,2
2,50,122,18791,2
3,34,69,2608,2
4,91,225,3636,2
5,60,235,686,2
6,48,151,8158,2
7,82,182,4909,4
8,98,280,56841,1
9,71,280,6495,4
10,79,223,32318,4
11,105,158,6358,3
12,71,75,633,1
13,76,168,8853,6
14,76,119,28030,2
15,97,275,31796,1
16,77,102,5694,2
17,114,183,79282,4
18,113,183,13442,4
19,114,117,32058,4
20,74,207,23990,4
21,74,206,2254,4
22,85,204,13340,12
23,85,155,12700,2
24,74,334,6998,2
25,92,175,28378,6
26,85,175,21961,3
27,93,154,1950,1
28,99,294,13188,1
29,41,294,16662,1
30,63,279,19182,6
31,42,183,3869,1
32,83,135,7409,1
33,61,133,25175,2
34,92,275,21745,2
35,67,275,11839,2
36,93,273,24675,2
37,115,236,17863,1
38,169,335,56783,1
39,100,298,71233,1
40,93,113,11127,2
41,166,251,51050,1
42,90,218,29252,1
43,127,258,10010,1
44,113,228,14107,2
45,111,228,26694,2
46,114,225,12464,2
47,77,135,10044,1
48,52,77,2593,1
49,87,224,6885,4
50,129,285,31574,1
51,153,287,51095,1
52,153,202,26135,1
53,112,283,82446,2
54,73,402,59857,2
55,108,180,1195,3
56,146,342,174839,1
57,120,269,28463,1
58,104,340,102168,2
59,137,292,3019,2
60,98,302,4724,1
61,97,302,13482,1
62,185,332,129509,1
63,184,332,40885,2
64,140,174,80343,3
65,140,332,12475,3
66,100,126,41820,2
67,133,326,64836,6
68,137,326,68453,2
69,190,333,157427,4
70,174,326,12539,2
71,170,326,166467,2
72,87,328,9926,2
73,154,326,1366,1
74,153,326,36048,1
75,140,311,108453,2
76,124,311,76066,2
77,138,326,23791,4
78,176,240,7607,2
79,112,326,87494,2
80,156,345,135989,3
81,94,199,18320,2
82,148,180,4663,2
83,136,366,86098,1
84,126,157,155,6
85,136,233,60675,4
86,136,166,37902,6
87,184,191,15156,2
88,67,142,1967,16
89,183,326,1488,2
90,93,142,27830,2
91,79,306,12671,2
92,219,232,10638,2
93,219,233,59884,2
94,126,224,14215,2
95,165,316,729,2
96,160,316,21277,3
97,83,102,862,2
98,156,301,19828,2
99,137,329,14279,2
100,138,329,482,2
101,157,328,67381,2
102,157,371,42484,4
103,90,145,3402,2
104,124,335,104388,2
105,165,335,47200,2
106,153,186,4247,2
107,173,333,79897,1
108,140,321,23298,1
109,57,278,28365,2
110,63,87,7476,3
111,64,137,13200,1
112,98,186,4458,1
113,63,117,1816,1
114,80,329,7745,1
115,63,185,16535,1
116,71,185,19810,2
117,65,200,1620,2
118,86,180,1807,6
119,94,279,206,6
120,80,276,2401,2
121,56,175,10355,2
122,80,262,58945,2
123,77,242,9323,2
124,77,77,5958,2
125,96,292,3931,4
126,62,398,17940,4
127,70,261,16222,2
128,79,259,435,4
129,108,216,43719,2
130,65,328,27610,4
131,61,287,48924,6
132,64,286,21639,2
133,143,214,14040,1
134,65,257,1015,2
135,65,254,9241,2
136,65,249,862,2
137,48,200,682,2
138,119,214,9026,1
139,71,284,8496,2
140,78,275,11257,2
141,69,300,58369,4
142,77,275,10406,2
143,61,275,57428,4
144,60,275,7267,4
145,90,318,7431,2
146,77,276,18199,2
147,86,340,16528,2
148,87,340,7259,2
149,84,287,6639,2
