ID,WIDTH,HEIGHT,COPIES,PROFIT
0,1034,486,10,90470
1,1080,345,8,174901
2,1127,164,8,56193
3,1113,506,9,269722
4,1167,257,9,92158
5,288,271,10,26918
6,739,227,6,28288
7,785,145,5,70994
8,614,498,5,159405
9,1034,488,9,83173
10,1133,543,6,369729
11,864,425,5,115757
12,555,507,5,136764
13,578,291,9,107314
14,768,173,5,82824
15,392,401,6,45651
16,478,551,8,86629
17,308,226,6,42988
18,331,230,9,16719
19,906,454,3,89767
20,1167,284,3,143144
21,837,106,5,47999
22,396,490,6,112047
23,834,557,7,132315
24,529,259,8,32709
25,885,400,10,113422
26,461,459,10,101644
27,445,173,4,25425
28,959,395,7,154259
29,853,536,6,90718
30,649,279,3,54719
31,821,521,6,75988
32,273,297,10,31152
33,661,139,4,30851
34,921,383,6,108347
35,429,293,4,68561
36,634,422,4,61954
37,630,497,5,202203
38,1042,416,10,90467
39,274,95,7,4764
40,604,547,3,92920
41,856,542,6,297640
42,1075,110,9,22519
43,560,138,7,47994
44,832,183,6,68162
45,991,130,4,40129
46,720,277,5,68183
47,843,352,4,52231
48,307,178,3,15046
49,789,208,10,47425
50,226,502,6,24107
51,355,107,4,22836
52,896,317,10,156219
53,377,462,8,57695
54,210,152,6,13951
55,642,152,9,51008
56,1037,136,5,77769
57,626,443,7,103642
58,1147,223,3,162507
59,337,209,5,38971
