ID,WIDTH,HEIGHT,COPIES,PROFIT
0,408,263,28,27335
1,394,487,24,139036
2,363,376,32,87929
3,202,131,49,10832
4,386,409,13,40666
5,94,102,25,3694
6,69,399,42,11702
7,298,94,22,13071
8,289,188,12,17455
9,486,234,6,77807
10,197,353,38,32680
11,182,206,7,10276
12,317,432,3,37299
13,351,279,39,59678
14,176,196,46,22774
15,99,101,27,4002
16,321,355,48,59166
17,417,406,10,58521
18,368,377,19,64314
19,100,288,20,18040
20,114,276,19,13004
21,213,180,46,19231
22,92,399,34,11535
23,171,226,15,23966
24,277,493,28,39852
25,223,207,24,13635
26,450,477,37,132708
27,377,150,39,41336
28,189,135,4,16678
29,190,221,49,14242
30,243,351,14,39525
31,97,193,29,12602
32,177,73,34,8687
33,382,334,40,52614
34,102,319,40,11754
35,111,488,33,33184
36,470,197,47,46205
37,278,222,31,22536
38,414,354,22,87847
39,313,278,30,36715
40,247,118,17,16294
41,134,266,25,19331
42,54,120,8,3450
43,423,169,16,44374
44,274,337,9,27142
45,328,321,50,38775
46,428,251,18,41828
47,70,164,18,3049
48,259,333,5,47755
49,358,120,2,20786
50,221,51,17,4796
51,203,295,33,18332
52,270,88,17,14042
53,478,159,44,43736
54,203,90,33,9099
55,418,107,25,30087
56,56,117,41,2368
57,206,304,25,17992
58,354,355,2,49173
59,463,212,49,59932
60,209,250,45,30437
61,290,363,41,37594
62,91,165,33,7094
63,485,349,6,89273
64,353,314,4,28162
65,97,332,20,11794
66,71,418,32,14948
67,202,336,43,25025
68,101,274,26,16455
69,192,487,25,69619
70,151,443,18,46124
71,113,145,40,4708
72,222,283,13,37382
73,254,394,32,42132
74,68,352,32,6903
75,417,79,14,20507
76,306,429,41,84534
77,282,161,11,11808
78,145,273,9,14459
79,308,444,31,62119
80,258,211,5,23275
81,218,284,25,41808
82,457,170,29,39929
83,79,332,39,19625
84,124,203,48,14015
85,75,294,22,12341
86,278,167,5,29139
87,137,323,28,15820
88,176,101,5,11113
89,196,178,37,14821
90,296,138,28,22264
91,262,157,35,16286
92,253,127,33,20906
93,125,287,25,13918
94,408,276,30,73299
95,434,236,34,76774
96,290,393,17,68864
97,236,124,45,11670
98,89,61,25,1404
99,227,279,35,46947
