ID,WIDTH,HEIGHT,COPIES,PROFIT
0,340,210,6,44214
1,370,491,6,94748
2,320,395,9,88468
3,155,408,5,34772
4,151,473,5,33757
5,380,89,2,22095
6,395,303,2,49472
7,257,475,8,64637
8,91,157,1,4783
9,187,471,8,59905
10,90,454,10,18103
11,374,474,5,45958
12,337,152,10,37938
13,345,61,4,10987
14,127,276,7,24709
15,411,267,5,78284
16,129,370,2,16782
17,186,397,1,51093
18,297,81,4,10067
19,211,82,8,12268
20,292,447,8,70308
21,471,498,10,84291
22,120,277,3,15865
23,81,252,9,12404
24,351,353,6,42248
25,136,477,6,18618
26,105,235,2,17356
27,467,153,1,26053
28,477,255,1,46089
29,215,206,3,17895
30,391,333,3,89576
31,453,241,5,34771
32,201,100,7,11036
33,318,182,3,30885
34,119,89,2,7128
35,374,499,10,67195
36,56,50,10,1623
37,283,279,6,42536
38,186,397,4,49868
39,146,92,7,4993
40,368,433,8,43858
41,487,383,2,75126
42,108,81,6,2687
43,387,113,5,25288
44,191,114,10,11448
45,386,416,2,81992
46,220,174,2,19009
47,172,244,4,29344
48,490,473,6,95777
49,464,133,7,39802
50,369,302,2,62340
51,321,219,7,38214
52,202,404,1,39935
53,420,236,1,46059
54,479,115,3,18073
55,187,76,5,6222
56,57,339,5,10716
57,111,266,10,14166
58,463,57,10,7611
59,462,171,3,49529
60,78,235,6,9464
61,135,198,5,7735
62,331,454,9,64379
63,413,353,2,78804
64,280,88,3,16128
65,483,297,4,85762
66,248,419,8,26236
67,260,162,10,23721
68,345,64,2,8224
69,424,332,6,38691
70,481,64,5,20425
71,257,348,2,62650
72,165,270,8,11622
73,316,330,1,49553
74,72,298,6,14291
75,456,390,1,50045
76,188,385,1,40092
77,405,378,1,89338
78,51,108,3,3275
79,344,400,7,80792
80,284,82,8,7095
81,446,318,5,70958
82,117,459,5,17117
83,87,282,7,13431
84,135,473,4,22910
85,176,420,10,39442
86,446,309,6,86686
87,340,498,7,66909
88,313,289,8,41047
89,404,288,9,48115
90,257,160,10,10572
91,75,464,1,14579
92,292,95,6,14495
93,257,240,7,42823
94,295,460,9,99385
95,211,254,2,37825
96,221,134,5,15668
97,249,162,7,22550
98,417,370,9,81579
99,344,303,2,53456
100,439,164,1,29861
101,407,69,7,8269
102,334,408,1,96012
103,400,293,9,77409
104,168,379,6,30739
105,427,92,8,17648
106,90,80,4,3520
107,371,443,8,96255
108,174,67,7,3489
109,80,51,10,1808
110,251,327,6,42456
111,499,99,3,22114
112,455,321,3,64196
113,114,399,9,29195
114,159,82,7,8731
115,470,450,6,90076
116,473,225,9,69851
117,53,203,6,7132
118,91,365,7,23736
119,442,408,1,108381
120,182,499,7,27243
121,341,216,9,31609
122,277,284,6,55982
123,200,119,6,13309
124,352,434,3,86635
125,294,444,5,95942
126,358,128,1,17224
127,184,269,2,30251
128,468,273,7,51953
129,196,239,1,15934
130,351,463,7,58153
131,214,379,2,21561
132,333,294,1,64745
133,357,223,5,28530
134,383,240,5,58918
135,115,455,6,18286
136,67,191,2,3488
137,65,136,2,4022
138,285,387,5,56335
139,329,208,2,28128
140,119,359,10,26781
141,58,452,9,16250
142,339,139,2,14055
143,393,179,6,21403
144,498,132,4,24468
145,194,59,8,6085
146,227,229,2,18252
147,137,357,10,28719
148,376,425,5,45063
149,434,99,3,11919
