ID,WIDTH,HEIGHT,PROFIT,COPIES
0,28,39,567,4
1,23,59,822,2
2,37,41,925,1
3,25,31,449,3
4,45,27,640,2
5,49,31,886,4
6,41,23,515,2
7,24,41,610,2
8,31,31,590,1
9,37,22,430,1
10,19,54,510,1
11,47,35,900,2
12,38,31,672,3
13,21,27,266,1
14,29,53,755,1
15,33,41,670,4
16,37,42,795,5
17,29,29,455,2
18,57,27,815,3
19,49,31,839,3
20,31,43,695,1
21,30,41,710,2
22,29,39,690,1
23,28,38,640,2
24,37,37,735,3
25,26,36,540,2
26,45,35,850,1
27,24,34,515,1
28,33,23,423,2
29,42,32,655,3
30,25,32,501,2
31,41,18,460,2
32,19,21,210,3
33,21,34,397,1
34,39,19,425,2
