Path,Best known solution value,chen2016 / Solution value,chen2016 / Time
imahori2005/ALX,464,478,22
imahori2005/ALY,303,304,52.2
imahori2005/ALZ,217,218,71.7
imahori2005/ALZZ,109,109,198.2
imahori2005/ALZZZ,53,53,475.7
imahori2005/ASX,54,54,27.8
imahori2005/ASY,30,30,42.2
imahori2005/ASZ,21,21,50.3
imahori2005/ASZZ,11,11,75.8
imahori2005/ASZZZ,6,6,91.4
imahori2005/AVX,335,340,25.3
imahori2005/AVY,203,205,52.9
imahori2005/AVZ,144,145,66.7
imahori2005/AVZZ,73,73,149.4
imahori2005/AVZZZ,35,35,308.3
imahori2005/BLX,1244,1244,53.1
imahori2005/BLY,607,609,146.8
imahori2005/BLZ,421,424,229.1
imahori2005/BLZZ,211,211,429.1
imahori2005/BLZZZ,103,103,899
imahori2005/BSX,75,75,46.6
imahori2005/BSY,47,47,93.1
imahori2005/BSZ,33,33,106.8
imahori2005/BSZZ,17,17,117.4
imahori2005/BSZZZ,9,9,156.5
imahori2005/BVX,556,558,48
imahori2005/BVY,357,371,117.8
imahori2005/BVZ,246,248,158.1
imahori2005/BVZZ,123,123,346.4
imahori2005/BVZZZ,60,60,597.8
imahori2005/CLX,1112,1136,31.1
imahori2005/CLY,725,726,52.7
imahori2005/CLZ,517,517,105.4
imahori2005/CLZZ,261,261,243.4
imahori2005/CLZZZ,127,127,611
imahori2005/CSX,89,90,28.5
imahori2005/CSY,58,59,36.1
imahori2005/CSZ,42,42,56.9
imahori2005/CSZZ,21,21,97.3
imahori2005/CSZZZ,11,11,255.3
imahori2005/CVX,387,392,36.2
imahori2005/CVY,259,259,53.3
imahori2005/CVZ,186,186,87.8
imahori2005/CVZZ,93,93,220
imahori2005/CVZZZ,46,46,360.3
imahori2005/DLX,1285,1301,49.9
imahori2005/DLY,847,847,82.4
imahori2005/DLZ,606,606,145
imahori2005/DLZZ,306,306,402.6
imahori2005/DLZZZ,150,150,166.7
imahori2005/DSX,105,106,16.3
imahori2005/DSY,71,71,118.1
imahori2005/DSZ,51,51,175.2
imahori2005/DSZZ,26,26,58.7
imahori2005/DSZZZ,13,13,308.5
imahori2005/DVX,888,902,86.3
imahori2005/DVY,582,586,136.1
imahori2005/DVZ,416,416,252.6
imahori2005/DVZZ,210,210,537.6
imahori2005/DVZZZ,103,103,1373.1
