Path,Best known solution value,Best known bound,chen2016 / Solution value,chen2016 / Time
alvarez2002/ATP30,9,8,9,2.7
alvarez2002/ATP31,14,14,14,20.6
alvarez2002/ATP32,12,12,12,3.5
alvarez2002/ATP33,12,12,12,7.2
alvarez2002/ATP34,6,6,6,1.7
alvarez2002/ATP35,8,8,8,3.5
alvarez2002/ATP36,8,8,8,2.3
alvarez2002/ATP37,11,11,11,7.6
alvarez2002/ATP38,10,10,10,4.7
alvarez2002/ATP39,12,11,12,2.9
alvarez2002/ATP40,15,15,15,7.2
alvarez2002/ATP41,12,12,12,4.8
alvarez2002/ATP42,15,15,15,6.6
alvarez2002/ATP43,13,12,13,8.5
alvarez2002/ATP44,9,9,9,2.3
alvarez2002/ATP45,8,8,8,1.4
alvarez2002/ATP46,11,11,11,3.3
alvarez2002/ATP47,13,12,13,3.9
alvarez2002/ATP48,8,8,8,2.2
alvarez2002/ATP49,5,5,5,1.3
