Path,Best known solution value
berkey1987/Class_01.2bp_20_1,8
berkey1987/Class_01.2bp_20_2,5
berkey1987/Class_01.2bp_20_3,9
berkey1987/Class_01.2bp_20_4,6
berkey1987/Class_01.2bp_20_5,6
berkey1987/Class_01.2bp_20_6,9
berkey1987/Class_01.2bp_20_7,6
berkey1987/Class_01.2bp_20_8,6
berkey1987/Class_01.2bp_20_9,8
berkey1987/Class_01.2bp_20_10,8
berkey1987/Class_01.2bp_40_1,10
berkey1987/Class_01.2bp_40_2,12
berkey1987/Class_01.2bp_40_3,17
berkey1987/Class_01.2bp_40_4,14
berkey1987/Class_01.2bp_40_5,15
berkey1987/Class_01.2bp_40_6,14
berkey1987/Class_01.2bp_40_7,11
berkey1987/Class_01.2bp_40_8,19
berkey1987/Class_01.2bp_40_9,11
berkey1987/Class_01.2bp_40_10,11
berkey1987/Class_01.2bp_60_1,23
berkey1987/Class_01.2bp_60_2,19
berkey1987/Class_01.2bp_60_3,21
berkey1987/Class_01.2bp_60_4,22
berkey1987/Class_01.2bp_60_5,19
berkey1987/Class_01.2bp_60_6,17
berkey1987/Class_01.2bp_60_7,16
berkey1987/Class_01.2bp_60_8,21
berkey1987/Class_01.2bp_60_9,18
berkey1987/Class_01.2bp_60_10,24
berkey1987/Class_01.2bp_80_1,25
berkey1987/Class_01.2bp_80_2,26
berkey1987/Class_01.2bp_80_3,27
berkey1987/Class_01.2bp_80_4,27
berkey1987/Class_01.2bp_80_5,26
berkey1987/Class_01.2bp_80_6,28
berkey1987/Class_01.2bp_80_7,31
berkey1987/Class_01.2bp_80_8,29
berkey1987/Class_01.2bp_80_9,30
berkey1987/Class_01.2bp_80_10,26
berkey1987/Class_01.2bp_100_1,28
berkey1987/Class_01.2bp_100_2,31
berkey1987/Class_01.2bp_100_3,29
berkey1987/Class_01.2bp_100_4,30
berkey1987/Class_01.2bp_100_5,32
berkey1987/Class_01.2bp_100_6,37
berkey1987/Class_01.2bp_100_7,28
berkey1987/Class_01.2bp_100_8,33
berkey1987/Class_01.2bp_100_9,31
berkey1987/Class_01.2bp_100_10,38
berkey1987/Class_02.2bp_20_1,1
berkey1987/Class_02.2bp_20_2,1
berkey1987/Class_02.2bp_20_3,1
berkey1987/Class_02.2bp_20_4,1
berkey1987/Class_02.2bp_20_5,1
berkey1987/Class_02.2bp_20_6,1
berkey1987/Class_02.2bp_20_7,1
berkey1987/Class_02.2bp_20_8,1
berkey1987/Class_02.2bp_20_9,1
berkey1987/Class_02.2bp_20_10,1
berkey1987/Class_02.2bp_40_1,1
berkey1987/Class_02.2bp_40_2,2
berkey1987/Class_02.2bp_40_3,2
berkey1987/Class_02.2bp_40_4,2
berkey1987/Class_02.2bp_40_5,2
berkey1987/Class_02.2bp_40_6,2
berkey1987/Class_02.2bp_40_7,2
berkey1987/Class_02.2bp_40_8,2
berkey1987/Class_02.2bp_40_9,2
berkey1987/Class_02.2bp_40_10,2
berkey1987/Class_02.2bp_60_1,3
berkey1987/Class_02.2bp_60_2,2
berkey1987/Class_02.2bp_60_3,3
berkey1987/Class_02.2bp_60_4,3
berkey1987/Class_02.2bp_60_5,2
berkey1987/Class_02.2bp_60_6,2
berkey1987/Class_02.2bp_60_7,2
berkey1987/Class_02.2bp_60_8,3
berkey1987/Class_02.2bp_60_9,2
berkey1987/Class_02.2bp_60_10,3
berkey1987/Class_02.2bp_80_1,3
berkey1987/Class_02.2bp_80_2,3
berkey1987/Class_02.2bp_80_3,3
berkey1987/Class_02.2bp_80_4,3
berkey1987/Class_02.2bp_80_5,3
berkey1987/Class_02.2bp_80_6,3
berkey1987/Class_02.2bp_80_7,3
berkey1987/Class_02.2bp_80_8,3
berkey1987/Class_02.2bp_80_9,4
berkey1987/Class_02.2bp_80_10,3
berkey1987/Class_02.2bp_100_1,4
berkey1987/Class_02.2bp_100_2,4
berkey1987/Class_02.2bp_100_3,3
berkey1987/Class_02.2bp_100_4,4
berkey1987/Class_02.2bp_100_5,4
berkey1987/Class_02.2bp_100_6,4
berkey1987/Class_02.2bp_100_7,4
berkey1987/Class_02.2bp_100_8,4
berkey1987/Class_02.2bp_100_9,4
berkey1987/Class_02.2bp_100_10,4
berkey1987/Class_03.2bp_20_1,6
berkey1987/Class_03.2bp_20_2,3
berkey1987/Class_03.2bp_20_3,6
berkey1987/Class_03.2bp_20_4,4
berkey1987/Class_03.2bp_20_5,4
berkey1987/Class_03.2bp_20_6,7
berkey1987/Class_03.2bp_20_7,5
berkey1987/Class_03.2bp_20_8,4
berkey1987/Class_03.2bp_20_9,5
berkey1987/Class_03.2bp_20_10,7
berkey1987/Class_03.2bp_40_1,6
berkey1987/Class_03.2bp_40_2,8
berkey1987/Class_03.2bp_40_3,11
berkey1987/Class_03.2bp_40_4,10
berkey1987/Class_03.2bp_40_5,12
berkey1987/Class_03.2bp_40_6,10
berkey1987/Class_03.2bp_40_7,8
berkey1987/Class_03.2bp_40_8,13
berkey1987/Class_03.2bp_40_9,7
berkey1987/Class_03.2bp_40_10,8
berkey1987/Class_03.2bp_60_1,16
berkey1987/Class_03.2bp_60_2,13
berkey1987/Class_03.2bp_60_3,14
berkey1987/Class_03.2bp_60_4,15
berkey1987/Class_03.2bp_60_5,12
berkey1987/Class_03.2bp_60_6,12
berkey1987/Class_03.2bp_60_7,11
berkey1987/Class_03.2bp_60_8,15
berkey1987/Class_03.2bp_60_9,13
berkey1987/Class_03.2bp_60_10,18
berkey1987/Class_03.2bp_80_1,17
berkey1987/Class_03.2bp_80_2,18
berkey1987/Class_03.2bp_80_3,18
berkey1987/Class_03.2bp_80_4,18
berkey1987/Class_03.2bp_80_5,17
berkey1987/Class_03.2bp_80_6,20
berkey1987/Class_03.2bp_80_7,20
berkey1987/Class_03.2bp_80_8,22
berkey1987/Class_03.2bp_80_9,21
berkey1987/Class_03.2bp_80_10,18
berkey1987/Class_03.2bp_100_1,19
berkey1987/Class_03.2bp_100_2,22
berkey1987/Class_03.2bp_100_3,19
berkey1987/Class_03.2bp_100_4,20
berkey1987/Class_03.2bp_100_5,22
berkey1987/Class_03.2bp_100_6,27
berkey1987/Class_03.2bp_100_7,20
berkey1987/Class_03.2bp_100_8,23
berkey1987/Class_03.2bp_100_9,22
berkey1987/Class_03.2bp_100_10,29
berkey1987/Class_04.2bp_20_1,1
berkey1987/Class_04.2bp_20_2,1
berkey1987/Class_04.2bp_20_3,1
berkey1987/Class_04.2bp_20_4,1
berkey1987/Class_04.2bp_20_5,1
berkey1987/Class_04.2bp_20_6,1
berkey1987/Class_04.2bp_20_7,1
berkey1987/Class_04.2bp_20_8,1
berkey1987/Class_04.2bp_20_9,1
berkey1987/Class_04.2bp_20_10,1
berkey1987/Class_04.2bp_40_1,1
berkey1987/Class_04.2bp_40_2,2
berkey1987/Class_04.2bp_40_3,2
berkey1987/Class_04.2bp_40_4,2
berkey1987/Class_04.2bp_40_5,2
berkey1987/Class_04.2bp_40_6,2
berkey1987/Class_04.2bp_40_7,2
berkey1987/Class_04.2bp_40_8,2
berkey1987/Class_04.2bp_40_9,2
berkey1987/Class_04.2bp_40_10,2
berkey1987/Class_04.2bp_60_1,3
berkey1987/Class_04.2bp_60_2,2
berkey1987/Class_04.2bp_60_3,2
berkey1987/Class_04.2bp_60_4,2
berkey1987/Class_04.2bp_60_5,2
berkey1987/Class_04.2bp_60_6,2
berkey1987/Class_04.2bp_60_7,2
berkey1987/Class_04.2bp_60_8,3
berkey1987/Class_04.2bp_60_9,2
berkey1987/Class_04.2bp_60_10,3
berkey1987/Class_04.2bp_80_1,3
berkey1987/Class_04.2bp_80_2,3
berkey1987/Class_04.2bp_80_3,3
berkey1987/Class_04.2bp_80_4,3
berkey1987/Class_04.2bp_80_5,3
berkey1987/Class_04.2bp_80_6,3
berkey1987/Class_04.2bp_80_7,3
berkey1987/Class_04.2bp_80_8,3
berkey1987/Class_04.2bp_80_9,4
berkey1987/Class_04.2bp_80_10,3
berkey1987/Class_04.2bp_100_1,3
berkey1987/Class_04.2bp_100_2,4
berkey1987/Class_04.2bp_100_3,3
berkey1987/Class_04.2bp_100_4,4
berkey1987/Class_04.2bp_100_5,4
berkey1987/Class_04.2bp_100_6,4
berkey1987/Class_04.2bp_100_7,3
berkey1987/Class_04.2bp_100_8,4
berkey1987/Class_04.2bp_100_9,4
berkey1987/Class_04.2bp_100_10,4
berkey1987/Class_05.2bp_20_1,8
berkey1987/Class_05.2bp_20_2,5
berkey1987/Class_05.2bp_20_3,7
berkey1987/Class_05.2bp_20_4,5
berkey1987/Class_05.2bp_20_5,5
berkey1987/Class_05.2bp_20_6,9
berkey1987/Class_05.2bp_20_7,6
berkey1987/Class_05.2bp_20_8,5
berkey1987/Class_05.2bp_20_9,7
berkey1987/Class_05.2bp_20_10,8
berkey1987/Class_05.2bp_40_1,8
berkey1987/Class_05.2bp_40_2,10
berkey1987/Class_05.2bp_40_3,15
berkey1987/Class_05.2bp_40_4,13
berkey1987/Class_05.2bp_40_5,14
berkey1987/Class_05.2bp_40_6,12
berkey1987/Class_05.2bp_40_7,10
berkey1987/Class_05.2bp_40_8,17
berkey1987/Class_05.2bp_40_9,10
berkey1987/Class_05.2bp_40_10,10
berkey1987/Class_05.2bp_60_1,20
berkey1987/Class_05.2bp_60_2,17
berkey1987/Class_05.2bp_60_3,19
berkey1987/Class_05.2bp_60_4,20
berkey1987/Class_05.2bp_60_5,15
berkey1987/Class_05.2bp_60_6,16
berkey1987/Class_05.2bp_60_7,14
berkey1987/Class_05.2bp_60_8,19
berkey1987/Class_05.2bp_60_9,16
berkey1987/Class_05.2bp_60_10,24
berkey1987/Class_05.2bp_80_1,22
berkey1987/Class_05.2bp_80_2,23
berkey1987/Class_05.2bp_80_3,25
berkey1987/Class_05.2bp_80_4,25
berkey1987/Class_05.2bp_80_5,23
berkey1987/Class_05.2bp_80_6,26
berkey1987/Class_05.2bp_80_7,27
berkey1987/Class_05.2bp_80_8,26
berkey1987/Class_05.2bp_80_9,27
berkey1987/Class_05.2bp_80_10,23
berkey1987/Class_05.2bp_100_1,24
berkey1987/Class_05.2bp_100_2,29
berkey1987/Class_05.2bp_100_3,24
berkey1987/Class_05.2bp_100_4,26
berkey1987/Class_05.2bp_100_5,28
berkey1987/Class_05.2bp_100_6,34
berkey1987/Class_05.2bp_100_7,25
berkey1987/Class_05.2bp_100_8,29
berkey1987/Class_05.2bp_100_9,27
berkey1987/Class_05.2bp_100_10,35
berkey1987/Class_06.2bp_20_1,1
berkey1987/Class_06.2bp_20_2,1
berkey1987/Class_06.2bp_20_3,1
berkey1987/Class_06.2bp_20_4,1
berkey1987/Class_06.2bp_20_5,1
berkey1987/Class_06.2bp_20_6,1
berkey1987/Class_06.2bp_20_7,1
berkey1987/Class_06.2bp_20_8,1
berkey1987/Class_06.2bp_20_9,1
berkey1987/Class_06.2bp_20_10,1
berkey1987/Class_06.2bp_40_1,1
berkey1987/Class_06.2bp_40_2,2
berkey1987/Class_06.2bp_40_3,2
berkey1987/Class_06.2bp_40_4,2
berkey1987/Class_06.2bp_40_5,2
berkey1987/Class_06.2bp_40_6,1
berkey1987/Class_06.2bp_40_7,2
berkey1987/Class_06.2bp_40_8,2
berkey1987/Class_06.2bp_40_9,1
berkey1987/Class_06.2bp_40_10,1
berkey1987/Class_06.2bp_60_1,2
berkey1987/Class_06.2bp_60_2,2
berkey1987/Class_06.2bp_60_3,2
berkey1987/Class_06.2bp_60_4,2
berkey1987/Class_06.2bp_60_5,2
berkey1987/Class_06.2bp_60_6,2
berkey1987/Class_06.2bp_60_7,2
berkey1987/Class_06.2bp_60_8,2
berkey1987/Class_06.2bp_60_9,2
berkey1987/Class_06.2bp_60_10,3
berkey1987/Class_06.2bp_80_1,3
berkey1987/Class_06.2bp_80_2,3
berkey1987/Class_06.2bp_80_3,3
berkey1987/Class_06.2bp_80_4,3
berkey1987/Class_06.2bp_80_5,3
berkey1987/Class_06.2bp_80_6,3
berkey1987/Class_06.2bp_80_7,3
berkey1987/Class_06.2bp_80_8,3
berkey1987/Class_06.2bp_80_9,3
berkey1987/Class_06.2bp_80_10,3
berkey1987/Class_06.2bp_100_1,3
berkey1987/Class_06.2bp_100_2,3
berkey1987/Class_06.2bp_100_3,3
berkey1987/Class_06.2bp_100_4,3
berkey1987/Class_06.2bp_100_5,3
berkey1987/Class_06.2bp_100_6,4
berkey1987/Class_06.2bp_100_7,3
berkey1987/Class_06.2bp_100_8,3
berkey1987/Class_06.2bp_100_9,3
berkey1987/Class_06.2bp_100_10,4
martello1998/Class_07.2bp_20_1,5
martello1998/Class_07.2bp_20_2,5
martello1998/Class_07.2bp_20_3,5
martello1998/Class_07.2bp_20_4,7
martello1998/Class_07.2bp_20_5,6
martello1998/Class_07.2bp_20_6,6
martello1998/Class_07.2bp_20_7,4
martello1998/Class_07.2bp_20_8,7
