Path,Best known solution value
berkey1987/Class_01.2bp_20_1,7
berkey1987/Class_01.2bp_20_2,5
berkey1987/Class_01.2bp_20_3,7
berkey1987/Class_01.2bp_20_4,5
berkey1987/Class_01.2bp_20_5,6
berkey1987/Class_01.2bp_20_6,9
berkey1987/Class_01.2bp_20_7,6
berkey1987/Class_01.2bp_20_8,6
berkey1987/Class_01.2bp_20_9,7
berkey1987/Class_01.2bp_20_10,8
berkey1987/Class_01.2bp_40_1,9
berkey1987/Class_01.2bp_40_2,11
berkey1987/Class_01.2bp_40_3,15
berkey1987/Class_01.2bp_40_4,14
berkey1987/Class_01.2bp_40_5,15
berkey1987/Class_01.2bp_40_6,14
berkey1987/Class_01.2bp_40_7,11
berkey1987/Class_01.2bp_40_8,17
berkey1987/Class_01.2bp_40_9,11
berkey1987/Class_01.2bp_40_10,11
berkey1987/Class_01.2bp_60_1,22
berkey1987/Class_01.2bp_60_2,18
berkey1987/Class_01.2bp_60_3,21
berkey1987/Class_01.2bp_60_4,22
berkey1987/Class_01.2bp_60_5,17
berkey1987/Class_01.2bp_60_6,17
berkey1987/Class_01.2bp_60_7,15
berkey1987/Class_01.2bp_60_8,21
berkey1987/Class_01.2bp_60_9,18
berkey1987/Class_01.2bp_60_10,24
berkey1987/Class_01.2bp_80_1,24
berkey1987/Class_01.2bp_80_2,25
berkey1987/Class_01.2bp_80_3,27
berkey1987/Class_01.2bp_80_4,26
berkey1987/Class_01.2bp_80_5,26
berkey1987/Class_01.2bp_80_6,28
berkey1987/Class_01.2bp_80_7,31
berkey1987/Class_01.2bp_80_8,29
berkey1987/Class_01.2bp_80_9,29
berkey1987/Class_01.2bp_80_10,25
berkey1987/Class_01.2bp_100_1,28
berkey1987/Class_01.2bp_100_2,31
berkey1987/Class_01.2bp_100_3,27
berkey1987/Class_01.2bp_100_4,30
berkey1987/Class_01.2bp_100_5,31
berkey1987/Class_01.2bp_100_6,36
berkey1987/Class_01.2bp_100_7,28
berkey1987/Class_01.2bp_100_8,33
berkey1987/Class_01.2bp_100_9,31
berkey1987/Class_01.2bp_100_10,38
berkey1987/Class_02.2bp_20_1,1
berkey1987/Class_02.2bp_20_2,1
berkey1987/Class_02.2bp_20_3,1
berkey1987/Class_02.2bp_20_4,1
berkey1987/Class_02.2bp_20_5,1
berkey1987/Class_02.2bp_20_6,1
berkey1987/Class_02.2bp_20_7,1
berkey1987/Class_02.2bp_20_8,1
berkey1987/Class_02.2bp_20_9,1
berkey1987/Class_02.2bp_20_10,1
berkey1987/Class_02.2bp_40_1,1
berkey1987/Class_02.2bp_40_2,2
berkey1987/Class_02.2bp_40_3,2
berkey1987/Class_02.2bp_40_4,2
berkey1987/Class_02.2bp_40_5,2
berkey1987/Class_02.2bp_40_6,2
berkey1987/Class_02.2bp_40_7,2
berkey1987/Class_02.2bp_40_8,2
berkey1987/Class_02.2bp_40_9,2
berkey1987/Class_02.2bp_40_10,2
berkey1987/Class_02.2bp_60_1,3
berkey1987/Class_02.2bp_60_2,2
berkey1987/Class_02.2bp_60_3,3
berkey1987/Class_02.2bp_60_4,3
berkey1987/Class_02.2bp_60_5,2
berkey1987/Class_02.2bp_60_6,2
berkey1987/Class_02.2bp_60_7,2
berkey1987/Class_02.2bp_60_8,3
berkey1987/Class_02.2bp_60_9,2
berkey1987/Class_02.2bp_60_10,3
berkey1987/Class_02.2bp_80_1,3
berkey1987/Class_02.2bp_80_2,3
berkey1987/Class_02.2bp_80_3,3
berkey1987/Class_02.2bp_80_4,3
berkey1987/Class_02.2bp_80_5,3
berkey1987/Class_02.2bp_80_6,3
berkey1987/Class_02.2bp_80_7,3
berkey1987/Class_02.2bp_80_8,3
berkey1987/Class_02.2bp_80_9,4
berkey1987/Class_02.2bp_80_10,3
berkey1987/Class_02.2bp_100_1,4
berkey1987/Class_02.2bp_100_2,4
berkey1987/Class_02.2bp_100_3,3
berkey1987/Class_02.2bp_100_4,4
berkey1987/Class_02.2bp_100_5,4
berkey1987/Class_02.2bp_100_6,4
berkey1987/Class_02.2bp_100_7,4
berkey1987/Class_02.2bp_100_8,4
berkey1987/Class_02.2bp_100_9,4
berkey1987/Class_02.2bp_100_10,4
berkey1987/Class_03.2bp_20_1,5
berkey1987/Class_03.2bp_20_2,3
berkey1987/Class_03.2bp_20_3,5
berkey1987/Class_03.2bp_20_4,4
berkey1987/Class_03.2bp_20_5,4
berkey1987/Class_03.2bp_20_6,6
berkey1987/Class_03.2bp_20_7,4
berkey1987/Class_03.2bp_20_8,4
berkey1987/Class_03.2bp_20_9,5
berkey1987/Class_03.2bp_20_10,7
berkey1987/Class_03.2bp_40_1,6
berkey1987/Class_03.2bp_40_2,8
