Path,Options,Best known solution value,Best known bound
alvarez2002/ATP30,Horizontal,140168,140168
alvarez2002/ATP31,Horizontal,820260,820260
alvarez2002/ATP32,Horizontal,37880,37880
alvarez2002/ATP33,Horizontal,235580,235580
alvarez2002/ATP34,Horizontal,356159,356159
alvarez2002/ATP35,Horizontal,614429,614429
alvarez2002/ATP36,Horizontal,129262,129262
alvarez2002/ATP37,Horizontal,384478,384478
alvarez2002/ATP38,Horizontal,259070,259070
alvarez2002/ATP39,Horizontal,266135,266135
alvarez2002/ATP40,Horizontal,63945,63945
alvarez2002/ATP41,Horizontal,202305,202305
alvarez2002/ATP42,Horizontal,32589,32589
alvarez2002/ATP43,Horizontal,208998,208998
alvarez2002/ATP44,Horizontal,70940,70940
alvarez2002/ATP45,Horizontal,74205,74205
alvarez2002/ATP46,Horizontal,146402,146402
alvarez2002/ATP47,Horizontal,144317,144317
alvarez2002/ATP48,Horizontal,165428,165428
alvarez2002/ATP49,Horizontal,206965,206965
alvarez2002/ATP30,Vertical,140197,140197
alvarez2002/ATP31,Vertical,821073,821073
alvarez2002/ATP32,Vertical,37973,37973
alvarez2002/ATP33,Vertical,234670,234670
alvarez2002/ATP34,Vertical,357741,357741
alvarez2002/ATP35,Vertical,614336,614336
alvarez2002/ATP36,Vertical,128814,128814
alvarez2002/ATP37,Vertical,385811,385811
alvarez2002/ATP38,Vertical,259137,259137
alvarez2002/ATP39,Vertical,266378,266378
alvarez2002/ATP40,Vertical,65584,65584
alvarez2002/ATP41,Vertical,196559,196559
alvarez2002/ATP42,Vertical,33012,33012
alvarez2002/ATP43,Vertical,212062,212062
alvarez2002/ATP44,Vertical,69784,69784
alvarez2002/ATP45,Vertical,69988,69988
alvarez2002/ATP46,Vertical,147021,147021
alvarez2002/ATP47,Vertical,142935,142935
alvarez2002/ATP48,Vertical,162458,162458
alvarez2002/ATP49,Vertical,211784,211784
