Path,Options,Best known solution value,Best known bound,cui2008 / EA / Solution value,cui2008 / EA / Time,cui2008 / HA1 / Solution value,cui2008 / HA1 / Time,cui2008 / HA2 / Solution value,cui2008 / HA2 / Time
cui2008/1,,631863,631863,631863,6.14,624068,1.484,631852,1.422
cui2008/2,,4544395,4544395,4544395,68.531,4536642,6.469,4539683,7
cui2008/3,,1833000,1833000,1833000,1450.282,1831637,7.921,1833000,9.875
cui2008/4,,4339083,4339083,4339083,9.265,4339083,9.391,4339083,9.203
cui2008/5,,2676651,,2676651,3600,2676651,4.25,2676651,4.703
cui2008/6,,4245663,4245663,4245663,225.656,4245663,4.078,4245663,4.609
cui2008/7,,4305010,,4305010,3600,4288035,12.985,4305010,15.047
cui2008/8,,3625458,3610441,3610441,15.86,3604959,6.969,3608015,7.891
cui2008/9,,7446330,7446330,7446330,11.031,7446330,9.203,7446330,10.047
cui2008/10,,6038211,,6038211,3600,6005147,11.657,6011779,12.937
cui2008/11,,1168284,1168284,1168284,3.968,1158550,2.266,1162898,2.688
cui2008/12,,2567171,,2567171,3600,2493280,3.875,2567171,4.312
cui2008/13,,2795973,2795973,2795973,5.609,2795973,4.047,2795973,4.422
cui2008/14,,3152403,,3152403,3600,3106495,2.625,3152403,2.891
cui2008/15,,5018587,5018587,5018587,29.563,5018587,11.843,5018587,13.484
cui2008/16,,2157408,2157408,2157408,237.688,2157408,8.891,2157408,10.718
cui2008/17,,6881547,6881547,6881547,17.625,6827062,7.032,6854864,7.407
cui2008/18,,7548827,7548827,7548827,113.532,7350498,7.282,7495558,7.796
cui2008/19,,5704261,5704261,5704261,14.922,5704261,10.922,5704261,11.938
cui2008/20,,5726840,5726840,5726840,1293.094,5643652,12.844,5676748,14.64
cui2008/1,unweighted,1019835,1019835,1019835,2.297,1019835,1.469,1019835,1.734
cui2008/2,unweighted,7358781,7358781,7358781,8.14,7358781,7.157,7358781,7.36
cui2008/3,unweighted,2927244,2927244,2927244,13.547,2927244,8.859,2927244,1.109
cui2008/4,unweighted,6941162,6941162,6941162,10.922,6941162,10.297,6941162,11.14
cui2008/5,unweighted,4397252,4397252,4397252,9.171,4396075,4.673,4397252,5.297
cui2008/6,unweighted,6877807,6877807,6877807,6,6877807,4.578,6877807,4.984
cui2008/7,unweighted,6873621,6873621,6873621,22.672,6873621,14.437,6873621,16.891
cui2008/8,unweighted,5816240,5816240,5816240,10.766,5816240,7.75,5816240,8.906
cui2008/9,unweighted,11961700,11961700,11961700,49.406,11961700,10.187,11961700,11.297
cui2008/10,unweighted,10072864,10072864,10072864,13.516,10072864,12.953,10072864,13.531
cui2008/11,unweighted,1879621,1879621,1879621,4.578,1878993,2.515,1879245,2.985
cui2008/12,unweighted,4485532,4485532,4485532,4.296,4485532,4.297,4485532,4.406
cui2008/13,unweighted,4501274,4501274,4501274,5.188,4501274,4.422,4501274,4.891
cui2008/14,unweighted,5140614,5140614,5140614,4.89,5138684,2.891,5140614,3.203
cui2008/15,unweighted,7964178,7964178,7964178,14.625,7964178,13.187,7964178,14.485
cui2008/16,unweighted,3443493,3443493,3443493,11.109,3443493,9.922,3443493,11.203
cui2008/17,unweighted,11120468,11120468,11120468,145.953,11120468,7.625,11120468,8.468
cui2008/18,unweighted,12314542,12314542,12314542,15.735,12314542,8.078,12314542,8.969
cui2008/19,unweighted,9177535,9177535,9177535,15.328,9177535,12.218,9177535,12.75
cui2008/20,unweighted,9124739,9124739,9124739,17.406,9124739,14.281,9124739,16.344
