Path,Best known solution value,egeblad2009 / Solution value
christofides1977/cgcut1.txt,244,244
christofides1977/cgcut2.txt,2892,2892
christofides1977/cgcut3.txt,1860,1860
beasley1985/gcut1.txt,48368,48368
beasley1985/gcut2.txt,59798,59798
beasley1985/gcut3.txt,61275,61275
beasley1985/gcut4.txt,61380,61380
beasley1985/gcut5.txt,195582,195582
beasley1985/gcut6.txt,236305,236305
beasley1985/gcut7.txt,240143,240143
beasley1985/gcut8.txt,245758,245758
beasley1985/gcut9.txt,939600,939600
beasley1985/gcut10.txt,937349,937349
beasley1985/gcut11.txt,969709,969709
beasley1985/gcut12.txt,979521,979521
beasley1985/gcut13.txt,8736757,8736757
hadjiconstantinou1995/HADCHR3,1178,1178
hadjiconstantinou1995/HADCHR11,1270,1270
hifi1997a/3,1860,1860
hifi1997a/3s,2726,2726
hifi1997a/A1,2020,2020
hifi1997a/A1s,2956,2956
hifi1997a/A2,2615,2615
hifi1997a/A2s,3535,3535
cung2000/CHL2,2326,2326
cung2000/CHL2s,3336,3336
cung2000/CHL3,5283,5283
cung2000/CHL3s,7402,7402
cung2000/CHL4,8998,8998
cung2000/CHL4s,13932,13932
cung2000/CHL5,589,589
fekete1997/okp1,27718,27718
fekete1997/okp2,22502,22502
fekete1997/okp3,24019,24019
fekete1997/okp4,32893,32893
fekete1997/okp5,27923,27923
