Path,Best known solution value,egeblad2009 / Solution value
egeblad2009/ep2-30-D-C-25.2kp,6160,6160
egeblad2009/ep2-30-D-C-75.2kp,12588,12588
egeblad2009/ep2-30-D-R-25.2kp,6129,6129
egeblad2009/ep2-30-D-R-75.2kp,14259,14259
egeblad2009/ep2-30-S-C-25.2kp,81944,81944
egeblad2009/ep2-30-S-C-75.2kp,195670,195670
egeblad2009/ep2-30-S-R-25.2kp,85220,85220
egeblad2009/ep2-30-S-R-75.2kp,225747,225747
egeblad2009/ep2-30-T-C-25.2kp,22608,22608
egeblad2009/ep2-30-T-C-75.2kp,73565,73565
egeblad2009/ep2-30-T-R-25.2kp,26034,26034
egeblad2009/ep2-30-T-R-75.2kp,77627,77627
egeblad2009/ep2-30-U-C-25.2kp,133101,133101
egeblad2009/ep2-30-U-C-75.2kp,343528,343528
egeblad2009/ep2-30-U-R-25.2kp,137739,137739
egeblad2009/ep2-30-U-R-75.2kp,352982,352982
egeblad2009/ep2-30-W-C-25.2kp,35727,35727
egeblad2009/ep2-30-W-C-75.2kp,46176,46176
egeblad2009/ep2-30-W-R-25.2kp,34332,34332
egeblad2009/ep2-30-W-R-75.2kp,45777,45777
egeblad2009/ep2-50-D-C-25.2kp,10369,10369
egeblad2009/ep2-50-D-C-75.2kp,21076,21076
egeblad2009/ep2-50-D-R-25.2kp,11475,11475
egeblad2009/ep2-50-D-R-75.2kp,31426,31426
egeblad2009/ep2-50-S-C-25.2kp,154653,154653
egeblad2009/ep2-50-S-C-75.2kp,387690,387690
egeblad2009/ep2-50-S-R-25.2kp,138263,138263
egeblad2009/ep2-50-S-R-75.2kp,303774,303774
egeblad2009/ep2-50-T-C-25.2kp,46019,46019
egeblad2009/ep2-50-T-C-75.2kp,114081,114081
egeblad2009/ep2-50-T-R-25.2kp,51175,51175
egeblad2009/ep2-50-T-R-75.2kp,141056,141056
egeblad2009/ep2-50-U-C-25.2kp,231774,231774
egeblad2009/ep2-50-U-C-75.2kp,619080,619080
egeblad2009/ep2-50-U-R-25.2kp,227979,227979
egeblad2009/ep2-50-U-R-75.2kp,564394,564394
egeblad2009/ep2-50-W-C-25.2kp,50130,50130
egeblad2009/ep2-50-W-C-75.2kp,87320,87320
egeblad2009/ep2-50-W-R-25.2kp,55920,55920
egeblad2009/ep2-50-W-R-75.2kp,114656,114656
egeblad2009/ep2-100-D-C-25.2kp,22730,22730
egeblad2009/ep2-100-D-C-75.2kp,49732,49732
egeblad2009/ep2-100-D-R-25.2kp,22133,22133
egeblad2009/ep2-100-D-R-75.2kp,50874,50874
egeblad2009/ep2-100-S-C-25.2kp,314198,314198
egeblad2009/ep2-100-S-C-75.2kp,747129,747129
egeblad2009/ep2-100-S-R-25.2kp,250242,250242
egeblad2009/ep2-100-S-R-75.2kp,519787,519787
egeblad2009/ep2-100-T-C-25.2kp,92331,92331
egeblad2009/ep2-100-T-C-75.2kp,256480,256480
egeblad2009/ep2-100-T-R-25.2kp,102837,102837
egeblad2009/ep2-100-T-R-75.2kp,257927,257927
egeblad2009/ep2-100-U-C-25.2kp,505794,505794
egeblad2009/ep2-100-U-C-75.2kp,1400642,1400642
egeblad2009/ep2-100-U-R-25.2kp,493901,493901
egeblad2009/ep2-100-U-R-75.2kp,1203544,1203544
egeblad2009/ep2-100-W-C-25.2kp,70164,70164
egeblad2009/ep2-100-W-C-75.2kp,159929,159929
egeblad2009/ep2-100-W-R-25.2kp,70224,70224
egeblad2009/ep2-100-W-R-75.2kp,230809,230809
egeblad2009/ep2-200-D-C-25.2kp,45987,45987
egeblad2009/ep2-200-D-C-75.2kp,124146,124146
egeblad2009/ep2-200-D-R-25.2kp,42138,42138
egeblad2009/ep2-200-D-R-75.2kp,97694,97694
egeblad2009/ep2-200-S-C-25.2kp,636050,636050
egeblad2009/ep2-200-S-C-75.2kp,1297053,1297053
egeblad2009/ep2-200-S-R-25.2kp,506437,506437
egeblad2009/ep2-200-S-R-75.2kp,1201303,1201303
egeblad2009/ep2-200-T-C-25.2kp,184528,184528
egeblad2009/ep2-200-T-C-75.2kp,431290,431290
egeblad2009/ep2-200-T-R-25.2kp,188967,188967
egeblad2009/ep2-200-T-R-75.2kp,468381,468381
egeblad2009/ep2-200-U-C-25.2kp,1056636,1056636
egeblad2009/ep2-200-U-C-75.2kp,2265176,2265176
egeblad2009/ep2-200-U-R-25.2kp,1015452,1015452
egeblad2009/ep2-200-U-R-75.2kp,2400803,2400803
egeblad2009/ep2-200-W-C-25.2kp,157508,157508
egeblad2009/ep2-200-W-C-75.2kp,375767,375767
egeblad2009/ep2-200-W-R-25.2kp,196086,196086
egeblad2009/ep2-200-W-R-75.2kp,503222,503222
