Path,Best known solution value,egeblad2009 / Solution value
christofides1977/cgcut1.txt,260,260
christofides1977/cgcut2.txt,2909,2909
christofides1977/cgcut3.txt,1940,1940
beasley1985/gcut1.txt,58136,58136
beasley1985/gcut2.txt,60656,60656
beasley1985/gcut3.txt,61275,61275
beasley1985/gcut4.txt,61710,61710
beasley1985/gcut5.txt,233969,233969
beasley1985/gcut6.txt,239467,239467
beasley1985/gcut7.txt,245306,245306
beasley1985/gcut8.txt,247462,247462
beasley1985/gcut9.txt,953293,953293
beasley1985/gcut10.txt,938036,938036
beasley1985/gcut11.txt,979580,979580
beasley1985/gcut12.txt,987674,987674
beasley1985/gcut13.txt,8897979,8897979
hadjiconstantinou1995/HADCHR3,1272,1272
hadjiconstantinou1995/HADCHR11,1431,1431
hifi1997a/3,1940,1940
hifi1997a/3s,2758,2758
hifi1997a/A1,2120,2120
hifi1997a/A1s,2985,2985
hifi1997a/A2,2690,2690
hifi1997a/A2s,3579,3579
cung2000/CHL2,2429,2429
cung2000/CHL2s,3390,3390
cung2000/CHL3,5283,5283
cung2000/CHL3s,7402,7402
cung2000/CHL4,8998,8998
cung2000/CHL4s,13932,13932
cung2000/CHL5,600,600
fekete1997/okp1,28423,28423
fekete1997/okp2,24263,24263
fekete1997/okp3,25216,25216
fekete1997/okp4,32893,32893
fekete1997/okp5,27971,27971
