Path,Best known solution value,egeblad2009 / Solution value
egeblad2009/ep2-30-D-C-25.2kp,6340,6340
egeblad2009/ep2-30-D-C-75.2kp,12672,12672
egeblad2009/ep2-30-D-R-25.2kp,6875,6875
egeblad2009/ep2-30-D-R-75.2kp,14330,14330
egeblad2009/ep2-30-S-C-25.2kp,81944,81944
egeblad2009/ep2-30-S-C-75.2kp,195670,195670
egeblad2009/ep2-30-S-R-25.2kp,85220,85220
egeblad2009/ep2-30-S-R-75.2kp,225747,225747
egeblad2009/ep2-30-T-C-25.2kp,26436,26436
egeblad2009/ep2-30-T-C-75.2kp,73565,73565
egeblad2009/ep2-30-T-R-25.2kp,29535,29535
egeblad2009/ep2-30-T-R-75.2kp,77627,77627
egeblad2009/ep2-30-U-C-25.2kp,141588,141588
egeblad2009/ep2-30-U-C-75.2kp,351682,351682
egeblad2009/ep2-30-U-R-25.2kp,140287,140287
egeblad2009/ep2-30-U-R-75.2kp,360202,360202
egeblad2009/ep2-30-W-C-25.2kp,37851,37851
egeblad2009/ep2-30-W-C-75.2kp,53668,53668
egeblad2009/ep2-30-W-R-25.2kp,37258,37258
egeblad2009/ep2-30-W-R-75.2kp,52895,52895
egeblad2009/ep2-50-D-C-25.2kp,11010,11010
egeblad2009/ep2-50-D-C-75.2kp,21230,21230
egeblad2009/ep2-50-D-R-25.2kp,12456,12456
egeblad2009/ep2-50-D-R-75.2kp,31531,31531
egeblad2009/ep2-50-S-C-25.2kp,154653,154653
egeblad2009/ep2-50-S-C-75.2kp,387690,387690
egeblad2009/ep2-50-S-R-25.2kp,138335,138335
egeblad2009/ep2-50-S-R-75.2kp,303774,303774
egeblad2009/ep2-50-T-C-25.2kp,46327,46327
egeblad2009/ep2-50-T-C-75.2kp,117226,117226
egeblad2009/ep2-50-T-R-25.2kp,53383,53383
egeblad2009/ep2-50-T-R-75.2kp,142124,142124
egeblad2009/ep2-50-U-C-25.2kp,246645,246645
egeblad2009/ep2-50-U-C-75.2kp,626218,626218
egeblad2009/ep2-50-U-R-25.2kp,241032,241032
egeblad2009/ep2-50-U-R-75.2kp,570751,570751
egeblad2009/ep2-50-W-C-25.2kp,51360,51360
egeblad2009/ep2-50-W-C-75.2kp,111307,111307
egeblad2009/ep2-50-W-R-25.2kp,57561,57561
egeblad2009/ep2-50-W-R-75.2kp,114656,114656
egeblad2009/ep2-100-D-C-25.2kp,23220,23220
egeblad2009/ep2-100-D-C-75.2kp,50515,50515
egeblad2009/ep2-100-D-R-25.2kp,22281,22281
egeblad2009/ep2-100-D-R-75.2kp,50874,50874
egeblad2009/ep2-100-S-C-25.2kp,316238,316238
egeblad2009/ep2-100-S-C-75.2kp,747129,747129
egeblad2009/ep2-100-S-R-25.2kp,251303,251303
egeblad2009/ep2-100-S-R-75.2kp,519787,519787
egeblad2009/ep2-100-T-C-25.2kp,99429,99429
egeblad2009/ep2-100-T-C-75.2kp,260968,260968
egeblad2009/ep2-100-T-R-25.2kp,102957,102957
egeblad2009/ep2-100-T-R-75.2kp,259019,259019
egeblad2009/ep2-100-U-C-25.2kp,531585,531585
egeblad2009/ep2-100-U-C-75.2kp,1400642,1400642
egeblad2009/ep2-100-U-R-25.2kp,504801,504801
egeblad2009/ep2-100-U-R-75.2kp,1203634,1203634
egeblad2009/ep2-100-W-C-25.2kp,94098,94098
egeblad2009/ep2-100-W-C-75.2kp,165709,165709
egeblad2009/ep2-100-W-R-25.2kp,103431,103431
egeblad2009/ep2-100-W-R-75.2kp,242357,242357
egeblad2009/ep2-200-D-C-25.2kp,46056,46056
egeblad2009/ep2-200-D-C-75.2kp,124146,124146
egeblad2009/ep2-200-D-R-25.2kp,42844,42844
egeblad2009/ep2-200-D-R-75.2kp,97694,97694
egeblad2009/ep2-200-S-C-25.2kp,637579,637579
egeblad2009/ep2-200-S-C-75.2kp,1297053,1297053
egeblad2009/ep2-200-S-R-25.2kp,506437,506437
egeblad2009/ep2-200-S-R-75.2kp,1201303,1201303
egeblad2009/ep2-200-T-C-25.2kp,186248,186248
egeblad2009/ep2-200-T-C-75.2kp,432747,432747
egeblad2009/ep2-200-T-R-25.2kp,189141,189141
egeblad2009/ep2-200-T-R-75.2kp,468381,468381
egeblad2009/ep2-200-U-C-25.2kp,1073880,1073880
egeblad2009/ep2-200-U-C-75.2kp,2265346,2265346
egeblad2009/ep2-200-U-R-25.2kp,1035978,1035978
egeblad2009/ep2-200-U-R-75.2kp,2406562,2406562
egeblad2009/ep2-200-W-C-25.2kp,158468,158468
egeblad2009/ep2-200-W-C-75.2kp,382662,382662
egeblad2009/ep2-200-W-R-25.2kp,210864,210864
egeblad2009/ep2-200-W-R-75.2kp,503222,503222
