Path,Best known solution value,Best known bound,cintra2008 / Solution value,cintra2008 / Time,furini2012 / Solution value,furini2012 / Time
cintra2008/gcut1d.txt,14871875,14823125,14880000,0.58,14875000,0.29
cintra2008/gcut2d.txt,16755000,16741250,16820625,1.31,16775625,0.37
cintra2008/gcut3d.txt,20177441.3201955,20150000,20267500,21.83,20177500,1.05
cintra2008/gcut4d.txt,46527500,46523750,46591875,60.56,46566875,6.38
cintra2008/gcut5d.txt,41697500,41667500,42022500,0.17,41705000,0.05
cintra2008/gcut6d.txt,77637500,77622500,78167500,0.96,77812500,5.35
cintra2008/gcut7d.txt,123987500,123947500,124257500,2.9,124172500,5.45
cintra2008/gcut8d.txt,161090000,161075000,161575000,23.67,161102500,7.01
cintra2008/gcut9d.txt,131440000,130810000,131830000,0.12,131710000,1.08
cintra2008/gcut10d.txt,261010000,260450000,262470000,0.81,261220000,5.39
cintra2008/gcut11d.txt,303350000,303140000,304440000,18.58,303510000,2.65
cintra2008/gcut12d.txt,609879829.099169,609520000,611230000,36.65,609880000,3.8
