Path,Best known solution value,Best known bound,Wei2013 / Solution value
pisinger2005/MB_C1_1,727,648,735
pisinger2005/MB_C1_2,462,434,472
pisinger2005/MB_C1_3,764,650,764
pisinger2005/MB_C1_4,488,470,521
pisinger2005/MB_C1_5,575,534,575
pisinger2005/MB_C1_6,806,736,806
pisinger2005/MB_C1_7,572,536,572
pisinger2005/MB_C1_8,552,507,552
pisinger2005/MB_C1_9,726,626,745
pisinger2005/MB_C1_10,740,664,740
pisinger2005/MB_C1_11,908,896,908
pisinger2005/MB_C1_12,1120,1070,1120
pisinger2005/MB_C1_13,1422,1390,1422
pisinger2005/MB_C1_14,1332,1249,1340
pisinger2005/MB_C1_15,1421,1376,1428
pisinger2005/MB_C1_16,1091,1061,1105
pisinger2005/MB_C1_17,1079,1077,1079
pisinger2005/MB_C1_18,1711,1454,1711
pisinger2005/MB_C1_19,1044,1008,1044
pisinger2005/MB_C1_20,1060,1028,1060
pisinger2005/MB_C1_21,2056,2007,2092
pisinger2005/MB_C1_22,1817,1767,1817
pisinger2005/MB_C1_23,1914,1818,1920
pisinger2005/MB_C1_24,1992,1823,1992
pisinger2005/MB_C1_25,1688,1650,1700
pisinger2005/MB_C1_26,1678,1659,1701
pisinger2005/MB_C1_27,1485,1480,1485
pisinger2005/MB_C1_28,2079,1883,2079
pisinger2005/MB_C1_29,1744,1737,1752
pisinger2005/MB_C1_30,2291,2108,2292
pisinger2005/MB_C1_31,2288,2274,2306
pisinger2005/MB_C1_32,2430,2407,2441
pisinger2005/MB_C1_33,2558,2298,2558
pisinger2005/MB_C1_34,2492,2438,2517
pisinger2005/MB_C1_35,2398,2352,2417
pisinger2005/MB_C1_36,2628,2521,2692
pisinger2005/MB_C1_37,2852,2660,2922
pisinger2005/MB_C1_38,2791,2644,2828
pisinger2005/MB_C1_39,2898,2788,2898
pisinger2005/MB_C1_40,2520,2426,2550
pisinger2005/MB_C1_41,2735,2733,2740
pisinger2005/MB_C1_42,3067,3040,3084
pisinger2005/MB_C1_43,2744,2668,2790
pisinger2005/MB_C1_44,2944,2882,3042
pisinger2005/MB_C1_45,3116,3015,3200
pisinger2005/MB_C1_46,3555,3378,3642
pisinger2005/MB_C1_47,2740,2737,2777
pisinger2005/MB_C1_48,3256,3121,3325
pisinger2005/MB_C1_49,3031,2986,3057
pisinger2005/MB_C1_50,3664,3417,3756
pisinger2005/MB_C2_1,816,816,816
pisinger2005/MB_C2_2,551,551,551
pisinger2005/MB_C2_3,700,700,700
pisinger2005/MB_C2_4,493,493,493
pisinger2005/MB_C2_5,608,608,608
pisinger2005/MB_C2_6,777,777,777
pisinger2005/MB_C2_7,575,575,575
pisinger2005/MB_C2_8,594,513,594
pisinger2005/MB_C2_9,900,900,900
pisinger2005/MB_C2_10,725,725,725
pisinger2005/MB_C2_11,900,900,900
pisinger2005/MB_C2_12,1080,1080,1080
pisinger2005/MB_C2_13,1400,1400,1400
pisinger2005/MB_C2_14,1272,1272,1272
pisinger2005/MB_C2_15,1386,1386,1386
pisinger2005/MB_C2_16,1103,1103,1103
pisinger2005/MB_C2_17,1076,1076,1076
pisinger2005/MB_C2_18,1524,1524,1524
pisinger2005/MB_C2_19,1026,1026,1026
pisinger2005/MB_C2_20,1147,1147,1147
pisinger2005/MB_C2_21,2007,2007,2007
pisinger2005/MB_C2_22,1784,1784,1784
pisinger2005/MB_C2_23,1824,1824,1824
pisinger2005/MB_C2_24,1839,1839,1839
pisinger2005/MB_C2_25,1650,1650,1650
pisinger2005/MB_C2_26,1666,1666,1666
pisinger2005/MB_C2_27,1506,1506,1506
pisinger2005/MB_C2_28,1890,1890,1890
pisinger2005/MB_C2_29,1739,1739,1739
pisinger2005/MB_C2_30,2119,2119,2119
pisinger2005/MB_C2_31,2328,2328,2328
pisinger2005/MB_C2_32,2415,2415,2415
pisinger2005/MB_C2_33,2304,2304,2304
pisinger2005/MB_C2_34,2592,2592,2592
pisinger2005/MB_C2_35,2358,2358,2358
pisinger2005/MB_C2_36,2522,2522,2522
pisinger2005/MB_C2_37,2662,2662,2662
pisinger2005/MB_C2_38,2653,2653,2653
pisinger2005/MB_C2_39,2792,2792,2792
pisinger2005/MB_C2_40,2426,2426,2426
pisinger2005/MB_C2_41,2736,2736,2736
pisinger2005/MB_C2_42,3042,3042,3042
pisinger2005/MB_C2_43,2673,2673,2673
pisinger2005/MB_C2_44,2897,2897,2897
pisinger2005/MB_C2_45,3015,3015,3015
pisinger2005/MB_C2_46,3378,3378,3378
pisinger2005/MB_C2_47,2741,2741,2741
pisinger2005/MB_C2_48,3122,3122,3122
pisinger2005/MB_C2_49,2991,2991,2991
pisinger2005/MB_C2_50,3417,3417,3417
pisinger2005/MB_C3_1,7672,6888,7672
pisinger2005/MB_C3_2,4800,4344,4800
pisinger2005/MB_C3_3,8101,7094,8500
pisinger2005/MB_C3_4,5614,4964,5789
pisinger2005/MB_C3_5,6366,5523,6366
pisinger2005/MB_C3_6,8607,7605,8607
pisinger2005/MB_C3_7,6302,5448,6302
pisinger2005/MB_C3_8,5924,5176,5994
pisinger2005/MB_C3_9,7394,6740,7394
