ID,WIDTH,HEIGHT,PROFIT,COPIES
0,71,71,5061,1
1,33,33,1109,1
2,40,40,1620,1
3,44,44,1956,1
4,85,85,7245,1
5,15,15,245,1
6,54,54,2936,1
7,84,84,7076,1
8,25,25,645,1
9,56,56,3156,1
10,39,39,1541,1
11,79,79,6261,1
12,41,41,1701,1
13,95,95,9045,1
14,9,9,101,1
15,48,48,2324,1
16,1,1,21,1
17,73,73,5349,1
18,5,5,45,1
19,35,35,1245,1
20,71,71,5061,1
21,33,33,1109,1
22,40,40,1620,1
23,44,44,1956,1
24,85,85,7245,1
25,15,15,245,1
26,54,54,2936,1
27,84,84,7076,1
28,25,25,645,1
29,56,56,3156,1
30,39,39,1541,1
31,79,79,6261,1
32,41,41,1701,1
33,95,95,9045,1
34,9,9,101,1
35,48,48,2324,1
36,1,1,21,1
37,73,73,5349,1
38,5,5,45,1
39,35,35,1245,1
40,71,71,5061,1
41,33,33,1109,1
42,40,40,1620,1
43,44,44,1956,1
44,85,85,7245,1
45,15,15,245,1
46,54,54,2936,1
47,84,84,7076,1
48,25,25,645,1
49,56,56,3156,1
50,39,39,1541,1
51,79,79,6261,1
52,41,41,1701,1
53,95,95,9045,1
54,9,9,101,1
55,48,48,2324,1
56,1,1,21,1
57,73,73,5349,1
58,5,5,45,1
59,35,35,1245,1
60,71,71,5061,1
61,33,33,1109,1
62,40,40,1620,1
63,44,44,1956,1
64,85,85,7245,1
65,15,15,245,1
66,54,54,2936,1
67,84,84,7076,1
68,25,25,645,1
69,56,56,3156,1
70,39,39,1541,1
71,79,79,6261,1
72,41,41,1701,1
73,95,95,9045,1
74,9,9,101,1
75,48,48,2324,1
76,1,1,21,1
77,73,73,5349,1
78,5,5,45,1
79,35,35,1245,1
80,71,71,5061,1
81,33,33,1109,1
82,40,40,1620,1
83,44,44,1956,1
84,85,85,7245,1
85,15,15,245,1
86,54,54,2936,1
87,84,84,7076,1
88,25,25,645,1
89,56,56,3156,1
90,39,39,1541,1
91,79,79,6261,1
92,41,41,1701,1
93,95,95,9045,1
94,9,9,101,1
95,48,48,2324,1
96,1,1,21,1
97,73,73,5349,1
98,5,5,45,1
99,35,35,1245,1
