ID,WIDTH,HEIGHT,PROFIT,COPIES
0,80,24,1940,1
1,86,25,2170,1
2,87,2,194,1
3,82,6,512,1
4,79,28,2232,1
5,86,3,278,1
6,75,17,1295,1
7,97,27,2639,1
8,82,15,1250,1
9,76,26,1996,1
10,69,32,2228,1
11,72,8,596,1
12,75,29,2195,1
13,81,8,668,1
14,74,11,834,1
15,96,25,2420,1
16,80,3,260,1
17,88,12,1076,1
18,77,3,251,1
19,98,3,314,1
20,71,12,872,1
21,73,29,2137,1
22,79,27,2153,1
23,98,12,1196,1
24,89,21,1889,1
25,98,29,2862,1
26,93,26,2438,1
27,81,22,1802,1
28,93,32,2996,1
29,85,14,1210,1
30,93,18,1694,1
31,96,3,308,1
32,82,13,1086,1
33,70,3,230,1
34,86,18,1568,1
35,71,10,730,1
36,89,14,1266,1
37,66,16,1076,1
38,95,33,3155,1
39,71,15,1085,1
40,91,27,2477,1
41,67,10,690,1
42,93,13,1229,1
43,85,24,2060,1
44,85,33,2825,1
45,86,23,1998,1
46,76,24,1844,1
47,75,19,1445,1
48,77,7,559,1
49,74,27,2018,1
50,95,22,2110,1
51,84,14,1196,1
52,70,19,1350,1
53,97,19,1863,1
54,86,30,2600,1
55,97,15,1475,1
56,89,22,1978,1
57,66,27,1802,1
58,80,10,820,1
59,94,2,208,1
60,84,20,1700,1
61,97,13,1281,1
62,73,15,1115,1
63,80,3,260,1
64,72,12,884,1
65,69,8,572,1
66,69,14,986,1
67,77,20,1560,1
68,82,26,2152,1
69,99,15,1505,1
70,79,13,1047,1
71,96,28,2708,1
72,80,26,2100,1
73,88,30,2660,1
74,81,14,1154,1
75,92,30,2780,1
76,70,18,1280,1
77,82,12,1004,1
78,87,33,2891,1
79,87,22,1934,1
80,69,28,1952,1
81,74,11,834,1
82,92,20,1860,1
83,88,16,1428,1
84,86,17,1482,1
85,92,31,2872,1
86,68,9,632,1
87,94,21,1994,1
88,69,22,1538,1
89,98,31,3058,1
90,76,26,1996,1
91,97,21,2057,1
92,70,14,1000,1
93,92,25,2320,1
94,69,27,1883,1
95,73,3,239,1
96,75,2,170,1
97,79,27,2153,1
98,79,11,889,1
99,91,27,2477,1
