ID,WIDTH,HEIGHT,PROFIT,COPIES
0,6,26,176,1
1,15,27,425,1
2,4,24,116,1
3,5,29,165,1
4,28,25,720,1
5,3,31,113,1
6,2,12,44,1
7,7,6,62,1
8,1,29,49,1
9,14,7,118,1
10,5,7,55,1
11,4,27,128,1
12,21,19,419,1
13,18,12,236,1
14,10,3,50,1
15,7,9,83,1
16,32,28,916,1
17,13,22,306,1
18,21,8,188,1
19,13,33,449,1
20,22,28,636,1
21,19,20,400,1
22,7,1,27,1
23,31,13,423,1
24,7,7,69,1
25,3,17,71,1
26,31,28,888,1
27,15,15,245,1
28,16,18,308,1
29,15,31,485,1
30,2,32,84,1
31,14,2,48,1
32,12,3,56,1
33,31,1,51,1
34,30,12,380,1
35,2,9,38,1
36,6,6,56,1
37,18,31,578,1
38,12,28,356,1
39,29,8,252,1
40,4,29,136,1
41,17,26,462,1
42,9,26,254,1
43,8,19,172,1
44,24,25,620,1
45,11,3,53,1
46,4,25,120,1
47,17,25,445,1
48,31,10,330,1
49,1,28,48,1
50,27,23,641,1
51,7,23,181,1
52,21,24,524,1
53,24,28,692,1
54,12,15,200,1
55,28,11,328,1
56,13,23,319,1
57,21,23,503,1
58,13,26,358,1
59,19,3,77,1
60,7,31,237,1
61,29,23,687,1
62,30,25,770,1
63,23,18,434,1
64,10,27,290,1
65,8,16,148,1
66,28,17,496,1
67,4,4,36,1
68,1,16,36,1
69,15,25,395,1
70,5,17,105,1
71,9,4,56,1
72,22,8,196,1
73,33,21,713,1
74,8,29,252,1
75,25,31,795,1
76,23,14,342,1
77,3,9,47,1
78,24,32,788,1
79,18,24,452,1
80,7,24,188,1
81,21,4,104,1
82,4,12,68,1
83,9,15,155,1
84,2,33,86,1
85,16,6,116,1
86,12,17,224,1
87,30,30,920,1
88,4,2,28,1
89,30,22,680,1
90,18,27,506,1
91,15,22,350,1
92,24,23,572,1
93,22,13,306,1
94,32,1,52,1
95,27,18,506,1
96,29,20,600,1
97,15,8,140,1
98,23,23,549,1
99,30,16,500,1
100,5,15,95,1
101,32,7,244,1
102,26,31,826,1
103,17,19,343,1
104,17,28,496,1
105,32,7,244,1
106,21,23,503,1
107,18,9,182,1
108,26,23,618,1
109,28,8,244,1
110,13,31,423,1
111,18,21,398,1
112,10,9,110,1
113,21,2,62,1
114,33,24,812,1
115,25,10,270,1
116,27,9,263,1
117,13,22,306,1
118,14,23,342,1
119,31,5,175,1
120,13,1,33,1
121,9,12,128,1
122,6,30,200,1
123,29,10,310,1
124,22,29,658,1
125,16,23,388,1
126,6,3,38,1
127,26,29,774,1
128,7,16,132,1
129,5,24,140,1
130,30,8,260,1
131,29,22,658,1
132,21,17,377,1
133,21,28,608,1
134,23,9,227,1
135,20,3,80,1
136,28,3,104,1
137,27,11,317,1
138,6,22,152,1
139,24,9,236,1
140,16,1,36,1
141,29,33,977,1
142,21,14,314,1
143,1,18,38,1
144,17,11,207,1
145,14,9,146,1
146,22,15,350,1
147,33,3,119,1
148,15,23,365,1
149,10,22,240,1
150,1,1,21,1
151,33,9,317,1
152,22,10,240,1
153,7,9,83,1
154,1,4,24,1
155,28,30,860,1
156,4,15,80,1
157,15,14,230,1
158,16,32,532,1
159,29,10,310,1
160,15,11,185,1
161,2,32,84,1
162,22,12,284,1
163,2,30,80,1
164,32,3,116,1
165,28,18,524,1
166,31,7,237,1
167,16,6,116,1
168,17,32,564,1
169,10,14,160,1
170,8,6,68,1
171,25,10,270,1
172,32,5,180,1
173,28,23,664,1
174,17,19,343,1
175,30,31,950,1
176,21,2,62,1
177,9,32,308,1
178,33,31,1043,1
179,15,31,485,1
180,33,20,680,1
181,25,15,395,1
182,32,6,212,1
183,2,29,78,1
184,28,17,496,1
185,9,13,137,1
186,22,17,394,1
187,18,19,362,1
188,4,29,136,1
189,31,21,671,1
190,19,27,533,1
191,31,25,795,1
192,27,17,479,1
193,24,9,236,1
194,16,3,68,1
195,10,13,150,1
196,28,3,104,1
197,14,15,230,1
198,22,10,240,1
199,27,4,128,1
