ID,WIDTH,HEIGHT,PROFIT,COPIES
0,70,98,6880,1
1,95,71,6765,1
2,79,90,7130,1
3,81,90,7310,1
4,89,82,7318,1
5,98,67,6586,1
6,72,99,7148,1
7,100,88,8820,1
8,81,97,7877,1
9,71,82,5842,1
10,72,97,7004,1
11,70,68,4780,1
12,82,88,7236,1
13,78,90,7040,1
14,75,75,5645,1
15,70,76,5340,1
16,96,67,6452,1
17,91,79,7209,1
18,75,98,7370,1
19,94,71,6694,1
20,70,98,6880,1
21,95,71,6765,1
22,79,90,7130,1
23,81,90,7310,1
24,89,82,7318,1
25,98,67,6586,1
26,72,99,7148,1
27,100,88,8820,1
28,81,97,7877,1
29,71,82,5842,1
30,72,97,7004,1
31,70,68,4780,1
32,82,88,7236,1
33,78,90,7040,1
34,75,75,5645,1
35,70,76,5340,1
36,96,67,6452,1
37,91,79,7209,1
38,75,98,7370,1
39,94,71,6694,1
40,70,98,6880,1
41,95,71,6765,1
42,79,90,7130,1
43,81,90,7310,1
44,89,82,7318,1
45,98,67,6586,1
46,72,99,7148,1
47,100,88,8820,1
48,81,97,7877,1
49,71,82,5842,1
50,72,97,7004,1
51,70,68,4780,1
52,82,88,7236,1
53,78,90,7040,1
54,75,75,5645,1
55,70,76,5340,1
56,96,67,6452,1
57,91,79,7209,1
58,75,98,7370,1
59,94,71,6694,1
60,70,98,6880,1
61,95,71,6765,1
62,79,90,7130,1
63,81,90,7310,1
64,89,82,7318,1
65,98,67,6586,1
66,72,99,7148,1
67,100,88,8820,1
68,81,97,7877,1
69,71,82,5842,1
70,72,97,7004,1
71,70,68,4780,1
72,82,88,7236,1
73,78,90,7040,1
74,75,75,5645,1
75,70,76,5340,1
76,96,67,6452,1
77,91,79,7209,1
78,75,98,7370,1
79,94,71,6694,1
80,70,98,6880,1
81,95,71,6765,1
82,79,90,7130,1
83,81,90,7310,1
84,89,82,7318,1
85,98,67,6586,1
86,72,99,7148,1
87,100,88,8820,1
88,81,97,7877,1
89,71,82,5842,1
90,72,97,7004,1
91,70,68,4780,1
92,82,88,7236,1
93,78,90,7040,1
94,75,75,5645,1
95,70,76,5340,1
96,96,67,6452,1
97,91,79,7209,1
98,75,98,7370,1
99,94,71,6694,1
100,70,98,6880,1
101,95,71,6765,1
102,79,90,7130,1
103,81,90,7310,1
104,89,82,7318,1
105,98,67,6586,1
106,72,99,7148,1
107,100,88,8820,1
108,81,97,7877,1
109,71,82,5842,1
110,72,97,7004,1
111,70,68,4780,1
112,82,88,7236,1
113,78,90,7040,1
114,75,75,5645,1
115,70,76,5340,1
116,96,67,6452,1
117,91,79,7209,1
118,75,98,7370,1
119,94,71,6694,1
120,70,98,6880,1
121,95,71,6765,1
122,79,90,7130,1
123,81,90,7310,1
124,89,82,7318,1
125,98,67,6586,1
126,72,99,7148,1
127,100,88,8820,1
128,81,97,7877,1
129,71,82,5842,1
130,72,97,7004,1
131,70,68,4780,1
132,82,88,7236,1
133,78,90,7040,1
134,75,75,5645,1
135,70,76,5340,1
136,96,67,6452,1
137,91,79,7209,1
138,75,98,7370,1
139,94,71,6694,1
140,70,98,6880,1
141,95,71,6765,1
142,79,90,7130,1
143,81,90,7310,1
144,89,82,7318,1
145,98,67,6586,1
146,72,99,7148,1
147,100,88,8820,1
148,81,97,7877,1
149,71,82,5842,1
150,72,97,7004,1
151,70,68,4780,1
152,82,88,7236,1
153,78,90,7040,1
154,75,75,5645,1
155,70,76,5340,1
156,96,67,6452,1
157,91,79,7209,1
158,75,98,7370,1
159,94,71,6694,1
160,70,98,6880,1
161,95,71,6765,1
162,79,90,7130,1
163,81,90,7310,1
164,89,82,7318,1
165,98,67,6586,1
166,72,99,7148,1
167,100,88,8820,1
168,81,97,7877,1
169,71,82,5842,1
170,72,97,7004,1
171,70,68,4780,1
172,82,88,7236,1
173,78,90,7040,1
174,75,75,5645,1
175,70,76,5340,1
176,96,67,6452,1
177,91,79,7209,1
178,75,98,7370,1
179,94,71,6694,1
180,70,98,6880,1
181,95,71,6765,1
182,79,90,7130,1
183,81,90,7310,1
184,89,82,7318,1
185,98,67,6586,1
186,72,99,7148,1
187,100,88,8820,1
188,81,97,7877,1
189,71,82,5842,1
190,72,97,7004,1
191,70,68,4780,1
192,82,88,7236,1
193,78,90,7040,1
194,75,75,5645,1
195,70,76,5340,1
196,96,67,6452,1
197,91,79,7209,1
198,75,98,7370,1
199,94,71,6694,1
