ID,WIDTH,HEIGHT,PROFIT,COPIES
0,70,98,6880,1
1,95,71,6765,1
2,79,90,7130,1
3,81,90,7310,1
4,89,82,7318,1
5,98,67,6586,1
6,72,99,7148,1
7,100,88,8820,1
8,81,97,7877,1
9,71,82,5842,1
10,72,97,7004,1
11,70,68,4780,1
12,82,88,7236,1
13,78,90,7040,1
14,75,75,5645,1
15,70,76,5340,1
16,96,67,6452,1
17,91,79,7209,1
18,75,98,7370,1
19,94,71,6694,1
20,72,76,5492,1
21,99,78,7742,1
22,78,66,5168,1
23,88,88,7764,1
24,67,89,5983,1
25,93,88,8204,1
26,87,68,5936,1
27,87,71,6197,1
28,100,77,7720,1
29,68,87,5936,1
