ID,WIDTH,HEIGHT,PROFIT,COPIES
0,6,26,176,1
1,15,27,425,1
2,4,24,116,1
3,5,29,165,1
4,28,25,720,1
5,3,31,113,1
6,2,12,44,1
7,7,6,62,1
8,1,29,49,1
9,14,7,118,1
10,5,7,55,1
11,4,27,128,1
12,21,19,419,1
13,18,12,236,1
14,10,3,50,1
15,7,9,83,1
16,32,28,916,1
17,13,22,306,1
18,21,8,188,1
19,13,33,449,1
20,6,26,176,1
21,15,27,425,1
22,4,24,116,1
23,5,29,165,1
24,28,25,720,1
25,3,31,113,1
26,2,12,44,1
27,7,6,62,1
28,1,29,49,1
29,14,7,118,1
30,5,7,55,1
31,4,27,128,1
32,21,19,419,1
33,18,12,236,1
34,10,3,50,1
35,7,9,83,1
36,32,28,916,1
37,13,22,306,1
38,21,8,188,1
39,13,33,449,1
40,6,26,176,1
41,15,27,425,1
42,4,24,116,1
43,5,29,165,1
44,28,25,720,1
45,3,31,113,1
46,2,12,44,1
47,7,6,62,1
48,1,29,49,1
49,14,7,118,1
