ID,WIDTH,HEIGHT,PROFIT,COPIES
0,71,71,5061,1
1,33,33,1109,1
2,40,40,1620,1
3,44,44,1956,1
4,85,85,7245,1
5,15,15,245,1
6,54,54,2936,1
7,84,84,7076,1
8,25,25,645,1
9,56,56,3156,1
10,39,39,1541,1
11,79,79,6261,1
12,41,41,1701,1
13,95,95,9045,1
14,9,9,101,1
15,48,48,2324,1
16,1,1,21,1
17,73,73,5349,1
18,5,5,45,1
19,35,35,1245,1
20,2,2,24,1
21,55,55,3045,1
22,54,54,2936,1
23,11,11,141,1
24,76,76,5796,1
25,65,65,4245,1
26,40,40,1620,1
27,32,32,1044,1
28,26,26,696,1
29,94,94,8856,1
30,29,29,861,1
31,21,21,461,1
32,26,26,696,1
33,8,8,84,1
34,39,39,1541,1
35,28,28,804,1
36,95,95,9045,1
37,33,33,1109,1
38,31,31,981,1
39,46,46,2136,1
40,52,52,2724,1
41,40,40,1620,1
42,66,66,4376,1
43,34,34,1176,1
44,96,96,9236,1
45,41,41,1701,1
46,79,79,6261,1
47,38,38,1464,1
48,79,79,6261,1
49,52,52,2724,1
