ID,WIDTH,HEIGHT,PROFIT,COPIES
0,10,82,840,1
1,10,89,910,1
2,19,72,1388,1
3,21,88,1868,1
4,12,94,1148,1
5,7,81,587,1
6,27,94,2558,1
7,14,94,1336,1
8,33,87,2891,1
9,27,84,2288,1
10,6,89,554,1
11,8,97,796,1
12,2,93,206,1
13,24,69,1676,1
14,26,76,1996,1
15,26,67,1762,1
16,33,85,2825,1
17,9,86,794,1
18,6,80,500,1
19,6,93,578,1
20,10,82,840,1
21,10,89,910,1
22,19,72,1388,1
23,21,88,1868,1
24,12,94,1148,1
25,7,81,587,1
26,27,94,2558,1
27,14,94,1336,1
28,33,87,2891,1
29,27,84,2288,1
30,6,89,554,1
31,8,97,796,1
32,2,93,206,1
33,24,69,1676,1
34,26,76,1996,1
35,26,67,1762,1
36,33,85,2825,1
37,9,86,794,1
38,6,80,500,1
39,6,93,578,1
40,10,82,840,1
41,10,89,910,1
42,19,72,1388,1
43,21,88,1868,1
44,12,94,1148,1
45,7,81,587,1
46,27,94,2558,1
47,14,94,1336,1
48,33,87,2891,1
49,27,84,2288,1
