ID,WIDTH,HEIGHT,PROFIT,COPIES
0,9,3,27,1
1,17,14,476,1
2,25,16,400,1
3,1,8,16,1
4,27,6,486,1
5,33,11,363,1
6,28,4,112,1
7,23,20,460,1
8,32,13,1248,1
9,4,3,36,1
10,26,32,2496,1
11,30,24,2160,1
12,21,23,483,1
13,12,30,1080,1
14,16,4,64,1
15,27,5,405,1
16,20,13,780,1
17,23,21,1449,1
18,30,18,1620,1
19,29,9,261,1
20,33,16,528,1
21,17,7,119,1
22,21,26,546,1
23,3,18,162,1
24,24,2,48,1
25,5,4,60,1
26,18,30,1080,1
27,9,29,261,1
28,31,19,1178,1
29,29,32,2784,1
30,4,5,20,1
31,14,7,98,1
32,29,19,1653,1
33,29,15,870,1
34,28,12,672,1
35,28,23,644,1
36,28,33,924,1
37,3,20,180,1
38,21,27,1134,1
39,4,7,84,1
40,27,1,54,1
41,29,27,783,1
42,26,16,832,1
43,31,19,589,1
44,12,24,864,1
45,10,31,310,1
46,25,12,300,1
47,1,16,32,1
48,5,3,45,1
49,18,31,1116,1
50,4,9,72,1
51,20,14,280,1
52,12,17,612,1
53,6,25,450,1
54,19,28,1064,1
55,26,24,1872,1
56,6,16,96,1
57,30,16,960,1
58,13,27,1053,1
59,10,5,50,1
60,14,16,448,1
61,11,8,176,1
62,3,21,63,1
63,22,4,176,1
64,7,18,126,1
65,18,30,1620,1
66,16,18,288,1
67,16,3,48,1
68,15,10,450,1
69,28,6,168,1
70,13,18,702,1
71,28,31,1736,1
72,5,11,110,1
73,28,30,2520,1
74,8,4,32,1
75,13,32,1248,1
76,3,23,69,1
77,19,20,380,1
78,10,26,260,1
79,18,18,324,1
80,24,15,360,1
81,7,3,63,1
82,17,6,102,1
83,20,3,60,1
84,27,26,2106,1
85,7,24,336,1
86,23,10,690,1
87,31,4,124,1
88,7,1,7,1
89,28,26,1456,1
90,29,9,783,1
91,27,12,324,1
92,33,25,825,1
93,10,6,120,1
94,27,24,648,1
95,3,20,60,1
96,17,13,442,1
97,14,4,168,1
98,8,4,32,1
99,11,14,154,1
