ID,WIDTH,HEIGHT,PROFIT,COPIES
0,80,80,12800,1
1,58,58,3364,1
2,71,71,10082,1
3,68,68,9248,1
4,65,65,8450,1
5,1,1,3,1
6,42,42,1764,1
7,68,68,13872,1
8,51,51,5202,1
9,98,98,19208,1
10,82,82,6724,1
11,88,88,15488,1
12,69,69,14283,1
13,57,57,9747,1
14,39,39,3042,1
15,48,48,6912,1
16,56,56,9408,1
17,41,41,5043,1
18,74,74,5476,1
19,89,89,7921,1
20,90,90,16200,1
21,59,59,6962,1
22,96,96,27648,1
23,54,54,8748,1
24,16,16,512,1
25,69,69,4761,1
26,97,97,18818,1
27,10,10,200,1
28,32,32,2048,1
29,66,66,4356,1
30,90,90,24300,1
31,8,8,64,1
32,64,64,8192,1
33,34,34,2312,1
34,36,36,3888,1
35,37,37,4107,1
36,91,91,24843,1
37,11,11,242,1
38,62,62,7688,1
39,68,68,4624,1
40,82,82,13448,1
41,6,6,36,1
42,17,17,867,1
43,16,16,768,1
44,63,63,11907,1
45,63,63,7938,1
46,3,3,18,1
47,91,91,16562,1
48,66,66,13068,1
49,11,11,242,1
50,57,57,6498,1
51,70,70,14700,1
52,23,23,1587,1
53,24,24,576,1
54,38,38,1444,1
55,20,20,400,1
56,64,64,12288,1
57,32,32,3072,1
58,65,65,4225,1
59,38,38,4332,1
60,87,87,15138,1
61,4,4,48,1
62,82,82,20172,1
63,97,97,18818,1
64,30,30,1800,1
65,48,48,2304,1
66,46,46,6348,1
67,56,56,6272,1
68,9,9,243,1
69,16,16,512,1
70,54,54,8748,1
71,45,45,4050,1
72,64,64,12288,1
73,29,29,2523,1
74,35,35,1225,1
75,49,49,2401,1
76,33,33,2178,1
77,9,9,81,1
78,15,15,450,1
79,40,40,1600,1
80,47,47,2209,1
81,29,29,841,1
82,67,67,8978,1
83,71,71,15123,1
84,98,98,19208,1
85,10,10,100,1
86,65,65,12675,1
87,2,2,4,1
88,56,56,6272,1
89,80,80,6400,1
90,29,29,2523,1
91,78,78,18252,1
92,14,14,588,1
93,71,71,15123,1
94,73,73,5329,1
95,99,99,29403,1
96,92,92,25392,1
97,44,44,3872,1
98,54,54,8748,1
99,36,36,3888,1
