ID,WIDTH,HEIGHT,PROFIT,COPIES
0,10,82,2460,1
1,10,89,2670,1
2,19,72,1368,1
3,21,88,5544,1
4,12,94,2256,1
5,7,81,1134,1
6,27,94,2538,1
7,14,94,1316,1
8,33,87,8613,1
9,27,84,6804,1
10,6,89,1602,1
11,8,97,776,1
12,2,93,558,1
13,24,69,4968,1
14,26,76,5928,1
15,26,67,5226,1
16,33,85,2805,1
17,9,86,2322,1
18,6,80,480,1
19,6,93,1674,1
20,9,67,603,1
21,14,73,3066,1
22,5,67,335,1
23,18,81,4374,1
24,10,82,820,1
25,21,96,2016,1
26,33,75,7425,1
27,18,99,1782,1
28,31,78,4836,1
29,25,77,1925,1
30,32,88,5632,1
31,26,81,4212,1
32,29,100,8700,1
33,6,90,1080,1
34,14,78,3276,1
35,8,72,576,1
36,31,91,8463,1
37,28,67,5628,1
38,31,69,6417,1
39,1,93,93,1
40,2,88,528,1
41,20,85,3400,1
42,11,66,2178,1
43,6,68,408,1
44,24,85,6120,1
45,32,93,2976,1
46,33,91,6006,1
47,13,78,1014,1
48,25,82,2050,1
49,6,73,1314,1
50,7,85,1190,1
51,30,67,2010,1
52,24,90,2160,1
53,3,69,621,1
54,33,98,6468,1
55,6,98,588,1
56,4,94,752,1
57,4,76,912,1
58,6,90,540,1
59,3,74,222,1
60,10,70,2100,1
61,28,86,2408,1
62,11,78,1716,1
63,28,81,4536,1
64,29,84,7308,1
65,13,76,988,1
66,11,70,1540,1
67,33,91,9009,1
68,1,100,200,1
69,18,93,3348,1
70,1,72,216,1
71,29,92,8004,1
72,5,66,330,1
73,14,70,980,1
74,16,90,4320,1
75,6,77,924,1
76,32,90,5760,1
77,33,96,3168,1
78,5,75,375,1
79,1,71,213,1
80,4,72,576,1
81,16,73,3504,1
82,1,88,264,1
83,17,96,1632,1
84,9,73,1314,1
85,32,94,9024,1
86,6,68,408,1
87,3,66,198,1
88,27,87,7047,1
89,29,80,4640,1
90,17,84,2856,1
91,9,69,1863,1
92,12,88,2112,1
93,28,84,4704,1
94,32,86,5504,1
95,25,74,3700,1
96,29,97,2813,1
97,22,94,4136,1
98,5,73,1095,1
99,4,80,640,1
