ID,WIDTH,HEIGHT,PROFIT,COPIES
0,89,94,16732,1
1,94,99,18612,1
2,88,92,16192,1
3,83,84,13944,1
4,95,70,13300,1
5,71,96,6816,1
6,97,78,7566,1
7,83,66,16434,1
8,85,85,7225,1
9,82,72,5904,1
10,78,92,7176,1
11,78,88,6864,1
12,83,86,14276,1
13,96,74,7104,1
14,91,89,24297,1
15,81,77,18711,1
16,87,95,8265,1
17,87,85,14790,1
18,71,99,7029,1
19,95,87,16530,1
20,83,68,5644,1
21,76,95,14440,1
22,88,98,17248,1
23,94,80,22560,1
24,91,88,16016,1
25,84,75,18900,1
26,93,97,18042,1
27,93,84,7812,1
28,66,70,13860,1
29,81,80,6480,1
30,97,100,9700,1
31,69,82,16974,1
32,70,83,11620,1
33,77,78,6006,1
34,72,88,19008,1
35,89,69,6141,1
36,74,81,17982,1
37,99,75,22275,1
38,88,82,14432,1
39,88,87,15312,1
40,98,67,19698,1
41,90,90,24300,1
42,86,100,25800,1
43,82,80,13120,1
44,93,79,22041,1
45,82,67,16482,1
46,73,83,6059,1
47,93,91,8463,1
48,97,99,19206,1
49,77,75,11550,1
50,68,90,18360,1
51,93,80,7440,1
52,100,79,7900,1
53,74,97,7178,1
54,85,94,23970,1
55,76,89,13528,1
56,94,82,23124,1
57,98,68,13328,1
58,76,68,15504,1
59,80,77,6160,1
60,91,90,16380,1
61,85,75,6375,1
62,80,77,18480,1
63,80,91,14560,1
64,76,81,12312,1
65,74,71,5254,1
66,93,70,6510,1
67,98,100,29400,1
68,91,89,8099,1
69,88,74,13024,1
70,69,83,17181,1
71,81,77,6237,1
72,72,73,5256,1
73,70,80,5600,1
74,82,92,7544,1
75,94,78,14664,1
76,73,98,7154,1
77,85,91,15470,1
78,99,87,17226,1
79,95,75,21375,1
80,90,92,8280,1
81,77,98,15092,1
82,67,86,11524,1
83,68,91,6188,1
84,96,100,19200,1
85,76,91,13832,1
86,90,91,8190,1
87,76,73,5548,1
88,74,82,12136,1
89,71,93,19809,1
90,72,66,4752,1
91,66,79,10428,1
92,76,83,12616,1
93,91,82,14924,1
94,76,67,5092,1
95,78,99,7722,1
96,66,84,16632,1
97,68,76,15504,1
98,75,96,7200,1
99,93,74,6882,1
