ID,WIDTH,HEIGHT,PROFIT,COPIES
0,9,3,27,1
1,17,14,714,1
2,25,16,800,1
3,1,8,24,1
4,27,6,324,1
5,33,11,1089,1
6,28,4,336,1
7,23,20,1380,1
8,32,13,1248,1
9,4,3,36,1
10,26,32,832,1
11,30,24,2160,1
12,21,23,966,1
13,12,30,360,1
14,16,4,192,1
15,27,5,270,1
16,20,13,520,1
17,23,21,483,1
18,30,18,540,1
19,29,9,783,1
20,9,3,27,1
21,17,14,714,1
22,25,16,800,1
23,1,8,24,1
24,27,6,324,1
25,33,11,1089,1
26,28,4,336,1
27,23,20,1380,1
28,32,13,1248,1
29,4,3,36,1
30,26,32,832,1
31,30,24,2160,1
32,21,23,966,1
33,12,30,360,1
34,16,4,192,1
35,27,5,270,1
36,20,13,520,1
37,23,21,483,1
38,30,18,540,1
39,29,9,783,1
40,9,3,27,1
41,17,14,714,1
42,25,16,800,1
43,1,8,24,1
44,27,6,324,1
45,33,11,1089,1
46,28,4,336,1
47,23,20,1380,1
48,32,13,1248,1
49,4,3,36,1
50,26,32,832,1
51,30,24,2160,1
52,21,23,966,1
53,12,30,360,1
54,16,4,192,1
55,27,5,270,1
56,20,13,520,1
57,23,21,483,1
58,30,18,540,1
59,29,9,783,1
60,9,3,27,1
61,17,14,714,1
62,25,16,800,1
63,1,8,24,1
64,27,6,324,1
65,33,11,1089,1
66,28,4,336,1
67,23,20,1380,1
68,32,13,1248,1
69,4,3,36,1
70,26,32,832,1
71,30,24,2160,1
72,21,23,966,1
73,12,30,360,1
74,16,4,192,1
75,27,5,270,1
76,20,13,520,1
77,23,21,483,1
78,30,18,540,1
79,29,9,783,1
80,9,3,27,1
81,17,14,714,1
82,25,16,800,1
83,1,8,24,1
84,27,6,324,1
85,33,11,1089,1
86,28,4,336,1
87,23,20,1380,1
88,32,13,1248,1
89,4,3,36,1
90,26,32,832,1
91,30,24,2160,1
92,21,23,966,1
93,12,30,360,1
94,16,4,192,1
95,27,5,270,1
96,20,13,520,1
97,23,21,483,1
98,30,18,540,1
99,29,9,783,1
100,9,3,27,1
101,17,14,714,1
102,25,16,800,1
103,1,8,24,1
104,27,6,324,1
105,33,11,1089,1
106,28,4,336,1
107,23,20,1380,1
108,32,13,1248,1
109,4,3,36,1
110,26,32,832,1
111,30,24,2160,1
112,21,23,966,1
113,12,30,360,1
114,16,4,192,1
115,27,5,270,1
116,20,13,520,1
117,23,21,483,1
118,30,18,540,1
119,29,9,783,1
120,9,3,27,1
121,17,14,714,1
122,25,16,800,1
123,1,8,24,1
124,27,6,324,1
125,33,11,1089,1
126,28,4,336,1
127,23,20,1380,1
128,32,13,1248,1
129,4,3,36,1
130,26,32,832,1
131,30,24,2160,1
132,21,23,966,1
133,12,30,360,1
134,16,4,192,1
135,27,5,270,1
136,20,13,520,1
137,23,21,483,1
138,30,18,540,1
139,29,9,783,1
140,9,3,27,1
141,17,14,714,1
142,25,16,800,1
143,1,8,24,1
144,27,6,324,1
145,33,11,1089,1
146,28,4,336,1
147,23,20,1380,1
148,32,13,1248,1
149,4,3,36,1
150,26,32,832,1
151,30,24,2160,1
152,21,23,966,1
153,12,30,360,1
154,16,4,192,1
155,27,5,270,1
156,20,13,520,1
157,23,21,483,1
158,30,18,540,1
159,29,9,783,1
160,9,3,27,1
161,17,14,714,1
162,25,16,800,1
163,1,8,24,1
164,27,6,324,1
165,33,11,1089,1
166,28,4,336,1
167,23,20,1380,1
168,32,13,1248,1
169,4,3,36,1
170,26,32,832,1
171,30,24,2160,1
172,21,23,966,1
173,12,30,360,1
174,16,4,192,1
175,27,5,270,1
176,20,13,520,1
177,23,21,483,1
178,30,18,540,1
179,29,9,783,1
180,9,3,27,1
181,17,14,714,1
182,25,16,800,1
183,1,8,24,1
184,27,6,324,1
185,33,11,1089,1
186,28,4,336,1
187,23,20,1380,1
188,32,13,1248,1
189,4,3,36,1
190,26,32,832,1
191,30,24,2160,1
192,21,23,966,1
193,12,30,360,1
194,16,4,192,1
195,27,5,270,1
196,20,13,520,1
197,23,21,483,1
198,30,18,540,1
199,29,9,783,1
