ID,WIDTH,HEIGHT,PROFIT,COPIES
0,80,80,19200,1
1,58,58,10092,1
2,71,71,15123,1
3,68,68,4624,1
4,65,65,12675,1
5,1,1,1,1
6,42,42,3528,1
7,68,68,4624,1
8,51,51,7803,1
9,98,98,19208,1
10,82,82,13448,1
11,88,88,7744,1
12,69,69,9522,1
13,57,57,9747,1
14,39,39,4563,1
15,48,48,2304,1
16,56,56,9408,1
17,41,41,5043,1
18,74,74,16428,1
19,89,89,23763,1
20,80,80,19200,1
21,58,58,10092,1
22,71,71,15123,1
23,68,68,4624,1
24,65,65,12675,1
25,1,1,1,1
26,42,42,3528,1
27,68,68,4624,1
28,51,51,7803,1
29,98,98,19208,1
30,82,82,13448,1
31,88,88,7744,1
32,69,69,9522,1
33,57,57,9747,1
34,39,39,4563,1
35,48,48,2304,1
36,56,56,9408,1
37,41,41,5043,1
38,74,74,16428,1
39,89,89,23763,1
40,80,80,19200,1
41,58,58,10092,1
42,71,71,15123,1
43,68,68,4624,1
44,65,65,12675,1
45,1,1,1,1
46,42,42,3528,1
47,68,68,4624,1
48,51,51,7803,1
49,98,98,19208,1
50,82,82,13448,1
51,88,88,7744,1
52,69,69,9522,1
53,57,57,9747,1
54,39,39,4563,1
55,48,48,2304,1
56,56,56,9408,1
57,41,41,5043,1
58,74,74,16428,1
59,89,89,23763,1
60,80,80,19200,1
61,58,58,10092,1
62,71,71,15123,1
63,68,68,4624,1
64,65,65,12675,1
65,1,1,1,1
66,42,42,3528,1
67,68,68,4624,1
68,51,51,7803,1
69,98,98,19208,1
70,82,82,13448,1
71,88,88,7744,1
72,69,69,9522,1
73,57,57,9747,1
74,39,39,4563,1
75,48,48,2304,1
76,56,56,9408,1
77,41,41,5043,1
78,74,74,16428,1
79,89,89,23763,1
80,80,80,19200,1
81,58,58,10092,1
82,71,71,15123,1
83,68,68,4624,1
84,65,65,12675,1
85,1,1,1,1
86,42,42,3528,1
87,68,68,4624,1
88,51,51,7803,1
89,98,98,19208,1
90,82,82,13448,1
91,88,88,7744,1
92,69,69,9522,1
93,57,57,9747,1
94,39,39,4563,1
95,48,48,2304,1
96,56,56,9408,1
97,41,41,5043,1
98,74,74,16428,1
99,89,89,23763,1
100,80,80,19200,1
101,58,58,10092,1
102,71,71,15123,1
103,68,68,4624,1
104,65,65,12675,1
105,1,1,1,1
106,42,42,3528,1
107,68,68,4624,1
108,51,51,7803,1
109,98,98,19208,1
110,82,82,13448,1
111,88,88,7744,1
112,69,69,9522,1
113,57,57,9747,1
114,39,39,4563,1
115,48,48,2304,1
116,56,56,9408,1
117,41,41,5043,1
118,74,74,16428,1
119,89,89,23763,1
120,80,80,19200,1
121,58,58,10092,1
122,71,71,15123,1
123,68,68,4624,1
124,65,65,12675,1
125,1,1,1,1
126,42,42,3528,1
127,68,68,4624,1
128,51,51,7803,1
129,98,98,19208,1
130,82,82,13448,1
131,88,88,7744,1
132,69,69,9522,1
133,57,57,9747,1
134,39,39,4563,1
135,48,48,2304,1
136,56,56,9408,1
137,41,41,5043,1
138,74,74,16428,1
139,89,89,23763,1
140,80,80,19200,1
141,58,58,10092,1
142,71,71,15123,1
143,68,68,4624,1
144,65,65,12675,1
145,1,1,1,1
146,42,42,3528,1
147,68,68,4624,1
148,51,51,7803,1
149,98,98,19208,1
150,82,82,13448,1
151,88,88,7744,1
152,69,69,9522,1
153,57,57,9747,1
154,39,39,4563,1
155,48,48,2304,1
156,56,56,9408,1
157,41,41,5043,1
158,74,74,16428,1
159,89,89,23763,1
160,80,80,19200,1
161,58,58,10092,1
162,71,71,15123,1
163,68,68,4624,1
164,65,65,12675,1
165,1,1,1,1
166,42,42,3528,1
167,68,68,4624,1
168,51,51,7803,1
169,98,98,19208,1
170,82,82,13448,1
171,88,88,7744,1
172,69,69,9522,1
173,57,57,9747,1
174,39,39,4563,1
175,48,48,2304,1
176,56,56,9408,1
177,41,41,5043,1
178,74,74,16428,1
179,89,89,23763,1
180,80,80,19200,1
181,58,58,10092,1
182,71,71,15123,1
183,68,68,4624,1
184,65,65,12675,1
185,1,1,1,1
186,42,42,3528,1
187,68,68,4624,1
188,51,51,7803,1
189,98,98,19208,1
190,82,82,13448,1
191,88,88,7744,1
192,69,69,9522,1
193,57,57,9747,1
194,39,39,4563,1
195,48,48,2304,1
196,56,56,9408,1
197,41,41,5043,1
198,74,74,16428,1
199,89,89,23763,1
