ID,WIDTH,HEIGHT,PROFIT,COPIES
0,89,94,16732,1
1,94,99,9306,1
2,88,92,24288,1
3,83,84,6972,1
4,95,70,13300,1
5,71,96,6816,1
6,97,78,22698,1
7,83,66,10956,1
8,85,85,7225,1
9,82,72,17712,1
10,78,92,7176,1
11,78,88,6864,1
12,83,86,7138,1
13,96,74,14208,1
14,91,89,8099,1
15,81,77,18711,1
16,87,95,24795,1
17,87,85,7395,1
18,71,99,21087,1
19,95,87,16530,1
20,89,94,16732,1
21,94,99,9306,1
22,88,92,24288,1
23,83,84,6972,1
24,95,70,13300,1
25,71,96,6816,1
26,97,78,22698,1
27,83,66,10956,1
28,85,85,7225,1
29,82,72,17712,1
30,78,92,7176,1
31,78,88,6864,1
32,83,86,7138,1
33,96,74,14208,1
34,91,89,8099,1
35,81,77,18711,1
36,87,95,24795,1
37,87,85,7395,1
38,71,99,21087,1
39,95,87,16530,1
40,89,94,16732,1
41,94,99,9306,1
42,88,92,24288,1
43,83,84,6972,1
44,95,70,13300,1
45,71,96,6816,1
46,97,78,22698,1
47,83,66,10956,1
48,85,85,7225,1
49,82,72,17712,1
50,78,92,7176,1
51,78,88,6864,1
52,83,86,7138,1
53,96,74,14208,1
54,91,89,8099,1
55,81,77,18711,1
56,87,95,24795,1
57,87,85,7395,1
58,71,99,21087,1
59,95,87,16530,1
60,89,94,16732,1
61,94,99,9306,1
62,88,92,24288,1
63,83,84,6972,1
64,95,70,13300,1
65,71,96,6816,1
66,97,78,22698,1
67,83,66,10956,1
68,85,85,7225,1
69,82,72,17712,1
70,78,92,7176,1
71,78,88,6864,1
72,83,86,7138,1
73,96,74,14208,1
74,91,89,8099,1
75,81,77,18711,1
76,87,95,24795,1
77,87,85,7395,1
78,71,99,21087,1
79,95,87,16530,1
80,89,94,16732,1
81,94,99,9306,1
82,88,92,24288,1
83,83,84,6972,1
84,95,70,13300,1
85,71,96,6816,1
86,97,78,22698,1
87,83,66,10956,1
88,85,85,7225,1
89,82,72,17712,1
90,78,92,7176,1
91,78,88,6864,1
92,83,86,7138,1
93,96,74,14208,1
94,91,89,8099,1
95,81,77,18711,1
96,87,95,24795,1
97,87,85,7395,1
98,71,99,21087,1
99,95,87,16530,1
100,89,94,16732,1
101,94,99,9306,1
102,88,92,24288,1
103,83,84,6972,1
104,95,70,13300,1
105,71,96,6816,1
106,97,78,22698,1
107,83,66,10956,1
108,85,85,7225,1
109,82,72,17712,1
110,78,92,7176,1
111,78,88,6864,1
112,83,86,7138,1
113,96,74,14208,1
114,91,89,8099,1
115,81,77,18711,1
116,87,95,24795,1
117,87,85,7395,1
118,71,99,21087,1
119,95,87,16530,1
120,89,94,16732,1
121,94,99,9306,1
122,88,92,24288,1
123,83,84,6972,1
124,95,70,13300,1
125,71,96,6816,1
126,97,78,22698,1
127,83,66,10956,1
128,85,85,7225,1
129,82,72,17712,1
130,78,92,7176,1
131,78,88,6864,1
132,83,86,7138,1
133,96,74,14208,1
134,91,89,8099,1
135,81,77,18711,1
136,87,95,24795,1
137,87,85,7395,1
138,71,99,21087,1
139,95,87,16530,1
140,89,94,16732,1
141,94,99,9306,1
142,88,92,24288,1
143,83,84,6972,1
144,95,70,13300,1
145,71,96,6816,1
146,97,78,22698,1
147,83,66,10956,1
148,85,85,7225,1
149,82,72,17712,1
150,78,92,7176,1
151,78,88,6864,1
152,83,86,7138,1
153,96,74,14208,1
154,91,89,8099,1
155,81,77,18711,1
156,87,95,24795,1
157,87,85,7395,1
158,71,99,21087,1
159,95,87,16530,1
160,89,94,16732,1
161,94,99,9306,1
162,88,92,24288,1
163,83,84,6972,1
164,95,70,13300,1
165,71,96,6816,1
166,97,78,22698,1
167,83,66,10956,1
168,85,85,7225,1
169,82,72,17712,1
170,78,92,7176,1
171,78,88,6864,1
172,83,86,7138,1
173,96,74,14208,1
174,91,89,8099,1
175,81,77,18711,1
176,87,95,24795,1
177,87,85,7395,1
178,71,99,21087,1
179,95,87,16530,1
180,89,94,16732,1
181,94,99,9306,1
182,88,92,24288,1
183,83,84,6972,1
184,95,70,13300,1
185,71,96,6816,1
186,97,78,22698,1
187,83,66,10956,1
188,85,85,7225,1
189,82,72,17712,1
190,78,92,7176,1
191,78,88,6864,1
192,83,86,7138,1
193,96,74,14208,1
194,91,89,8099,1
195,81,77,18711,1
196,87,95,24795,1
197,87,85,7395,1
198,71,99,21087,1
199,95,87,16530,1
