ID,WIDTH,HEIGHT,PROFIT,COPIES
0,84,7,1176,1
1,76,2,456,1
2,98,28,8232,1
3,87,2,348,1
4,85,12,2040,1
5,98,31,3038,1
6,73,9,1971,1
7,92,6,1104,1
8,92,33,3036,1
9,67,9,1206,1
10,82,5,1230,1
11,83,33,8217,1
12,97,3,291,1
13,77,19,4389,1
14,93,5,930,1
15,83,32,5312,1
16,93,9,1674,1
17,75,18,2700,1
18,77,9,693,1
19,69,31,6417,1
20,84,29,4872,1
21,76,16,2432,1
22,96,7,2016,1
23,76,23,1748,1
24,86,8,2064,1
25,97,12,1164,1
26,70,5,1050,1
27,79,22,1738,1
28,84,20,5040,1
29,69,25,3450,1
30,93,21,1953,1
31,83,17,2822,1
32,67,21,4221,1
33,96,16,1536,1
34,89,14,3738,1
35,81,25,6075,1
36,98,26,7644,1
37,72,27,1944,1
38,89,20,3560,1
39,94,18,5076,1
40,93,26,2418,1
41,68,5,1020,1
42,95,22,6270,1
43,100,27,5400,1
44,75,13,1950,1
45,95,24,2280,1
46,73,30,4380,1
47,94,23,4324,1
48,98,21,6174,1
49,84,19,3192,1
50,78,26,6084,1
51,75,2,300,1
52,79,5,790,1
53,79,13,2054,1
54,78,2,156,1
55,98,14,1372,1
56,91,9,1638,1
57,98,3,294,1
58,87,8,696,1
59,77,29,4466,1
60,78,15,3510,1
61,72,19,2736,1
62,67,1,134,1
63,76,7,532,1
64,86,3,516,1
65,98,2,588,1
66,77,28,6468,1
67,87,5,435,1
68,76,16,2432,1
69,75,22,4950,1
70,74,31,4588,1
71,80,12,960,1
72,76,32,7296,1
73,78,18,1404,1
74,83,14,2324,1
75,72,24,5184,1
76,94,29,8178,1
77,73,27,3942,1
78,88,24,4224,1
79,92,25,6900,1
80,74,12,888,1
81,77,1,231,1
82,77,9,1386,1
83,79,14,2212,1
84,84,32,2688,1
85,75,29,2175,1
86,75,14,1050,1
87,79,7,1659,1
88,67,4,536,1
89,84,17,4284,1
90,70,32,4480,1
91,71,15,3195,1
92,77,29,4466,1
93,80,2,480,1
94,90,17,4590,1
95,94,4,376,1
96,90,8,2160,1
97,94,31,8742,1
98,86,31,5332,1
99,74,27,3996,1
100,85,27,4590,1
101,90,2,360,1
102,69,18,1242,1
103,71,32,2272,1
104,85,9,765,1
105,86,25,4300,1
106,99,26,2574,1
107,89,9,2403,1
108,96,8,2304,1
109,76,22,5016,1
110,81,18,1458,1
111,85,20,5100,1
112,96,27,7776,1
113,71,10,1420,1
114,96,16,3072,1
115,78,27,4212,1
116,78,25,3900,1
117,68,22,1496,1
118,86,23,3956,1
119,72,1,144,1
120,87,18,1566,1
121,82,24,1968,1
122,87,29,5046,1
123,89,19,1691,1
124,84,13,3276,1
125,84,14,2352,1
126,96,5,960,1
127,77,18,1386,1
128,89,21,5607,1
129,90,2,180,1
130,82,24,5904,1
131,91,19,3458,1
132,81,28,6804,1
133,93,18,3348,1
134,81,5,1215,1
135,68,12,2448,1
136,67,12,1608,1
137,81,33,5346,1
138,84,30,7560,1
139,66,27,3564,1
140,78,5,390,1
141,98,20,1960,1
142,84,17,4284,1
143,89,7,1246,1
144,87,1,87,1
145,89,4,712,1
146,86,27,6966,1
147,83,21,5229,1
148,98,32,6272,1
149,68,14,952,1
150,85,7,595,1
151,92,1,92,1
152,80,28,6720,1
153,96,23,6624,1
154,75,13,1950,1
155,72,30,2160,1
156,69,33,2277,1
157,92,33,6072,1
158,72,28,2016,1
159,70,14,1960,1
160,87,23,6003,1
161,98,17,3332,1
162,97,15,1455,1
163,76,32,2432,1
164,91,12,1092,1
165,80,13,3120,1
166,95,24,6840,1
167,74,25,3700,1
168,89,26,6942,1
169,99,11,3267,1
170,76,13,1976,1
171,96,13,3744,1
172,85,6,510,1
173,67,3,603,1
174,75,9,2025,1
175,99,13,3861,1
176,87,3,783,1
177,73,23,1679,1
178,71,29,4118,1
179,91,16,2912,1
180,88,1,88,1
181,71,2,426,1
182,80,27,4320,1
183,98,5,490,1
184,68,11,748,1
185,100,26,2600,1
186,73,32,7008,1
187,70,8,560,1
188,100,21,2100,1
189,76,25,3800,1
190,67,26,3484,1
191,70,23,1610,1
192,79,16,1264,1
193,88,15,2640,1
194,100,12,1200,1
195,76,26,1976,1
196,91,33,3003,1
197,70,22,1540,1
198,76,1,228,1
199,71,27,5751,1
