ID,WIDTH,HEIGHT,COPIES
0,130,204,3
1,166,206,1
2,178,81,5
3,288,94,4
4,220,125,2
5,129,172,2
6,230,147,1
7,149,247,2
8,280,195,1
9,145,152,1
10,156,97,6
11,231,199,1
12,130,199,2
13,185,184,1
14,110,87,4
15,207,196,2
16,214,139,4
17,142,239,3
18,165,147,1
19,240,148,2
20,253,202,1
21,124,109,5
22,292,140,1
23,290,186,1
24,266,170,2
25,112,213,2
26,240,152,2
27,186,84,4
28,136,172,3
29,203,186,2
30,273,177,2
31,233,184,1
32,259,158,2
33,168,90,8
34,220,168,4
35,127,241,2
36,292,141,2
37,124,210,2
38,205,197,1
39,262,147,2
40,168,140,2
41,295,150,2
42,203,159,3
43,142,157,1
44,113,96,3
45,194,94,5
46,179,92,4
47,270,210,1
48,118,144,1
49,292,236,1
