ID,WIDTH,HEIGHT
0,371,614
1,557,1223
2,906,937
3,368,429
4,874,490
5,406,1262
6,570,1124
7,514,658
8,926,1125
9,774,705
10,625,1280
11,897,457
12,726,1121
13,422,940
14,315,578
15,543,558
16,700,1189
17,699,411
18,317,1251
19,832,427
20,793,637
21,860,1043
22,790,606
23,596,1059
24,402,945
25,309,837
26,516,934
27,595,594
28,596,622
29,813,1231
30,731,978
31,323,488
32,301,496
33,794,686
34,711,1026
35,319,695
36,365,1145
37,899,722
38,343,418
39,772,1020
40,568,1150
41,372,990
42,451,579
43,611,979
44,362,944
45,819,751
46,886,842
47,802,687
48,758,573
49,418,934
